# Diagnostic ji=0 summary; runtime samples rotational_cross_sections.csv directly.
# Elastic cross section comes from the independent integral elastic reference.
# Generated by tools/rebuild_collision_summaries.py
energy_eV,elastic_fraction
0.30996048253056,7.448561866720e-01
0.61987560091466,6.467571321413e-01
1.24979318656414,5.899001080613e-01
1.49985100397311,5.875264154273e-01
2.24994115059283,5.646240617315e-01
2.74976816565743,5.500782964443e-01
3.2497598253552,5.415915019860e-01
3.50007376873508,5.388348264303e-01
3.74990191765471,5.334325179918e-01
3.99997803496037,5.293125164982e-01
