#7.9eV differential cross sections for H-H elastic collisions from Krstic and Shultz. 1998
#angle(deg),sigma(cm^2)
4.41E-04,1.18E-11
2.32E-03,2.25E-12
5.71E-03,9.15E-13
1.06E-02,4.93E-13
1.70E-02,3.07E-13
2.49E-02,2.10E-13
3.43E-02,1.52E-13
4.52E-02,1.16E-13
5.76E-02,9.09E-14
7.15E-02,7.34E-14
8.69E-02,6.05E-14
1.04E-01,5.08E-14
1.22E-01,4.33E-14
1.42E-01,3.74E-14
1.64E-01,3.28E-14
1.87E-01,2.90E-14
2.11E-01,2.58E-14
2.37E-01,2.33E-14
2.64E-01,2.12E-14
2.93E-01,1.94E-14
3.24E-01,1.79E-14
3.56E-01,1.66E-14
3.89E-01,1.56E-14
4.24E-01,1.47E-14
4.60E-01,1.40E-14
4.98E-01,1.34E-14
5.38E-01,1.29E-14
5.78E-01,1.26E-14
6.21E-01,1.24E-14
6.65E-01,1.22E-14
7.10E-01,1.22E-14
7.57E-01,1.23E-14
8.05E-01,1.25E-14
8.55E-01,1.28E-14
9.07E-01,1.33E-14
9.59E-01,1.39E-14
1.01E+00,1.48E-14
1.07E+00,1.58E-14
1.13E+00,1.72E-14
1.19E+00,1.89E-14
1.25E+00,2.11E-14
1.31E+00,2.38E-14
1.37E+00,2.73E-14
1.44E+00,3.16E-14
1.50E+00,3.71E-14
1.57E+00,4.38E-14
1.64E+00,5.18E-14
1.71E+00,6.11E-14
1.78E+00,7.11E-14
1.85E+00,8.08E-14
1.93E+00,8.90E-14
2.01E+00,9.45E-14
2.08E+00,9.70E-14
2.16E+00,9.70E-14
2.24E+00,9.53E-14
2.33E+00,9.30E-14
2.41E+00,9.09E-14
2.50E+00,8.96E-14
2.58E+00,8.93E-14
2.67E+00,9.02E-14
2.76E+00,9.25E-14
2.85E+00,9.62E-14
2.94E+00,1.01E-13
3.04E+00,1.07E-13
3.13E+00,1.15E-13
3.23E+00,1.23E-13
3.33E+00,1.30E-13
3.43E+00,1.38E-13
3.53E+00,1.44E-13
3.63E+00,1.48E-13
3.74E+00,1.51E-13
3.84E+00,1.53E-13
3.95E+00,1.54E-13
4.06E+00,1.55E-13
4.17E+00,1.56E-13
4.28E+00,1.57E-13
4.39E+00,1.60E-13
4.51E+00,1.64E-13
4.62E+00,1.69E-13
4.74E+00,1.75E-13
4.86E+00,1.82E-13
4.98E+00,1.90E-13
5.10E+00,1.97E-13
5.22E+00,2.05E-13
5.35E+00,2.11E-13
5.47E+00,2.15E-13
5.60E+00,2.17E-13
5.73E+00,2.18E-13
5.86E+00,2.17E-13
5.99E+00,2.15E-13
6.12E+00,2.13E-13
6.26E+00,2.10E-13
6.39E+00,2.07E-13
6.53E+00,2.06E-13
6.67E+00,2.06E-13
6.81E+00,2.08E-13
6.95E+00,2.13E-13
7.09E+00,2.20E-13
7.23E+00,2.29E-13
7.38E+00,2.41E-13
7.53E+00,2.56E-13
7.67E+00,2.74E-13
7.82E+00,2.94E-13
7.97E+00,3.15E-13
8.13E+00,3.37E-13
8.28E+00,3.56E-13
8.43E+00,3.72E-13
8.59E+00,3.83E-13
8.75E+00,3.89E-13
