#0.1eV differential cross sections for H-H elastic collisions from Krstic and Shultz. 1998,
#angle(deg),sigma(cm^2)
55.7,2.07E-15
56.1,2.09E-15
56.4,2.11E-15
56.8,2.14E-15
57.1,2.18E-15
57.3,2.22E-15
57.9,2.28E-15
57.9,2.34E-15
58.4,2.40E-15
59,2.47E-15
59,2.55E-15
59.6,2.63E-15
59.6,2.70E-15
60.2,2.78E-15
60.7,2.86E-15
60.7,2.94E-15
61.3,3.01E-15
61.9,3.08E-15
61.9,3.14E-15
62.5,3.21E-15
62.5,3.27E-15
63,3.33E-15
63.6,3.38E-15
63.6,3.44E-15
64.2,3.50E-15
64.2,3.56E-15
64.7,3.62E-15
65.3,3.69E-15
65.3,3.76E-15
65.9,3.84E-15
66.5,3.92E-15
66.5,4.01E-15
67,4.11E-15
67,4.20E-15
67.6,4.30E-15
68.2,4.40E-15
68.2,4.50E-15
68.8,4.59E-15
68.8,4.67E-15
69.3,4.75E-15
69.9,4.81E-15
69.9,4.85E-15
70.5,4.87E-15
71,4.87E-15
71,4.85E-15
71.6,4.80E-15
72.2,4.72E-15
72.2,4.62E-15
72.8,4.49E-15
72.8,4.34E-15
73.3,4.16E-15
73.9,3.97E-15
73.9,3.75E-15
74.5,3.53E-15
75.1,3.30E-15
75.1,3.07E-15
75.6,2.85E-15
75.6,2.63E-15
76.2,2.43E-15
76.8,2.25E-15
76.8,2.09E-15
77.3,1.97E-15
77.9,1.87E-15
77.9,1.81E-15
78.5,1.79E-15
79.1,1.80E-15
79.1,1.85E-15
79.6,1.93E-15
79.6,2.04E-15
80.2,2.18E-15
80.8,2.34E-15
80.8,2.52E-15
81.4,2.72E-15
81.9,2.92E-15
81.9,3.12E-15
82.5,3.32E-15
83.1,3.51E-15
83.1,3.68E-15
83.7,3.84E-15
83.7,3.98E-15
84.2,4.09E-15
84.8,4.18E-15
84.8,4.24E-15
85.4,4.28E-15
85.9,4.29E-15
85.9,4.28E-15
86.5,4.26E-15
87.1,4.22E-15
87.1,4.18E-15
87.7,4.12E-15
88.2,4.07E-15
88.2,4.01E-15
88.8,3.97E-15
88.8,3.93E-15
89.4,3.90E-15
90,3.89E-15
90,3.89E-15
90.5,3.90E-15
91.1,3.93E-15
91.1,3.97E-15
91.7,4.01E-15
92.2,4.07E-15
92.2,4.12E-15
92.8,4.18E-15
93.4,4.22E-15
93.4,4.26E-15
94,4.28E-15
94,4.29E-15
94.5,4.28E-15
95.1,4.24E-15
95.1,4.18E-15
95.7,4.09E-15
96.3,3.98E-15
96.3,3.84E-15
96.8,3.68E-15
97.4,3.51E-15
97.4,3.32E-15
98,3.12E-15
98.5,2.92E-15
98.5,2.72E-15
99.1,2.52E-15
99.1,2.34E-15
99.7,2.18E-15
100,2.04E-15
100,1.93E-15
101,1.85E-15
101,1.80E-15
101,1.79E-15
102,1.81E-15
103,1.87E-15
103,1.97E-15
103,2.09E-15
103,2.25E-15
104,2.43E-15
104,2.63E-15
104,2.85E-15
105,3.07E-15
105,3.30E-15
105,3.53E-15
106,3.75E-15
106,3.97E-15
107,4.16E-15
107,4.34E-15
107,4.49E-15
108,4.62E-15
108,4.72E-15
108,4.80E-15
109,4.85E-15
109,4.87E-15
109,4.87E-15
110,4.85E-15
110,4.81E-15
111,4.75E-15
111,4.67E-15
111,4.59E-15
112,4.50E-15
112,4.40E-15
112,4.30E-15
113,4.20E-15
113,4.11E-15
113,4.01E-15
114,3.92E-15
114,3.84E-15
115,3.76E-15
115,3.69E-15
115,3.62E-15
116,3.56E-15
116,3.50E-15
116,3.44E-15
117,3.38E-15
117,3.33E-15
117,3.27E-15
117,3.21E-15
118,3.14E-15
119,3.08E-15
119,3.01E-15
119,2.94E-15
119,2.86E-15
120,2.78E-15
120,2.70E-15
120,2.63E-15
121,2.55E-15
121,2.47E-15
121,2.40E-15
122,2.34E-15
122,2.28E-15
123,2.22E-15
123,2.18E-15
123,2.14E-15
124,2.11E-15
124,2.09E-15
124,2.07E-15
124,2.07E-15
125,2.07E-15
125,2.08E-15
125,2.10E-15
126,2.12E-15
126,2.15E-15
127,2.18E-15
127,2.22E-15
127,2.25E-15
128,2.29E-15
128,2.33E-15
128,2.38E-15
128,2.42E-15
129,2.47E-15
129,2.52E-15
129,2.58E-15
130,2.64E-15
130,2.71E-15
131,2.78E-15
131,2.86E-15
131,2.95E-15
132,3.05E-15
132,3.16E-15
132,3.28E-15
132,3.41E-15
133,3.55E-15
133,3.70E-15
133,3.86E-15
134,4.03E-15
134,4.20E-15
135,4.38E-15
135,4.56E-15
135,4.74E-15
135,4.91E-15
136,5.08E-15
136,5.24E-15
136,5.39E-15
137,5.53E-15
137,5.65E-15
138,5.75E-15
138,5.82E-15
138,5.88E-15
138,5.90E-15
139,5.90E-15
139,5.88E-15
139,5.82E-15
139,5.74E-15
140,5.64E-15
140,5.50E-15
140,5.35E-15
141,5.18E-15
141,4.98E-15
142,4.78E-15
142,4.56E-15
142,4.34E-15
142,4.12E-15
143,3.89E-15
143,3.68E-15
143,3.47E-15
143,3.27E-15
144,3.09E-15
144,2.93E-15
144,2.79E-15
144,2.67E-15
145,2.58E-15
145,2.52E-15
146,2.48E-15
146,2.46E-15
146,2.48E-15
146,2.52E-15
147,2.58E-15
147,2.67E-15
147,2.78E-15
147,2.91E-15
148,3.05E-15
148,3.20E-15
148,3.37E-15
148,3.54E-15
149,3.72E-15
149,3.90E-15
150,4.07E-15
150,4.24E-15
150,4.41E-15
150,4.56E-15
151,4.70E-15
151,4.83E-15
151,4.95E-15
151,5.05E-15
152,5.14E-15
152,5.21E-15
152,5.26E-15
152,5.30E-15
152,5.33E-15
153,5.35E-15
153,5.35E-15
154,5.34E-15
154,5.33E-15
154,5.31E-15
154,5.28E-15
155,5.25E-15
155,5.21E-15
155,5.18E-15
155,5.15E-15
155,5.12E-15
156,5.09E-15
156,5.07E-15
156,5.06E-15
156,5.05E-15
157,5.05E-15
157,5.05E-15
157,5.07E-15
158,5.08E-15
158,5.11E-15
158,5.14E-15
158,5.17E-15
159,5.20E-15
159,5.24E-15
159,5.27E-15
159,5.31E-15
159,5.34E-15
160,5.37E-15
160,5.39E-15
160,5.40E-15
160,5.41E-15
160,5.40E-15
161,5.39E-15
161,5.36E-15
161,5.32E-15
162,5.28E-15
162,5.21E-15
162,5.14E-15
162,5.06E-15
162,4.96E-15
163,4.86E-15
163,4.74E-15
163,4.62E-15
163,4.49E-15
163,4.35E-15
164,4.22E-15
164,4.08E-15
164,3.94E-15
164,3.80E-15
164,3.67E-15
164,3.55E-15
165,3.44E-15
165,3.34E-15
166,3.25E-15
166,3.18E-15
166,3.14E-15
166,3.11E-15
166,3.11E-15
166,3.13E-15
167,3.18E-15
167,3.26E-15
167,3.38E-15
167,3.52E-15
167,3.69E-15
167,3.90E-15
168,4.14E-15
168,4.42E-15
168,4.73E-15
168,5.07E-15
168,5.44E-15
168,5.85E-15
168,6.28E-15
169,6.75E-15
169,7.24E-15
169,7.76E-15
170,8.30E-15
170,8.86E-15
170,9.45E-15
170,1.00E-14
170,1.07E-14
170,1.13E-14
170,1.19E-14
171,1.26E-14
171,1.32E-14
171,1.39E-14
171,1.46E-14
171,1.52E-14
171,1.59E-14
171,1.65E-14
172,1.71E-14
172,1.78E-14
172,1.84E-14
172,1.90E-14
172,1.96E-14
172,2.01E-14
172,2.07E-14
173,2.12E-14
173,2.17E-14
173,2.21E-14
173,2.26E-14
174,2.30E-14
174,2.33E-14
174,2.37E-14
174,2.40E-14
174,2.43E-14
174,2.45E-14
174,2.48E-14
174,2.50E-14
174,2.51E-14
175,2.52E-14
175,2.53E-14
175,2.54E-14
175,2.54E-14
175,2.54E-14
175,2.54E-14
175,2.53E-14
175,2.52E-14
175,2.51E-14
175,2.50E-14
176,2.48E-14
176,2.46E-14
176,2.44E-14
176,2.41E-14
176,2.38E-14
176,2.35E-14
176,2.32E-14
176,2.29E-14
176,2.25E-14
176,2.22E-14
177,2.18E-14
177,2.14E-14
177,2.10E-14
177,2.05E-14
177,2.01E-14
177,1.96E-14
177,1.92E-14
178,1.87E-14
178,1.82E-14
178,1.78E-14
178,1.73E-14
178,1.68E-14
178,1.63E-14
178,1.58E-14
178,1.53E-14
178,1.48E-14
178,1.43E-14
178,1.38E-14
178,1.33E-14
178,1.28E-14
178,1.23E-14
179,1.19E-14
179,1.14E-14
179,1.09E-14
179,1.04E-14
179,9.98E-15
179,9.52E-15
179,9.07E-15
179,8.63E-15
179,8.20E-15
179,7.78E-15
179,7.36E-15
179,6.96E-15
179,6.56E-15
179,6.18E-15
179,5.80E-15
179,5.44E-15
179,5.09E-15
179,4.74E-15
179,4.41E-15
179,4.09E-15
179,3.78E-15
179,3.49E-15
179,3.20E-15
180,2.93E-15
180,2.67E-15
180,2.42E-15
180,2.18E-15
180,1.95E-15
180,1.74E-15
180,1.54E-15
180,1.35E-15
180,1.17E-15
180,1.01E-15
180,8.57E-16
180,7.17E-16
180,5.90E-16
180,4.75E-16
180,3.73E-16
180,2.83E-16
180,2.05E-16
180,1.40E-16
180,8.74E-17
180,4.71E-17
180,1.92E-17
180,3.64E-18
