#1.5eV differential cross sections for H-H elastic collisions from Krstic and Shultz 1998,
#angle(deg),sigma(cm^2)
40.79493879,1.20E-15
41.10341926,1.20E-15
41.41270188,1.21E-15
41.72278664,1.23E-15
42.03373084,1.26E-15
42.34541988,1.30E-15
42.65791106,1.34E-15
42.97120438,1.40E-15
43.28529984,1.47E-15
43.60014015,1.56E-15
43.9157826,1.67E-15
44.23222719,1.78E-15
44.54935933,1.89E-15
44.86729361,1.99E-15
45.18603003,2.06E-15
45.505454,2.10E-15
45.82562282,2.10E-15
46.14653648,2.07E-15
46.46819499,2.01E-15
46.79054104,1.93E-15
47.11368924,1.84E-15
47.43746769,1.76E-15
47.76199099,1.70E-15
48.08725913,1.65E-15
48.41315752,1.62E-15
48.73980076,1.61E-15
49.06713155,1.60E-15
49.39514988,1.59E-15
49.72379848,1.57E-15
50.05313462,1.53E-15
50.38315831,1.47E-15
50.71386955,1.39E-15
51.04521104,1.30E-15
51.37718279,1.20E-15
51.70984208,1.11E-15
52.04313163,1.03E-15
52.37705143,9.80E-16
52.71154419,9.54E-16
53.0467245,9.58E-16
53.38253507,9.92E-16
53.71891859,1.05E-15
54.05587507,1.13E-15
54.3935191,1.21E-15
54.73167879,1.29E-15
55.07046873,1.36E-15
55.40983163,1.41E-15
55.74976749,1.44E-15
56.09033361,1.45E-15
56.43141538,1.45E-15
56.77301282,1.44E-15
57.11524051,1.43E-15
57.45792657,1.43E-15
57.80112829,1.44E-15
58.14490297,1.45E-15
58.4892506,1.47E-15
58.83417119,1.48E-15
59.17966474,1.47E-15
59.52573125,1.44E-15
59.87237072,1.38E-15
60.21901018,1.31E-15
60.56679557,1.24E-15
60.91458095,1.18E-15
61.26293929,1.15E-15
61.61187058,1.18E-15
61.96137484,1.25E-15
62.31087909,1.37E-15
62.66152926,1.52E-15
63.01217944,1.67E-15
63.36340256,1.79E-15
63.71462569,1.87E-15
64.06699474,1.88E-15
64.41936378,1.82E-15
64.77230578,1.71E-15
65.12582074,1.57E-15
65.47990866,1.44E-15
65.83399658,1.34E-15
66.18865745,1.31E-15
66.54331833,1.34E-15
66.89912512,1.44E-15
67.25435895,1.59E-15
67.6107387,1.75E-15
67.96711845,1.91E-15
68.32407115,2.02E-15
68.68159682,2.07E-15
69.03912248,2.05E-15
69.3972211,1.98E-15
69.75531973,1.86E-15
70.11399131,1.72E-15
70.47323584,1.58E-15
70.83248038,1.44E-15
71.19172492,1.31E-15
71.55211537,1.19E-15
71.91193287,1.08E-15
72.27289628,9.81E-16
72.63385969,8.83E-16
72.9948231,7.95E-16
73.35635947,7.24E-16
73.71789584,6.80E-16
74.08000516,6.71E-16
74.44211449,7.00E-16
74.80479677,7.62E-16
75.16747906,8.48E-16
75.53016134,9.41E-16
75.89341659,1.03E-15
76.25724479,1.09E-15
76.62107299,1.14E-15
76.98490118,1.18E-15
77.34872938,1.21E-15
77.71313054,1.26E-15
78.07810466,1.34E-15
78.44250582,1.45E-15
78.80747993,1.59E-15
79.173027,1.76E-15
79.53800112,1.92E-15
79.90354819,2.05E-15
80.26909527,2.14E-15
80.6352153,2.16E-15
81.00133533,2.10E-15
81.36745536,1.99E-15
81.73357539,1.81E-15
82.10026838,1.61E-15
82.46638841,1.39E-15
82.8330814,1.18E-15
83.19977439,9.92E-16
83.56704034,8.33E-16
83.93373332,7.11E-16
84.30099927,6.28E-16
84.66826522,5.87E-16
85.03553116,5.89E-16
85.40279711,6.33E-16
85.77063602,7.16E-16
86.13790196,8.32E-16
86.50574087,9.69E-16
86.87357977,1.11E-15
87.24084572,1.25E-15
87.60868462,1.37E-15
87.97652353,1.46E-15
88.34436243,1.51E-15
88.71220134,1.53E-15
89.08004024,1.53E-15
89.44787914,1.52E-15
89.81629101,1.52E-15
90.18412991,1.52E-15
90.55196882,1.52E-15
90.91980772,1.53E-15
91.28764662,1.53E-15
91.65548553,1.51E-15
92.02332443,1.46E-15
92.39116334,1.37E-15
92.75900224,1.25E-15
93.12684115,1.11E-15
93.49410709,9.69E-16
93.861946,8.32E-16
94.22921195,7.16E-16
94.59705085,6.33E-16
94.9643168,5.89E-16
95.33158274,5.87E-16
95.69884869,6.28E-16
96.06611464,7.11E-16
96.43280763,8.33E-16
96.80007357,9.92E-16
97.16676656,1.18E-15
97.53345955,1.39E-15
97.90015254,1.61E-15
98.26627257,1.81E-15
98.63296556,1.99E-15
98.99908559,2.10E-15
99.36463266,2.16E-15
99.73075269,2.14E-15
100.0962998,2.05E-15
100.4618468,1.92E-15
100.8273939,1.76E-15
101.192368,1.59E-15
101.5573421,1.45E-15
101.9223163,1.34E-15
102.2867174,1.26E-15
102.6511186,1.21E-15
103.0149468,1.18E-15
103.3793479,1.14E-15
103.7426032,1.09E-15
104.1064314,1.03E-15
104.4696866,9.41E-16
104.8323689,8.48E-16
105.1956241,7.62E-16
105.5577335,7.00E-16
105.9198428,6.71E-16
106.2819521,6.80E-16
106.6440614,7.24E-16
107.0050249,7.95E-16
107.3665612,8.83E-16
107.7275246,9.81E-16
108.0879151,1.08E-15
108.4483055,1.19E-15
108.808123,1.31E-15
109.1673676,1.44E-15
109.5271851,1.58E-15
109.8858567,1.72E-15
110.2445282,1.86E-15
110.6026269,1.98E-15
110.9607255,2.05E-15
111.3182511,2.07E-15
111.6757768,2.02E-15
112.0327295,1.91E-15
112.3891093,1.75E-15
112.745489,1.59E-15
113.1012958,1.44E-15
113.4565296,1.34E-15
