#10.0eV differential cross sections for H-H elastic collisions from Krstic and Shultz. 1998
#angle(deg),sigma(cm^2)
3.54E+01,2.52E-12
3.57E+01,2.58E-12
3.60E+01,2.66E-12
3.63E+01,2.75E-12
3.66E+01,2.81E-12
3.69E+01,2.85E-12
3.72E+01,2.87E-12
3.75E+01,2.86E-12
3.78E+01,2.84E-12
3.81E+01,2.81E-12
3.84E+01,2.80E-12
3.87E+01,2.82E-12
3.90E+01,2.86E-12
3.93E+01,2.94E-12
3.96E+01,3.05E-12
3.99E+01,3.20E-12
4.02E+01,3.40E-12
4.05E+01,3.62E-12
4.08E+01,3.86E-12
4.11E+01,4.11E-12
4.14E+01,4.38E-12
4.17E+01,4.61E-12
4.20E+01,4.81E-12
4.23E+01,4.98E-12
4.27E+01,5.10E-12
4.30E+01,5.16E-12
4.33E+01,5.17E-12
4.36E+01,5.13E-12
4.39E+01,5.05E-12
4.42E+01,4.95E-12
4.45E+01,4.82E-12
4.49E+01,4.68E-12
4.52E+01,4.55E-12
4.55E+01,4.43E-12
4.58E+01,4.31E-12
4.61E+01,4.22E-12
4.65E+01,4.16E-12
4.68E+01,4.13E-12
4.71E+01,4.13E-12
4.74E+01,4.16E-12
4.78E+01,4.24E-12
4.81E+01,4.35E-12
4.84E+01,4.50E-12
4.87E+01,4.71E-12
4.91E+01,4.96E-12
4.94E+01,5.25E-12
4.97E+01,5.60E-12
5.01E+01,5.99E-12
5.04E+01,6.42E-12
5.07E+01,6.88E-12
5.10E+01,7.33E-12
5.14E+01,7.76E-12
5.17E+01,8.14E-12
5.20E+01,8.40E-12
5.24E+01,8.52E-12
5.27E+01,8.53E-12
5.30E+01,8.40E-12
5.34E+01,8.15E-12
5.37E+01,7.83E-12
5.41E+01,7.49E-12
5.44E+01,7.13E-12
5.47E+01,6.78E-12
5.51E+01,6.47E-12
5.54E+01,6.21E-12
5.57E+01,5.99E-12
5.61E+01,5.83E-12
5.64E+01,5.71E-12
5.68E+01,5.66E-12
5.71E+01,5.66E-12
5.75E+01,5.71E-12
5.78E+01,5.83E-12
5.81E+01,6.01E-12
5.85E+01,6.24E-12
5.88E+01,6.55E-12
5.92E+01,6.94E-12
5.95E+01,7.39E-12
5.99E+01,7.92E-12
6.02E+01,8.53E-12
6.06E+01,9.17E-12
6.09E+01,9.82E-12
6.13E+01,1.05E-11
6.16E+01,1.10E-11
6.20E+01,1.14E-11
6.23E+01,1.16E-11
6.27E+01,1.15E-11
6.30E+01,1.12E-11
6.34E+01,1.08E-11
6.37E+01,1.02E-11
6.41E+01,9.65E-12
6.44E+01,9.06E-12
6.48E+01,8.48E-12
6.51E+01,7.98E-12
6.55E+01,7.56E-12
6.58E+01,7.20E-12
6.62E+01,6.92E-12
6.65E+01,6.73E-12
6.69E+01,6.59E-12
6.73E+01,6.53E-12
6.76E+01,6.56E-12
6.80E+01,6.65E-12
6.83E+01,6.82E-12
6.87E+01,7.09E-12
6.90E+01,7.45E-12
6.94E+01,7.90E-12
6.98E+01,8.50E-12
7.01E+01,9.22E-12
7.05E+01,1.01E-11
7.08E+01,1.11E-11
7.12E+01,1.23E-11
7.16E+01,1.36E-11
7.19E+01,1.49E-11
7.23E+01,1.61E-11
7.26E+01,1.71E-11
7.30E+01,1.76E-11
7.34E+01,1.75E-11
7.37E+01,1.70E-11
7.41E+01,1.60E-11
7.44E+01,1.48E-11
7.48E+01,1.35E-11
7.52E+01,1.23E-11
7.55E+01,1.12E-11
7.59E+01,1.02E-11
7.63E+01,9.44E-12
7.66E+01,8.77E-12
7.70E+01,8.23E-12
7.73E+01,7.83E-12
7.77E+01,7.52E-12
7.81E+01,7.32E-12
7.84E+01,7.22E-12
7.88E+01,7.20E-12
7.92E+01,7.27E-12
7.95E+01,7.44E-12
7.99E+01,7.70E-12
8.03E+01,8.07E-12
8.06E+01,8.57E-12
8.10E+01,9.18E-12
8.14E+01,9.95E-12
8.17E+01,1.09E-11
8.21E+01,1.20E-11
8.25E+01,1.32E-11
8.28E+01,1.46E-11
8.32E+01,1.59E-11
8.36E+01,1.72E-11
8.39E+01,1.82E-11
8.43E+01,1.87E-11
8.47E+01,1.87E-11
8.50E+01,1.82E-11
8.54E+01,1.71E-11
8.58E+01,1.59E-11
8.61E+01,1.46E-11
8.65E+01,1.33E-11
8.69E+01,1.21E-11
8.72E+01,1.11E-11
8.76E+01,1.02E-11
8.80E+01,9.52E-12
8.83E+01,8.96E-12
8.87E+01,8.54E-12
8.91E+01,8.22E-12
8.94E+01,8.02E-12
8.98E+01,7.92E-12
9.02E+01,7.92E-12
9.06E+01,8.02E-12
9.09E+01,8.22E-12
9.13E+01,8.54E-12
9.17E+01,8.96E-12
9.20E+01,9.52E-12
9.24E+01,1.02E-11
9.28E+01,1.11E-11
9.31E+01,1.21E-11
9.35E+01,1.33E-11
9.39E+01,1.46E-11
9.42E+01,1.59E-11
9.46E+01,1.71E-11
9.50E+01,1.82E-11
9.53E+01,1.87E-11
9.57E+01,1.87E-11
9.61E+01,1.82E-11
9.64E+01,1.72E-11
9.68E+01,1.59E-11
9.72E+01,1.46E-11
9.75E+01,1.32E-11
9.79E+01,1.20E-11
9.83E+01,1.09E-11
9.86E+01,9.95E-12
9.90E+01,9.18E-12
9.94E+01,8.57E-12
9.97E+01,8.07E-12
1.00E+02,7.70E-12
1.00E+02,7.44E-12
1.01E+02,7.27E-12
1.01E+02,7.20E-12
1.02E+02,7.22E-12
1.02E+02,7.32E-12
1.02E+02,7.52E-12
1.03E+02,7.83E-12
1.03E+02,8.23E-12
1.03E+02,8.77E-12
1.04E+02,9.44E-12
1.04E+02,1.02E-11
1.04E+02,1.12E-11
1.05E+02,1.23E-11
1.05E+02,1.35E-11
1.06E+02,1.48E-11
1.06E+02,1.60E-11
