#0.1eV differential cross sections for O-H elastic collisions from Zhang et al. 2009
#angle(deg),sigma(cm^2)
40.79493879,5.87E-13
41.10341926,6.11E-13
41.41270188,6.45E-13
41.72278664,6.89E-13
42.03373084,7.45E-13
42.34541988,8.14E-13
42.65791106,8.96E-13
42.97120438,9.90E-13
43.28529984,1.09E-12
43.60014015,1.20E-12
43.9157826,1.30E-12
44.23222719,1.37E-12
44.54935933,1.41E-12
44.86729361,1.41E-12
45.18603003,1.38E-12
45.505454,1.32E-12
45.82562282,1.26E-12
46.14653648,1.19E-12
46.46819499,1.13E-12
46.79054104,1.08E-12
47.11368924,1.04E-12
47.43746769,1.01E-12
47.76199099,9.93E-13
48.08725913,9.81E-13
48.41315752,9.73E-13
48.73980076,9.63E-13
49.06713155,9.49E-13
49.39514988,9.27E-13
49.72379848,8.97E-13
50.05313462,8.60E-13
50.38315831,8.19E-13
50.71386955,7.79E-13
51.04521104,7.43E-13
51.37718279,7.13E-13
51.70984208,6.92E-13
52.04313163,6.82E-13
52.37705143,6.83E-13
52.71154419,6.96E-13
53.0467245,7.24E-13
53.38253507,7.66E-13
53.71891859,8.26E-13
54.05587507,9.05E-13
54.3935191,1.00E-12
54.73167879,1.11E-12
55.07046873,1.24E-12
55.40983163,1.36E-12
55.74976749,1.46E-12
56.09033361,1.54E-12
56.43141538,1.59E-12
56.77301282,1.61E-12
57.11524051,1.62E-12
57.45792657,1.61E-12
57.80112829,1.61E-12
58.14490297,1.61E-12
58.4892506,1.62E-12
58.83417119,1.63E-12
59.17966474,1.63E-12
59.52573125,1.63E-12
59.87237072,1.60E-12
60.21901018,1.55E-12
60.56679557,1.48E-12
60.91458095,1.40E-12
61.26293929,1.32E-12
61.61187058,1.23E-12
61.96137484,1.16E-12
62.31087909,1.08E-12
62.66152926,1.02E-12
63.01217944,9.64E-13
63.36340256,9.15E-13
63.71462569,8.72E-13
64.06699474,8.35E-13
64.41936378,8.04E-13
64.77230578,7.80E-13
65.12582074,7.65E-13
65.47990866,7.61E-13
65.83399658,7.71E-13
66.18865745,7.97E-13
66.54331833,8.44E-13
