#3.9eV differential cross sections for H-H elastic collisions from Krstic and Shultz. 1998,
#angle(deg),sigma(cm^2)
40.79493879,2.03E-15
41.10341926,1.92E-15
41.41270188,1.79E-15
41.72278664,1.66E-15
42.03373084,1.54E-15
42.34541988,1.45E-15
42.65791106,1.39E-15
42.97120438,1.36E-15
43.28529984,1.35E-15
43.60014015,1.37E-15
43.9157826,1.39E-15
44.23222719,1.40E-15
44.54935933,1.38E-15
44.86729361,1.34E-15
45.18603003,1.27E-15
45.505454,1.18E-15
45.82562282,1.07E-15
46.14653648,9.47E-16
46.46819499,8.38E-16
46.79054104,7.50E-16
47.11368924,6.90E-16
47.43746769,6.63E-16
47.76199099,6.68E-16
48.08725913,7.00E-16
48.41315752,7.47E-16
48.73980076,8.01E-16
49.06713155,8.51E-16
49.39514988,8.89E-16
49.72379848,9.12E-16
50.05313462,9.17E-16
50.38315831,9.10E-16
50.71386955,9.00E-16
51.04521104,8.95E-16
51.37718279,9.02E-16
51.70984208,9.28E-16
52.04313163,9.74E-16
52.37705143,1.04E-15
52.71154419,1.12E-15
53.0467245,1.19E-15
53.38253507,1.26E-15
53.71891859,1.31E-15
54.05587507,1.33E-15
54.3935191,1.32E-15
54.73167879,1.29E-15
55.07046873,1.23E-15
55.40983163,1.18E-15
55.74976749,1.13E-15
56.09033361,1.11E-15
56.43141538,1.13E-15
56.77301282,1.20E-15
57.11524051,1.32E-15
57.45792657,1.48E-15
57.80112829,1.68E-15
58.14490297,1.88E-15
58.4892506,2.07E-15
58.83417119,2.23E-15
59.17966474,2.34E-15
59.52573125,2.39E-15
59.87237072,2.36E-15
60.21901018,2.26E-15
60.56679557,2.11E-15
60.91458095,1.91E-15
61.26293929,1.70E-15
61.61187058,1.49E-15
61.96137484,1.31E-15
62.31087909,1.17E-15
62.66152926,1.08E-15
63.01217944,1.04E-15
63.36340256,1.04E-15
63.71462569,1.09E-15
64.06699474,1.15E-15
64.41936378,1.23E-15
64.77230578,1.29E-15
65.12582074,1.33E-15
65.47990866,1.34E-15
65.83399658,1.33E-15
66.18865745,1.28E-15
66.54331833,1.22E-15
66.89912512,1.15E-15
67.25435895,1.08E-15
67.6107387,1.02E-15
67.96711845,9.76E-16
68.32407115,9.57E-16
68.68159682,9.58E-16
69.03912248,9.72E-16
69.3972211,9.95E-16
69.75531973,1.02E-15
70.11399131,1.03E-15
70.47323584,1.02E-15
70.83248038,9.92E-16
71.19172492,9.38E-16
71.55211537,8.62E-16
71.91193287,7.70E-16
72.27289628,6.68E-16
72.63385969,5.67E-16
72.9948231,4.74E-16
73.35635947,3.99E-16
73.71789584,3.46E-16
74.08000516,3.17E-16
74.44211449,3.13E-16
74.80479677,3.32E-16
75.16747906,3.68E-16
75.53016134,4.16E-16
75.89341659,4.70E-16
76.25724479,5.24E-16
76.62107299,5.73E-16
76.98490118,6.14E-16
77.34872938,6.45E-16
77.71313054,6.66E-16
78.07810466,6.77E-16
78.44250582,6.79E-16
78.80747993,6.77E-16
79.173027,6.71E-16
79.53800112,6.62E-16
79.90354819,6.51E-16
80.26909527,6.38E-16
80.6352153,6.23E-16
81.00133533,6.04E-16
81.36745536,5.80E-16
81.73357539,5.49E-16
82.10026838,5.14E-16
82.46638841,4.74E-16
82.8330814,4.32E-16
83.19977439,3.88E-16
83.56704034,3.47E-16
83.93373332,3.11E-16
84.30099927,2.82E-16
84.66826522,2.62E-16
85.03553116,2.52E-16
85.40279711,2.55E-16
85.77063602,2.68E-16
86.13790196,2.93E-16
86.50574087,3.28E-16
86.87357977,3.69E-16
87.24084572,4.15E-16
87.60868462,4.62E-16
87.97652353,5.09E-16
88.34436243,5.51E-16
88.71220134,5.87E-16
89.08004024,6.15E-16
89.44787914,6.35E-16
89.81629101,6.45E-16
90.18412991,6.45E-16
90.55196882,6.35E-16
90.91980772,6.15E-16
91.28764662,5.87E-16
91.65548553,5.51E-16
92.02332443,5.09E-16
92.39116334,4.62E-16
92.75900224,4.15E-16
93.12684115,3.69E-16
93.49410709,3.28E-16
93.861946,2.93E-16
94.22921195,2.68E-16
94.59705085,2.55E-16
94.9643168,2.52E-16
95.33158274,2.62E-16
95.69884869,2.82E-16
96.06611464,3.11E-16
96.43280763,3.47E-16
96.80007357,3.88E-16
97.16676656,4.32E-16
97.53345955,4.74E-16
97.90015254,5.14E-16
98.26627257,5.49E-16
98.63296556,5.80E-16
98.99908559,6.04E-16
99.36463266,6.23E-16
99.73075269,6.38E-16
100.0962998,6.51E-16
100.4618468,6.62E-16
100.8273939,6.71E-16
101.192368,6.77E-16
101.5573421,6.79E-16
101.9223163,6.77E-16
102.2867174,6.66E-16
102.6511186,6.45E-16
103.0149468,6.14E-16
103.3793479,5.73E-16
103.7426032,5.24E-16
104.1064314,4.70E-16
104.4696866,4.16E-16
104.8323689,3.68E-16
105.1956241,3.32E-16
105.5577335,3.13E-16
105.9198428,3.17E-16
106.2819521,3.46E-16
106.6440614,3.99E-16
107.0050249,4.74E-16
107.3665612,5.67E-16
107.7275246,6.68E-16
108.0879151,7.70E-16
108.4483055,8.62E-16
108.808123,9.38E-16
109.1673676,9.92E-16
109.5271851,1.02E-15
109.8858567,1.03E-15
110.2445282,1.02E-15
110.6026269,9.95E-16
110.9607255,9.72E-16
111.3182511,9.58E-16
111.6757768,9.57E-16
112.0327295,9.76E-16
112.3891093,1.02E-15
112.745489,1.08E-15
113.1012958,1.15E-15
113.4565296,1.22E-15
113.8117635,1.28E-15
114.1664243,1.33E-15
114.5205123,1.34E-15
114.8740272,1.33E-15
115.2275422,1.29E-15
115.5804842,1.23E-15
115.9328532,1.15E-15
116.2852223,1.09E-15
116.6370184,1.04E-15
116.9882415,1.04E-15
117.3388917,1.08E-15
117.6889689,1.17E-15
118.0390461,1.31E-15
118.3879774,1.49E-15
118.7369087,1.70E-15
119.085267,1.91E-15
119.4336254,2.11E-15
119.7808378,2.26E-15
120.1280502,2.36E-15
120.4741167,2.39E-15
120.8201832,2.34E-15
121.1656768,2.23E-15
121.5105974,2.07E-15
121.854945,1.88E-15
122.1987197,1.68E-15
122.5419214,1.48E-15
122.8845502,1.32E-15
123.2271789,1.20E-15
123.5686618,1.13E-15
123.9095716,1.11E-15
124.2504815,1.13E-15
124.5902455,1.18E-15
124.9294365,1.23E-15
125.2680546,1.29E-15
125.6066726,1.32E-15
125.9441448,1.33E-15
126.281044,1.31E-15
126.6173702,1.26E-15
126.9531235,1.19E-15
127.2883038,1.12E-15
127.6229111,1.04E-15
127.9569455,9.74E-16
128.2904069,9.28E-16
128.6227225,9.02E-16
128.955038,8.95E-16
129.2862076,9.00E-16
129.6168042,9.10E-16
129.9468279,9.17E-16
130.2762787,9.12E-16
130.6051564,8.89E-16
130.9328883,8.51E-16
131.2600472,8.01E-16
131.5866331,7.47E-16
131.9126461,7.00E-16
132.2380862,6.68E-16
132.5623803,6.63E-16
132.8861014,6.90E-16
133.2092496,7.50E-16
133.5318249,8.38E-16
133.8532542,9.47E-16
134.1741105,1.07E-15
134.494394,1.18E-15
134.8141044,1.27E-15
135.1326689,1.34E-15
135.4506605,1.38E-15
135.7675062,1.40E-15
136.0843518,1.39E-15
136.4000516,1.37E-15
136.7146054,1.35E-15
137.0285863,1.36E-15
137.3419942,1.39E-15
137.6548292,1.45E-15
137.9665182,1.54E-15
138.2770613,1.66E-15
138.5870315,1.79E-15
138.8964287,1.92E-15
139.2052529,2.03E-15
139.5129313,2.11E-15
139.8194637,2.13E-15
140.1254232,2.10E-15
140.4308097,2.01E-15
140.7350503,1.87E-15
141.0387179,1.69E-15
141.3412396,1.49E-15
141.6426154,1.29E-15
141.9434183,1.11E-15
142.2436481,9.69E-16
142.5427321,8.69E-16
142.8412431,8.17E-16
143.1386082,8.10E-16
143.4348274,8.41E-16
143.7304736,8.96E-16
144.0255469,9.65E-16
144.3189013,1.03E-15
144.6122557,1.10E-15
144.9038912,1.14E-15
145.1949537,1.18E-15
145.4854433,1.21E-15
145.7742141,1.25E-15
146.0624118,1.29E-15
146.3500367,1.34E-15
146.6365156,1.42E-15
146.9218485,1.53E-15
147.2066086,1.66E-15
147.4902227,1.80E-15
147.7726909,1.94E-15
148.0540131,2.07E-15
148.3347625,2.17E-15
148.6143659,2.23E-15
148.8933963,2.25E-15
149.1707079,2.22E-15
149.4474465,2.15E-15
149.7236122,2.05E-15
149.9980589,1.93E-15
150.2719328,1.81E-15
150.5446607,1.71E-15
150.8162427,1.64E-15
151.0872517,1.61E-15
151.3565419,1.62E-15
151.6252591,1.68E-15
151.8928304,1.77E-15
152.1592557,1.89E-15
152.4251082,2.01E-15
152.6898147,2.12E-15
152.9528023,2.20E-15
153.215217,2.25E-15
153.4770587,2.25E-15
153.7371815,2.21E-15
153.9961584,2.14E-15
154.2545624,2.04E-15
154.5118204,1.93E-15
154.7673596,1.83E-15
155.0223258,1.75E-15
155.2761461,1.71E-15
155.5288205,1.70E-15
155.780922,1.74E-15
156.0313045,1.81E-15
156.2805412,1.90E-15
156.5292048,2.02E-15
156.7761497,2.14E-15
157.0225215,2.24E-15
157.2671745,2.33E-15
157.5112545,2.38E-15
157.7541886,2.41E-15
157.9954038,2.41E-15
158.2360461,2.39E-15
158.4755425,2.36E-15
158.71332,2.34E-15
158.9505245,2.33E-15
159.1865831,2.36E-15
159.4209228,2.42E-15
159.6546896,2.52E-15
159.8873105,2.65E-15
160.1182125,2.82E-15
160.3485415,3.00E-15
160.5771517,3.18E-15
160.8051889,3.36E-15
161.0315072,3.50E-15
161.2566796,3.59E-15
161.4812791,3.63E-15
161.7041596,3.61E-15
161.9258943,3.54E-15
162.1464831,3.41E-15
162.3653529,3.24E-15
162.5836499,3.05E-15
162.8008009,2.86E-15
163.016233,2.68E-15
163.2310922,2.54E-15
163.4442325,2.44E-15
163.6562269,2.39E-15
163.8670753,2.39E-15
164.0767779,2.44E-15
164.2847616,2.53E-15
164.4921723,2.67E-15
164.6978641,2.82E-15
164.9024101,2.98E-15
165.1058101,3.13E-15
165.3080642,3.27E-15
165.5085994,3.40E-15
165.7085617,3.51E-15
165.9068051,3.59E-15
166.1039026,3.66E-15
166.2992812,3.72E-15
166.4940868,3.76E-15
166.6871736,3.82E-15
166.8791145,3.89E-15
167.0699094,3.99E-15
167.2589855,4.12E-15
167.4469156,4.27E-15
167.6336999,4.45E-15
167.8193382,4.64E-15
168.0032576,4.86E-15
168.1866041,5.08E-15
168.3682318,5.30E-15
168.5481405,5.50E-15
168.7269033,5.67E-15
168.9045203,5.79E-15
169.0809913,5.85E-15
169.2563163,5.87E-15
169.4299226,5.83E-15
169.6018099,5.74E-15
169.7731243,5.62E-15
169.9427198,5.46E-15
170.1111694,5.28E-15
170.2779001,5.09E-15
170.4434849,4.92E-15
170.6079238,4.77E-15
170.7712168,4.66E-15
170.9327909,4.61E-15
171.0926461,4.61E-15
171.2519283,4.67E-15
171.4094917,4.79E-15
171.5653363,4.97E-15
171.7206078,5.19E-15
171.8735876,5.47E-15
172.0259943,5.78E-15
172.1766822,6.11E-15
172.3262242,6.46E-15
172.4740473,6.81E-15
172.6207245,7.15E-15
