#6.3eV differential cross sections for H-H elastic collisions from Krstic and Shultz. 1998,
#angle(deg),sigma(cm^2)
4.41E-04,1.28E-16
2.32E-03,6.72E-16
5.71E-03,1.65E-15
1.06E-02,3.07E-15
1.70E-02,4.92E-15
2.49E-02,7.20E-15
3.43E-02,9.91E-15
4.52E-02,1.31E-14
5.76E-02,1.66E-14
7.15E-02,2.06E-14
8.69E-02,2.50E-14
1.04E-01,2.98E-14
1.22E-01,3.50E-14
1.42E-01,4.05E-14
1.64E-01,4.63E-14
1.87E-01,5.25E-14
2.11E-01,5.89E-14
2.37E-01,6.55E-14
2.64E-01,7.22E-14
2.93E-01,7.91E-14
3.24E-01,8.59E-14
3.56E-01,9.27E-14
3.89E-01,9.94E-14
4.24E-01,1.06E-13
4.60E-01,1.12E-13
4.98E-01,1.17E-13
5.38E-01,1.22E-13
5.78E-01,1.27E-13
6.21E-01,1.30E-13
6.65E-01,1.33E-13
7.10E-01,1.35E-13
7.57E-01,1.35E-13
8.05E-01,1.35E-13
8.55E-01,1.33E-13
9.07E-01,1.31E-13
9.59E-01,1.27E-13
1.01E+00,1.22E-13
1.07E+00,1.16E-13
1.13E+00,1.09E-13
1.19E+00,1.01E-13
1.25E+00,9.28E-14
1.31E+00,8.41E-14
1.37E+00,7.52E-14
1.44E+00,6.63E-14
1.50E+00,5.76E-14
1.57E+00,4.94E-14
1.64E+00,4.19E-14
1.71E+00,3.51E-14
1.78E+00,2.92E-14
1.85E+00,2.44E-14
1.93E+00,2.06E-14
2.01E+00,1.78E-14
2.08E+00,1.61E-14
2.16E+00,1.51E-14
2.24E+00,1.50E-14
2.33E+00,1.54E-14
2.41E+00,1.62E-14
2.50E+00,1.72E-14
2.58E+00,1.84E-14
2.67E+00,1.95E-14
2.76E+00,2.03E-14
2.85E+00,2.09E-14
2.94E+00,2.12E-14
3.04E+00,2.11E-14
3.13E+00,2.07E-14
3.23E+00,2.01E-14
3.33E+00,1.91E-14
3.43E+00,1.81E-14
3.53E+00,1.70E-14
3.63E+00,1.58E-14
3.74E+00,1.48E-14
3.84E+00,1.38E-14
3.95E+00,1.30E-14
4.06E+00,1.23E-14
4.17E+00,1.18E-14
4.28E+00,1.13E-14
4.39E+00,1.10E-14
4.51E+00,1.08E-14
4.62E+00,1.06E-14
4.74E+00,1.04E-14
4.86E+00,1.03E-14
