# O-CO2 state-resolved inelastic channels at energy index 14
# Generated by compute_inelastic_tables.py
ji,jf,sigma_cm2,delta_E_eV
0,2,1.0465060000e-15,2.9027924442e-04
0,4,3.1991970000e-16,9.6759748141e-04
0,6,2.6414270000e-16,2.0319547110e-03
0,8,2.0289230000e-16,3.4833509331e-03
0,10,1.6082430000e-16,5.3217861478e-03
0,12,1.6986630000e-16,7.5472603550e-03
0,14,1.3707430000e-16,1.0159773555e-02
0,16,1.1542950000e-16,1.3159325747e-02
0,18,1.4016070000e-16,1.6545916932e-02
0,20,1.2168970000e-16,2.0319547110e-02
0,22,9.9844730000e-17,2.4480216280e-02
0,24,1.1989830000e-16,2.9027924442e-02
0,26,1.0528350000e-16,3.3962671598e-02
0,28,8.7043430000e-17,3.9284457745e-02
0,30,9.5181700000e-17,4.4993282886e-02
0,32,8.8320300000e-17,5.1089147019e-02
0,34,8.2311830000e-17,5.7572050144e-02
0,36,8.8041670000e-17,6.4441992262e-02
0,38,7.8599130000e-17,7.1698973373e-02
0,40,7.0219730000e-17,7.9342993476e-02
0,42,7.5820830000e-17,8.7374052572e-02
0,44,7.0463870000e-17,9.5792150660e-02
0,46,6.1344500000e-17,1.0459728774e-01
0,48,6.7536900000e-17,1.1378946381e-01
0,50,6.3153170000e-17,1.2336867888e-01
0,52,5.3110230000e-17,1.3333493294e-01
0,54,5.7316670000e-17,1.4368822599e-01
0,56,5.6079000000e-17,1.5442855803e-01
0,58,4.7207370000e-17,1.6555592907e-01
0,60,4.8611830000e-17,1.7707033910e-01
0,62,5.2793970000e-17,1.8897178812e-01
0,64,4.6306830000e-17,2.0126027613e-01
0,66,4.1144330000e-17,2.1393580314e-01
0,68,4.2280000000e-17,2.2699836914e-01
0,70,4.0443230000e-17,2.4044797413e-01
0,72,3.8775330000e-17,2.5428461812e-01
0,74,4.0486070000e-17,2.6850830109e-01
0,76,4.2213170000e-17,2.8311902306e-01
0,78,3.6821670000e-17,2.9811678402e-01
0,80,3.6754930000e-17,3.1350158398e-01
0,82,4.0349330000e-17,3.2927342292e-01
0,84,3.4718100000e-17,3.4543230086e-01
0,86,3.2887070000e-17,3.6197821780e-01
0,88,3.5353370000e-17,3.7891117372e-01
0,90,3.6134870000e-17,3.9623116864e-01
0,92,2.9018130000e-17,4.1393820255e-01
0,94,3.2404530000e-17,4.3203227545e-01
0,96,3.7478370000e-17,4.5051338735e-01
0,98,2.5837500000e-17,4.6938153823e-01
0,100,4.2564370000e-17,4.8863672811e-01
1,3,7.6495030000e-16,4.8379874071e-04
1,5,2.9804830000e-16,1.3546364740e-03
1,7,2.3488970000e-16,2.6125131998e-03
1,9,1.8672500000e-16,4.2574289182e-03
1,11,1.6431130000e-16,6.2893836292e-03
1,13,1.5468630000e-16,8.7083773327e-03
1,15,1.2872730000e-16,1.1514410029e-02
1,17,1.2254400000e-16,1.4707481717e-02
1,19,1.2502930000e-16,1.8287592399e-02
1,21,1.0854930000e-16,2.2254742072e-02
1,23,1.0413150000e-16,2.6608930739e-02
1,25,1.0670040000e-16,3.1350158398e-02
1,27,9.5818270000e-17,3.6478425049e-02
1,29,9.4762700000e-17,4.1993730693e-02
1,31,9.2660100000e-17,4.7896075330e-02
1,33,8.5048200000e-17,5.4185458959e-02
1,35,8.9432770000e-17,6.0861881581e-02
1,37,8.5899800000e-17,6.7925343195e-02
1,39,7.4739600000e-17,7.5375843802e-02
1,41,7.4170900000e-17,8.3213383401e-02
1,43,7.3837370000e-17,9.1437961993e-02
1,45,6.7956630000e-17,1.0004957958e-01
1,47,6.3067130000e-17,1.0904823616e-01
1,49,6.7613070000e-17,1.1843393172e-01
1,51,6.2255430000e-17,1.2820666629e-01
1,53,5.5542570000e-17,1.3836643984e-01
