# O-CO2 state-resolved inelastic channels at energy index 4
# Generated by compute_inelastic_tables.py
ji,jf,sigma_cm2,delta_E_eV
0,2,1.8925330000e-15,2.9027924442e-04
0,4,6.6299230000e-16,9.6759748141e-04
0,6,4.3698130000e-16,2.0319547110e-03
0,8,3.4024900000e-16,3.4833509331e-03
0,10,2.1791700000e-16,5.3217861478e-03
0,12,2.3836400000e-16,7.5472603550e-03
0,14,2.0937670000e-16,1.0159773555e-02
0,16,1.6475100000e-16,1.3159325747e-02
0,18,1.8267230000e-16,1.6545916932e-02
0,20,1.4919030000e-16,2.0319547110e-02
0,22,1.2425270000e-16,2.4480216280e-02
0,24,1.4009300000e-16,2.9027924442e-02
0,26,1.1628600000e-16,3.3962671598e-02
0,28,9.1306900000e-17,3.9284457745e-02
0,30,1.0518950000e-16,4.4993282886e-02
0,32,9.3807070000e-17,5.1089147019e-02
0,34,7.3245700000e-17,5.7572050144e-02
0,36,8.0403900000e-17,6.4441992262e-02
0,38,8.3214030000e-17,7.1698973373e-02
0,40,6.4725600000e-17,7.9342993476e-02
0,42,6.0466070000e-17,8.7374052572e-02
0,44,6.7338470000e-17,9.5792150660e-02
0,46,5.8987970000e-17,1.0459728774e-01
0,48,4.7767570000e-17,1.1378946381e-01
0,50,5.0580970000e-17,1.2336867888e-01
0,52,5.1333430000e-17,1.3333493294e-01
0,54,4.3226200000e-17,1.4368822599e-01
0,56,3.9691030000e-17,1.5442855803e-01
0,58,4.0082970000e-17,1.6555592907e-01
0,60,3.6708430000e-17,1.7707033910e-01
0,62,3.2166930000e-17,1.8897178812e-01
0,64,3.0621430000e-17,2.0126027613e-01
0,66,2.9799400000e-17,2.1393580314e-01
0,68,2.6802000000e-17,2.2699836914e-01
0,70,2.3367700000e-17,2.4044797413e-01
0,72,2.1060570000e-17,2.5428461812e-01
0,74,2.0081270000e-17,2.6850830109e-01
0,76,1.6870370000e-17,2.8311902306e-01
0,78,1.3231830000e-17,2.9811678402e-01
0,80,1.0276010000e-17,3.1350158398e-01
0,82,7.7400830000e-18,3.2927342292e-01
0,84,4.5154770000e-18,3.4543230086e-01
0,86,1.6683040000e-18,3.6197821780e-01
0,88,3.0400930000e-19,3.7891117372e-01
0,90,1.8443150000e-20,3.9623116864e-01
1,3,1.4169020000e-15,4.8379874071e-04
1,5,5.7280670000e-16,1.3546364740e-03
1,7,3.9739400000e-16,2.6125131998e-03
1,9,2.8521930000e-16,4.2574289182e-03
1,11,2.3333770000e-16,6.2893836292e-03
1,13,2.3013170000e-16,8.7083773327e-03
1,15,1.8279470000e-16,1.1514410029e-02
1,17,1.7494430000e-16,1.4707481717e-02
