# O-CO2 state-resolved inelastic channels at energy index 23
# Generated by compute_inelastic_tables.py
ji,jf,sigma_cm2,delta_E_eV
0,2,8.2730800000e-16,2.9027924442e-04
0,4,2.6957430000e-16,9.6759748141e-04
0,6,2.4384500000e-16,2.0319547110e-03
0,8,1.8133530000e-16,3.4833509331e-03
0,10,1.4266130000e-16,5.3217861478e-03
0,12,1.5669930000e-16,7.5472603550e-03
0,14,1.2786600000e-16,1.0159773555e-02
0,16,1.0414480000e-16,1.3159325747e-02
0,18,1.2770800000e-16,1.6545916932e-02
0,20,1.0357860000e-16,2.0319547110e-02
0,22,9.1468770000e-17,2.4480216280e-02
0,24,1.0205850000e-16,2.9027924442e-02
0,26,8.8318130000e-17,3.3962671598e-02
0,28,7.5041600000e-17,3.9284457745e-02
0,30,8.7093570000e-17,4.4993282886e-02
0,32,7.7808400000e-17,5.1089147019e-02
0,34,6.9460300000e-17,5.7572050144e-02
0,36,8.0157130000e-17,6.4441992262e-02
0,38,6.8442100000e-17,7.1698973373e-02
0,40,6.6146400000e-17,7.9342993476e-02
0,42,7.2812300000e-17,8.7374052572e-02
0,44,7.5312300000e-17,9.5792150660e-02
0,46,6.3181470000e-17,1.0459728774e-01
0,48,6.6133830000e-17,1.1378946381e-01
0,50,6.6327870000e-17,1.2336867888e-01
0,52,6.0108770000e-17,1.3333493294e-01
0,54,6.4197170000e-17,1.4368822599e-01
0,56,6.2284130000e-17,1.5442855803e-01
0,58,5.8564900000e-17,1.6555592907e-01
0,60,5.6450330000e-17,1.7707033910e-01
0,62,5.9697170000e-17,1.8897178812e-01
0,64,4.8731700000e-17,2.0126027613e-01
0,66,4.7687700000e-17,2.1393580314e-01
0,68,4.7736430000e-17,2.2699836914e-01
0,70,4.9491500000e-17,2.4044797413e-01
0,72,4.6183530000e-17,2.5428461812e-01
0,74,4.7495600000e-17,2.6850830109e-01
0,76,4.4399100000e-17,2.8311902306e-01
0,78,4.1663200000e-17,2.9811678402e-01
0,80,3.9267870000e-17,3.1350158398e-01
0,82,4.2677330000e-17,3.2927342292e-01
0,84,4.0028170000e-17,3.4543230086e-01
0,86,4.2501400000e-17,3.6197821780e-01
0,88,4.4053600000e-17,3.7891117372e-01
0,90,3.8084030000e-17,3.9623116864e-01
0,92,3.9452000000e-17,4.1393820255e-01
0,94,4.5082470000e-17,4.3203227545e-01
0,96,3.3670930000e-17,4.5051338735e-01
0,98,3.4355200000e-17,4.6938153823e-01
0,100,5.9717970000e-17,4.8863672811e-01
1,3,6.1628100000e-16,4.8379874071e-04
1,5,2.6389800000e-16,1.3546364740e-03
1,7,2.1745370000e-16,2.6125131998e-03
1,9,1.6463630000e-16,4.2574289182e-03
1,11,1.4631600000e-16,6.2893836292e-03
1,13,1.3891630000e-16,8.7083773327e-03
1,15,1.1364890000e-16,1.1514410029e-02
1,17,1.1503370000e-16,1.4707481717e-02
1,19,1.1340770000e-16,1.8287592399e-02
1,21,9.7143430000e-17,2.2254742072e-02
1,23,9.5522630000e-17,2.6608930739e-02
1,25,9.2530300000e-17,3.1350158398e-02
