# O-CO2 state-resolved inelastic channels at energy index 20
# Generated by compute_inelastic_tables.py
ji,jf,sigma_cm2,delta_E_eV
0,2,8.7973930000e-16,2.9027924442e-04
0,4,2.8180430000e-16,9.6759748141e-04
0,6,2.5149370000e-16,2.0319547110e-03
0,8,1.8560300000e-16,3.4833509331e-03
0,10,1.4745770000e-16,5.3217861478e-03
0,12,1.5894730000e-16,7.5472603550e-03
0,14,1.3036000000e-16,1.0159773555e-02
0,16,1.0776930000e-16,1.3159325747e-02
0,18,1.3105130000e-16,1.6545916932e-02
0,20,1.0728440000e-16,2.0319547110e-02
0,22,9.4215930000e-17,2.4480216280e-02
0,24,1.0615840000e-16,2.9027924442e-02
0,26,8.6995700000e-17,3.3962671598e-02
0,28,7.7503730000e-17,3.9284457745e-02
0,30,9.0348870000e-17,4.4993282886e-02
0,32,7.9867670000e-17,5.1089147019e-02
0,34,7.1754470000e-17,5.7572050144e-02
0,36,8.1503730000e-17,6.4441992262e-02
0,38,7.1041370000e-17,7.1698973373e-02
0,40,6.7646100000e-17,7.9342993476e-02
0,42,7.5559300000e-17,8.7374052572e-02
0,44,7.8504100000e-17,9.5792150660e-02
0,46,6.3872300000e-17,1.0459728774e-01
0,48,6.9517870000e-17,1.1378946381e-01
0,50,6.6411800000e-17,1.2336867888e-01
0,52,5.9255700000e-17,1.3333493294e-01
0,54,6.4609070000e-17,1.4368822599e-01
0,56,6.0736270000e-17,1.5442855803e-01
0,58,5.4890400000e-17,1.6555592907e-01
0,60,5.4796970000e-17,1.7707033910e-01
0,62,5.6286800000e-17,1.8897178812e-01
0,64,4.7407630000e-17,2.0126027613e-01
0,66,4.5547700000e-17,2.1393580314e-01
0,68,4.8474770000e-17,2.2699836914e-01
0,70,4.9195070000e-17,2.4044797413e-01
0,72,4.3422830000e-17,2.5428461812e-01
0,74,4.4389970000e-17,2.6850830109e-01
0,76,4.3107830000e-17,2.8311902306e-01
0,78,3.9960800000e-17,2.9811678402e-01
0,80,4.1779970000e-17,3.1350158398e-01
0,82,4.0827170000e-17,3.2927342292e-01
0,84,3.9025200000e-17,3.4543230086e-01
0,86,4.0076500000e-17,3.6197821780e-01
0,88,4.0695330000e-17,3.7891117372e-01
0,90,3.4843870000e-17,3.9623116864e-01
0,92,3.5369230000e-17,4.1393820255e-01
0,94,4.4213870000e-17,4.3203227545e-01
0,96,3.5036270000e-17,4.5051338735e-01
0,98,3.2436330000e-17,4.6938153823e-01
0,100,5.5325770000e-17,4.8863672811e-01
1,3,6.5223430000e-16,4.8379874071e-04
1,5,2.7313170000e-16,1.3546364740e-03
1,7,2.2118930000e-16,2.6125131998e-03
1,9,1.6952530000e-16,4.2574289182e-03
1,11,1.5023900000e-16,6.2893836292e-03
1,13,1.4198500000e-16,8.7083773327e-03
1,15,1.1809230000e-16,1.1514410029e-02
1,17,1.1734930000e-16,1.4707481717e-02
1,19,1.1450870000e-16,1.8287592399e-02
1,21,9.6990700000e-17,2.2254742072e-02
1,23,9.7642800000e-17,2.6608930739e-02
1,25,9.4826870000e-17,3.1350158398e-02
1,27,8.5178000000e-17,3.6478425049e-02
1,29,8.5964630000e-17,4.1993730693e-02
1,31,8.4704900000e-17,4.7896075330e-02
1,33,7.6363530000e-17,5.4185458959e-02
1,35,8.0606300000e-17,6.0861881581e-02
1,37,7.8814970000e-17,6.7925343195e-02
1,39,6.9065670000e-17,7.5375843802e-02
1,41,7.2352430000e-17,8.3213383401e-02
1,43,7.7381800000e-17,9.1437961993e-02
1,45,6.9686270000e-17,1.0004957958e-01
1,47,6.2884170000e-17,1.0904823616e-01
1,49,7.0295070000e-17,1.1843393172e-01
1,51,6.4607530000e-17,1.2820666629e-01
1,53,6.0214370000e-17,1.3836643984e-01
1,55,6.1668500000e-17,1.4891325239e-01
1,57,5.9721200000e-17,1.5984710393e-01
1,59,5.6971230000e-17,1.7116799446e-01
1,61,5.4986330000e-17,1.8287592399e-01
1,63,5.6298470000e-17,1.9497089250e-01
1,65,5.2484870000e-17,2.0745290001e-01
1,67,4.9375000000e-17,2.2032194652e-01
1,69,4.8160530000e-17,2.3357803201e-01
1,71,4.6834000000e-17,2.4722115650e-01
1,73,4.7237070000e-17,2.6125131998e-01
1,75,4.3684170000e-17,2.7566852245e-01
1,77,4.4010130000e-17,2.9047276392e-01
1,79,4.2907300000e-17,3.0566404438e-01
1,81,4.1075770000e-17,3.2124236383e-01
1,83,4.1593330000e-17,3.3720772227e-01
1,85,4.3543830000e-17,3.5356011971e-01
1,87,3.9148030000e-17,3.7029955614e-01
1,89,3.6320430000e-17,3.8742603156e-01
1,91,3.7428300000e-17,4.0493954597e-01
1,93,4.7170270000e-17,4.2284009938e-01
1,95,3.6473730000e-17,4.4112769178e-01
1,97,3.3353870000e-17,4.5980232317e-01
1,99,5.7233100000e-17,4.7886399355e-01
2,0,1.7596930000e-16,-2.9027924442e-04
2,4,6.0268300000e-16,6.7731823699e-04
2,6,2.4928670000e-16,1.7416754665e-03
2,8,2.0092170000e-16,3.1930716887e-03
2,10,1.6699800000e-16,5.0315069033e-03
2,12,1.4463230000e-16,7.2569811106e-03
2,14,1.3090570000e-16,9.8694943104e-03
2,16,1.2453870000e-16,1.2869046503e-02
2,18,1.1381830000e-16,1.6255637688e-02
2,20,1.0781530000e-16,2.0029267865e-02
2,22,1.0187240000e-16,2.4189937035e-02
2,24,9.3365200000e-17,2.8737645198e-02
2,26,8.9791900000e-17,3.3672392353e-02
2,28,8.6477230000e-17,3.8994178501e-02
2,30,8.0044230000e-17,4.4703003641e-02
2,32,8.0945500000e-17,5.0798867774e-02
2,34,7.9002900000e-17,5.7281770900e-02
2,36,7.0867070000e-17,6.4151713018e-02
2,38,7.4993170000e-17,7.1408694128e-02
2,40,7.0646430000e-17,7.9052714231e-02
2,42,6.9442000000e-17,8.7083773327e-02
