# O-CO2 state-resolved inelastic channels at energy index 24
# Generated by compute_inelastic_tables.py
ji,jf,sigma_cm2,delta_E_eV
0,2,8.1215270000e-16,2.9027924442e-04
0,4,2.6591100000e-16,9.6759748141e-04
0,6,2.4381700000e-16,2.0319547110e-03
0,8,1.8143570000e-16,3.4833509331e-03
0,10,1.4178530000e-16,5.3217861478e-03
0,12,1.5435600000e-16,7.5472603550e-03
0,14,1.2622600000e-16,1.0159773555e-02
0,16,1.0213640000e-16,1.3159325747e-02
0,18,1.2645170000e-16,1.6545916932e-02
0,20,1.0338450000e-16,2.0319547110e-02
0,22,9.1977470000e-17,2.4480216280e-02
0,24,1.0077260000e-16,2.9027924442e-02
0,26,8.8293430000e-17,3.3962671598e-02
0,28,7.4104630000e-17,3.9284457745e-02
0,30,8.6958270000e-17,4.4993282886e-02
0,32,7.6075770000e-17,5.1089147019e-02
0,34,7.1286900000e-17,5.7572050144e-02
0,36,7.9907000000e-17,6.4441992262e-02
0,38,6.7889000000e-17,7.1698973373e-02
0,40,6.5497430000e-17,7.9342993476e-02
0,42,7.2270370000e-17,8.7374052572e-02
0,44,7.3041370000e-17,9.5792150660e-02
0,46,6.3354900000e-17,1.0459728774e-01
0,48,6.5462330000e-17,1.1378946381e-01
0,50,6.5416370000e-17,1.2336867888e-01
0,52,6.0650870000e-17,1.3333493294e-01
0,54,6.4124070000e-17,1.4368822599e-01
0,56,6.1867570000e-17,1.5442855803e-01
0,58,6.0141870000e-17,1.6555592907e-01
0,60,5.6742630000e-17,1.7707033910e-01
0,62,5.9663500000e-17,1.8897178812e-01
0,64,4.9741400000e-17,2.0126027613e-01
0,66,4.8093370000e-17,2.1393580314e-01
0,68,4.8967230000e-17,2.2699836914e-01
0,70,4.9566800000e-17,2.4044797413e-01
0,72,4.7148970000e-17,2.5428461812e-01
0,74,4.8546100000e-17,2.6850830109e-01
0,76,4.3469070000e-17,2.8311902306e-01
0,78,4.2062070000e-17,2.9811678402e-01
0,80,3.8881100000e-17,3.1350158398e-01
0,82,4.3107570000e-17,3.2927342292e-01
0,84,4.0513370000e-17,3.4543230086e-01
0,86,4.1983300000e-17,3.6197821780e-01
0,88,4.4082500000e-17,3.7891117372e-01
0,90,3.9669330000e-17,3.9623116864e-01
0,92,4.0819570000e-17,4.1393820255e-01
0,94,4.5027270000e-17,4.3203227545e-01
0,96,3.3634030000e-17,4.5051338735e-01
0,98,3.5207200000e-17,4.6938153823e-01
0,100,6.0667200000e-17,4.8863672811e-01
1,3,6.0533870000e-16,4.8379874071e-04
1,5,2.6206900000e-16,1.3546364740e-03
1,7,2.1714900000e-16,2.6125131998e-03
1,9,1.6346930000e-16,4.2574289182e-03
1,11,1.4514000000e-16,6.2893836292e-03
1,13,1.3695700000e-16,8.7083773327e-03
1,15,1.1276910000e-16,1.1514410029e-02
1,17,1.1360000000e-16,1.4707481717e-02
1,19,1.1283930000e-16,1.8287592399e-02
1,21,9.7131100000e-17,2.2254742072e-02
1,23,9.4866030000e-17,2.6608930739e-02
1,25,9.1614970000e-17,3.1350158398e-02
1,27,8.2815330000e-17,3.6478425049e-02
1,29,8.3416830000e-17,4.1993730693e-02
1,31,8.0935930000e-17,4.7896075330e-02
1,33,7.2592530000e-17,5.4185458959e-02
1,35,7.7576700000e-17,6.0861881581e-02
1,37,7.4664330000e-17,6.7925343195e-02
1,39,6.5637470000e-17,7.5375843802e-02
1,41,6.8539770000e-17,8.3213383401e-02
1,43,7.4973100000e-17,9.1437961993e-02
1,45,6.9283170000e-17,1.0004957958e-01
1,47,6.2526970000e-17,1.0904823616e-01
1,49,7.0192800000e-17,1.1843393172e-01
1,51,6.4403470000e-17,1.2820666629e-01
1,53,5.9235800000e-17,1.3836643984e-01
1,55,6.0440600000e-17,1.4891325239e-01
1,57,6.2223000000e-17,1.5984710393e-01
1,59,5.7037530000e-17,1.7116799446e-01
1,61,5.9173870000e-17,1.8287592399e-01
1,63,5.6601470000e-17,1.9497089250e-01
1,65,5.7017030000e-17,2.0745290001e-01
1,67,5.0252170000e-17,2.2032194652e-01
1,69,4.9211170000e-17,2.3357803201e-01
1,71,4.9037200000e-17,2.4722115650e-01
1,73,4.9865030000e-17,2.6125131998e-01
1,75,4.4506100000e-17,2.7566852245e-01
1,77,4.4813330000e-17,2.9047276392e-01
1,79,4.2991230000e-17,3.0566404438e-01
1,81,4.6481500000e-17,3.2124236383e-01
1,83,4.4443670000e-17,3.3720772227e-01
1,85,4.4876870000e-17,3.5356011971e-01
1,87,3.9184600000e-17,3.7029955614e-01
1,89,3.7737330000e-17,3.8742603156e-01
1,91,4.3008570000e-17,4.0493954597e-01
1,93,4.6301970000e-17,4.2284009938e-01
1,95,3.4997900000e-17,4.4112769178e-01
1,97,3.8621870000e-17,4.5980232317e-01
1,99,6.1978730000e-17,4.7886399355e-01
2,0,1.6244730000e-16,-2.9027924442e-04
2,4,5.6144300000e-16,6.7731823699e-04
2,6,2.4046570000e-16,1.7416754665e-03
2,8,1.9654200000e-16,3.1930716887e-03
2,10,1.6253870000e-16,5.0315069033e-03
2,12,1.4176170000e-16,7.2569811106e-03
2,14,1.2646400000e-16,9.8694943104e-03
2,16,1.2160370000e-16,1.2869046503e-02
2,18,1.0846060000e-16,1.6255637688e-02
2,20,1.0420080000e-16,2.0029267865e-02
2,22,9.8300000000e-17,2.4189937035e-02
2,24,9.1951170000e-17,2.8737645198e-02
2,26,8.5646330000e-17,3.3672392353e-02
2,28,8.5595170000e-17,3.8994178501e-02
2,30,7.7919800000e-17,4.4703003641e-02
2,32,7.7401930000e-17,5.0798867774e-02
2,34,7.6130970000e-17,5.7281770900e-02
2,36,7.1509430000e-17,6.4151713018e-02
2,38,7.2283470000e-17,7.1408694128e-02
2,40,6.8552830000e-17,7.9052714231e-02
2,42,6.7014270000e-17,8.7083773327e-02
2,44,6.7802200000e-17,9.5501871415e-02
2,46,6.3781230000e-17,1.0430700850e-01
2,48,6.2693230000e-17,1.1349918457e-01
2,50,6.4760130000e-17,1.2307839964e-01
2,52,5.9776070000e-17,1.3304465369e-01
2,54,5.7074170000e-17,1.4339794675e-01
2,56,5.9159930000e-17,1.5413827879e-01
2,58,5.9164070000e-17,1.6526564983e-01
2,60,5.6258230000e-17,1.7678005985e-01
2,62,6.1325230000e-17,1.8868150888e-01
2,64,5.9065800000e-17,2.0096999689e-01
2,66,5.4419530000e-17,2.1364552390e-01
2,68,5.2712330000e-17,2.2670808989e-01
2,70,5.3161570000e-17,2.4015769489e-01
2,72,4.8279430000e-17,2.5399433887e-01
2,74,4.8587170000e-17,2.6821802185e-01
2,76,4.7702200000e-17,2.8282874382e-01
2,78,4.7181770000e-17,2.9782650478e-01
2,80,4.3188070000e-17,3.1321130473e-01
2,82,4.6245970000e-17,3.2898314368e-01
2,84,4.3442630000e-17,3.4514202162e-01
2,86,4.4402630000e-17,3.6168793855e-01
2,88,4.0613770000e-17,3.7862089448e-01
2,90,3.8965270000e-17,3.9594088939e-01
2,92,4.1779770000e-17,4.1364792330e-01
2,94,4.5274670000e-17,4.3174199621e-01
2,96,3.5124500000e-17,4.5022310810e-01
2,98,3.7805030000e-17,4.6909125899e-01
2,100,6.1218070000e-17,4.8834644887e-01
3,1,2.5947470000e-16,-4.8379874071e-04
3,5,5.3175700000e-16,8.7083773327e-04
3,7,2.2515470000e-16,2.1287144591e-03
3,9,1.9442370000e-16,3.7736301775e-03
3,11,1.5597500000e-16,5.8055848885e-03
3,13,1.2798030000e-16,8.2245785920e-03
3,15,1.3112270000e-16,1.1030611288e-02
3,17,1.1802230000e-16,1.4223682977e-02
3,19,1.0030830000e-16,1.7803793658e-02
3,21,1.0746250000e-16,2.1770943332e-02
3,23,9.7992730000e-17,2.6125131998e-02
3,25,8.4944600000e-17,3.0866359657e-02
3,27,8.9209000000e-17,3.5994626309e-02
3,29,8.4287470000e-17,4.1509931953e-02
3,31,7.4053570000e-17,4.7412276589e-02
3,33,7.8489700000e-17,5.3701660218e-02
3,35,7.3919970000e-17,6.0378082840e-02
3,37,6.9454970000e-17,6.7441544454e-02
3,39,6.9296930000e-17,7.4892045061e-02
3,41,6.7844400000e-17,8.2729584661e-02
3,43,6.7250430000e-17,9.0954163253e-02
3,45,6.5611030000e-17,9.9565780837e-02
3,47,6.2282630000e-17,1.0856443741e-01
3,49,6.6717300000e-17,1.1795013298e-01
3,51,6.4127570000e-17,1.2772286755e-01
3,53,5.9044700000e-17,1.3788264110e-01
3,55,5.9303900000e-17,1.4842945365e-01
3,57,6.2619000000e-17,1.5936330519e-01
3,59,5.7951570000e-17,1.7068419572e-01
3,61,5.9938670000e-17,1.8239212525e-01
3,63,6.0144930000e-17,1.9448709376e-01
3,65,5.9531970000e-17,2.0696910127e-01
3,67,5.2592200000e-17,2.1983814778e-01
3,69,5.4487170000e-17,2.3309423327e-01
3,71,5.1435330000e-17,2.4673735776e-01
3,73,5.1554370000e-17,2.6076752124e-01
3,75,4.7294400000e-17,2.7518472371e-01
3,77,4.7228200000e-17,2.8998896518e-01
3,79,4.4018500000e-17,3.0518024564e-01
3,81,4.9755200000e-17,3.2075856509e-01
3,83,4.7287830000e-17,3.3672392353e-01
3,85,4.5422100000e-17,3.5307632097e-01
3,87,4.1607900000e-17,3.6981575740e-01
3,89,3.9497000000e-17,3.8694223282e-01
3,91,4.3512930000e-17,4.0445574723e-01
3,93,4.6307930000e-17,4.2235630064e-01
3,95,3.5271200000e-17,4.4064389304e-01
3,97,3.8292700000e-17,4.5931852443e-01
3,99,6.2648870000e-17,4.7838019481e-01
4,0,2.9555600000e-17,-9.6759748141e-04
4,2,3.1198600000e-16,-6.7731823699e-04
4,6,5.1304530000e-16,1.0643572296e-03
4,8,2.2500230000e-16,2.5157534517e-03
4,10,1.8828400000e-16,4.3541886664e-03
4,12,1.4940500000e-16,6.5796628736e-03
4,14,1.3029800000e-16,9.1921760734e-03
4,16,1.2707370000e-16,1.2191728266e-02
4,18,1.0999370000e-16,1.5578319451e-02
4,20,1.0012810000e-16,1.9351949628e-02
4,22,1.0174090000e-16,2.3512618798e-02
4,24,8.9203800000e-17,2.8060326961e-02
4,26,8.6427830000e-17,3.2995074116e-02
4,28,8.6782430000e-17,3.8316860264e-02
4,30,7.9618900000e-17,4.4025685404e-02
4,32,7.8031900000e-17,5.0121549537e-02
4,34,7.7128130000e-17,5.6604452663e-02
4,36,7.3340230000e-17,6.3474394781e-02
4,38,7.1386530000e-17,7.0731375891e-02
4,40,7.0432600000e-17,7.8375395994e-02
4,42,6.4490670000e-17,8.6406455090e-02
4,44,6.6311530000e-17,9.4824553178e-02
4,46,6.6335400000e-17,1.0362969026e-01
4,48,6.2352030000e-17,1.1282186633e-01
4,50,6.3442870000e-17,1.2240108140e-01
4,52,6.0437470000e-17,1.3236733546e-01
4,54,5.9327030000e-17,1.4272062851e-01
4,56,5.7954630000e-17,1.5346096055e-01
4,58,6.0026130000e-17,1.6458833159e-01
4,60,5.6253470000e-17,1.7610274162e-01
4,62,5.8415900000e-17,1.8800419064e-01
4,64,5.8096070000e-17,2.0029267865e-01
4,66,5.7560100000e-17,2.1296820566e-01
4,68,5.5210400000e-17,2.2603077166e-01
4,70,5.5790000000e-17,2.3948037665e-01
4,72,5.2634030000e-17,2.5331702063e-01
4,74,5.1865470000e-17,2.6754070361e-01
4,76,4.7449600000e-17,2.8215142558e-01
4,78,4.7594300000e-17,2.9714918654e-01
4,80,4.4458230000e-17,3.1253398650e-01
4,82,4.6625700000e-17,3.2830582544e-01
4,84,4.5706030000e-17,3.4446470338e-01
4,86,4.5217170000e-17,3.6101062031e-01
4,88,3.9982230000e-17,3.7794357624e-01
4,90,3.8569130000e-17,3.9526357116e-01
4,92,4.3171500000e-17,4.1297060507e-01
4,94,4.5238500000e-17,4.3106467797e-01
4,96,3.4387170000e-17,4.4954578986e-01
4,98,3.7471530000e-17,4.6841394075e-01
4,100,6.1218070000e-17,4.8766913063e-01
5,1,7.1506970000e-17,-1.3546364740e-03
5,3,3.3849330000e-16,-8.7083773327e-04
5,7,5.0563700000e-16,1.2578767258e-03
5,9,2.2020230000e-16,2.9027924442e-03
5,11,1.8115770000e-16,4.9347471552e-03
5,13,1.4786530000e-16,7.3537408587e-03
5,15,1.3002330000e-16,1.0159773555e-02
5,17,1.2151300000e-16,1.3352845243e-02
5,19,1.0942120000e-16,1.6932955925e-02
5,21,1.0197270000e-16,2.0900105599e-02
5,23,9.9690470000e-17,2.5254294265e-02
5,25,9.0302930000e-17,2.9995521924e-02
5,27,8.6317630000e-17,3.5123788575e-02
5,29,8.5459330000e-17,4.0639094219e-02
5,31,7.9541870000e-17,4.6541438856e-02
5,33,7.3971070000e-17,5.2830822485e-02
5,35,7.6478370000e-17,5.9507245107e-02
5,37,7.2396470000e-17,6.6570706721e-02
5,39,6.7528830000e-17,7.4021207328e-02
5,41,6.7621870000e-17,8.1858746927e-02
5,43,6.7717200000e-17,9.0083325519e-02
5,45,6.7682330000e-17,9.8694943104e-02
5,47,6.5101400000e-17,1.0769359968e-01
5,49,6.8930270000e-17,1.1707929525e-01
5,51,6.2416800000e-17,1.2685202981e-01
5,53,6.1739170000e-17,1.3701180337e-01
5,55,6.0653930000e-17,1.4755861592e-01
5,57,5.9313770000e-17,1.5849246746e-01
5,59,5.8652070000e-17,1.6981335799e-01
5,61,6.1380070000e-17,1.8152128751e-01
5,63,5.8280800000e-17,1.9361625603e-01
5,65,5.8931670000e-17,2.0609826354e-01
5,67,5.5132070000e-17,2.1896731004e-01
5,69,5.4438970000e-17,2.3222339554e-01
5,71,5.2628000000e-17,2.4586652003e-01
5,73,5.2735730000e-17,2.5989668351e-01
5,75,4.8558730000e-17,2.7431388598e-01
5,77,4.6834500000e-17,2.8911812745e-01
5,79,4.4668130000e-17,3.0430940790e-01
5,81,4.9189000000e-17,3.1988772735e-01
5,83,4.6503870000e-17,3.3585308580e-01
5,85,4.4957630000e-17,3.5220548323e-01
5,87,4.1300070000e-17,3.6894491966e-01
5,89,3.9954900000e-17,3.8607139508e-01
5,91,4.4522470000e-17,4.0358490950e-01
5,93,4.5761500000e-17,4.2148546290e-01
5,95,3.5084530000e-17,4.3977305530e-01
5,97,3.8333830000e-17,4.5844768669e-01
5,99,6.2532870000e-17,4.7750935708e-01
6,0,1.8768370000e-17,-2.0319547110e-03
6,2,9.2542730000e-17,-1.7416754665e-03
6,4,3.5531630000e-16,-1.0643572296e-03
6,8,4.9682800000e-16,1.4513962221e-03
6,10,2.1289730000e-16,3.2898314368e-03
6,12,1.8122370000e-16,5.5153056441e-03
6,14,1.4358270000e-16,8.1278188439e-03
6,16,1.2431170000e-16,1.1127371036e-02
6,18,1.2008200000e-16,1.4513962221e-02
6,20,1.0739420000e-16,1.8287592399e-02
6,22,9.6420700000e-17,2.2448261569e-02
6,24,9.7333200000e-17,2.6995969731e-02
6,26,8.8573970000e-17,3.1930716887e-02
6,28,8.3947470000e-17,3.7252503034e-02
6,30,8.5136500000e-17,4.2961328175e-02
6,32,7.7112770000e-17,4.9057192308e-02
6,34,7.3275870000e-17,5.5540095433e-02
6,36,7.8428970000e-17,6.2410037551e-02
6,38,7.2137370000e-17,6.9667018662e-02
6,40,6.7295730000e-17,7.7311038765e-02
6,42,6.7521600000e-17,8.5342097861e-02
6,44,6.7146570000e-17,9.3760195949e-02
6,46,6.6312630000e-17,1.0256533303e-01
6,48,6.3880330000e-17,1.1175750910e-01
6,50,6.3447870000e-17,1.2133672417e-01
6,52,6.2238570000e-17,1.3130297823e-01
6,54,6.3942900000e-17,1.4165627128e-01
6,56,5.9166030000e-17,1.5239660332e-01
6,58,5.8124270000e-17,1.6352397436e-01
6,60,5.8654930000e-17,1.7503838439e-01
6,62,5.9113970000e-17,1.8693983341e-01
6,64,5.5639130000e-17,1.9922832142e-01
6,66,5.6530530000e-17,2.1190384843e-01
6,68,5.5887800000e-17,2.2496641443e-01
6,70,5.5778670000e-17,2.3841601942e-01
6,72,5.2853530000e-17,2.5225266340e-01
6,74,5.1934000000e-17,2.6647634638e-01
6,76,4.7404430000e-17,2.8108706835e-01
6,78,4.8168330000e-17,2.9608482931e-01
6,80,4.6775500000e-17,3.1146962927e-01
6,82,4.8706130000e-17,3.2724146821e-01
6,84,4.5411230000e-17,3.4340034615e-01
6,86,4.5873830000e-17,3.5994626309e-01
6,88,4.0967700000e-17,3.7687921901e-01
6,90,3.8613870000e-17,3.9419921393e-01
6,92,4.3200570000e-17,4.1190624784e-01
6,94,4.5583130000e-17,4.3000032074e-01
6,96,3.4632930000e-17,4.4848143263e-01
6,98,3.7918570000e-17,4.6734958352e-01
6,100,6.1490170000e-17,4.8660477340e-01
7,1,4.3469230000e-17,-2.6125131998e-03
7,3,1.0514990000e-16,-2.1287144591e-03
7,5,3.7096230000e-16,-1.2578767258e-03
7,9,4.9031270000e-16,1.6449157184e-03
7,11,2.1357230000e-16,3.6768704294e-03
7,13,1.7818870000e-16,6.0958641329e-03
7,15,1.4325800000e-16,8.9018968290e-03
7,17,1.2209370000e-16,1.2094968518e-02
7,19,1.1767200000e-16,1.5675079199e-02
7,21,1.0656860000e-16,1.9642228873e-02
7,23,9.6985970000e-17,2.3996417539e-02
7,25,9.4070370000e-17,2.8737645198e-02
7,27,8.7770200000e-17,3.3865911849e-02
7,29,8.5145330000e-17,3.9381217493e-02
7,31,8.1547300000e-17,4.5283562130e-02
7,33,7.8542130000e-17,5.1572945759e-02
7,35,7.5755830000e-17,5.8249368381e-02
7,37,7.6228370000e-17,6.5312829995e-02
7,39,7.0053970000e-17,7.2763330602e-02
7,41,6.7369900000e-17,8.0600870202e-02
7,43,6.9604470000e-17,8.8825448794e-02
7,45,6.7051000000e-17,9.7437066378e-02
7,47,6.3175330000e-17,1.0643572296e-01
7,49,6.5560100000e-17,1.1582141853e-01
7,51,6.3866000000e-17,1.2559415309e-01
7,53,6.3213570000e-17,1.3575392664e-01
7,55,6.2162900000e-17,1.4630073919e-01
7,57,6.1015000000e-17,1.5723459073e-01
7,59,5.7126900000e-17,1.6855548126e-01
7,61,6.1000630000e-17,1.8026341079e-01
7,63,5.8939800000e-17,1.9235837930e-01
7,65,5.6688870000e-17,2.0484038682e-01
7,67,5.4609900000e-17,2.1770943332e-01
7,69,5.6702130000e-17,2.3096551881e-01
7,71,5.4029200000e-17,2.4460864330e-01
7,73,5.3106030000e-17,2.5863880678e-01
7,75,4.8257900000e-17,2.7305600925e-01
7,77,4.8989600000e-17,2.8786025072e-01
7,79,4.6712430000e-17,3.0305153118e-01
7,81,4.8834430000e-17,3.1862985063e-01
7,83,4.8256530000e-17,3.3459520907e-01
7,85,4.7208100000e-17,3.5094760651e-01
7,87,4.1390470000e-17,3.6768704294e-01
7,89,4.0784670000e-17,3.8481351836e-01
7,91,4.4778770000e-17,4.0232703277e-01
7,93,4.5962300000e-17,4.2022758618e-01
7,95,3.5389770000e-17,4.3851517858e-01
7,97,3.9332530000e-17,4.5718980997e-01
7,99,6.2711870000e-17,4.7625148035e-01
8,0,1.0685630000e-17,-3.4833509331e-03
8,2,5.7870670000e-17,-3.1930716887e-03
8,4,1.1922300000e-16,-2.5157534517e-03
8,6,3.8011830000e-16,-1.4513962221e-03
8,10,4.8820130000e-16,1.8384352147e-03
8,12,2.1118370000e-16,4.0639094219e-03
8,14,1.7442000000e-16,6.6764226217e-03
8,16,1.4260470000e-16,9.6759748141e-03
8,18,1.2092930000e-16,1.3062565999e-02
8,20,1.1659870000e-16,1.6836196177e-02
8,22,1.0649790000e-16,2.0996865347e-02
8,24,9.6002000000e-17,2.5544573509e-02
8,26,9.3603470000e-17,3.0479320664e-02
8,28,8.8331030000e-17,3.5801106812e-02
8,30,8.1865530000e-17,4.1509931953e-02
8,32,7.9943630000e-17,4.7605796085e-02
8,34,7.6297700000e-17,5.4088699211e-02
8,36,7.5188300000e-17,6.0958641329e-02
8,38,7.4137530000e-17,6.8215622440e-02
8,40,6.8825470000e-17,7.5859642543e-02
8,42,6.5916430000e-17,8.3890701638e-02
8,44,6.9217000000e-17,9.2308799727e-02
8,46,6.6951370000e-17,1.0111393681e-01
8,48,6.1105730000e-17,1.1030611288e-01
8,50,6.5511970000e-17,1.1988532795e-01
8,52,6.3918230000e-17,1.2985158201e-01
8,54,6.0593630000e-17,1.4020487506e-01
8,56,5.9157700000e-17,1.5094520710e-01
8,58,5.9290600000e-17,1.6207257814e-01
8,60,5.6134900000e-17,1.7358698817e-01
8,62,5.9556630000e-17,1.8548843719e-01
8,64,5.7591170000e-17,1.9777692520e-01
8,66,5.5932570000e-17,2.1045245221e-01
8,68,5.5692970000e-17,2.2351501821e-01
8,70,5.8004270000e-17,2.3696462320e-01
8,72,5.3220100000e-17,2.5080126718e-01
8,74,5.2592530000e-17,2.6502495016e-01
8,76,4.8895730000e-17,2.7963567213e-01
8,78,4.9342370000e-17,2.9463343309e-01
8,80,4.6434870000e-17,3.1001823304e-01
8,82,4.8252830000e-17,3.2579007199e-01
8,84,4.6414230000e-17,3.4194894993e-01
8,86,4.6449630000e-17,3.5849486686e-01
8,88,4.2739530000e-17,3.7542782279e-01
8,90,3.9703100000e-17,3.9274781771e-01
8,92,4.3757100000e-17,4.1045485162e-01
8,94,4.5763600000e-17,4.2854892452e-01
8,96,3.4949730000e-17,4.4703003641e-01
8,98,3.7613600000e-17,4.6589818730e-01
8,100,6.1388730000e-17,4.8515337718e-01
9,1,2.5849170000e-17,-4.2574289182e-03
9,3,7.1723870000e-17,-3.7736301775e-03
9,5,1.2761430000e-16,-2.9027924442e-03
9,7,3.8731030000e-16,-1.6449157184e-03
9,11,4.3685500000e-16,2.0319547110e-03
9,13,1.8211570000e-16,4.4509484145e-03
9,15,1.5441370000e-16,7.2569811106e-03
9,17,1.2240970000e-16,1.0450052799e-02
9,19,1.0535250000e-16,1.4030163480e-02
9,21,1.0335780000e-16,1.7997313154e-02
9,23,9.1178830000e-17,2.2351501821e-02
9,25,8.2153430000e-17,2.7092729480e-02
9,27,8.5980600000e-17,3.2220996131e-02
9,29,7.6703230000e-17,3.7736301775e-02
9,31,7.1072200000e-17,4.3638646412e-02
9,33,7.3453670000e-17,4.9928030041e-02
9,35,6.8255570000e-17,5.6604452663e-02
9,37,6.5817570000e-17,6.3667914277e-02
9,39,6.6595130000e-17,7.1118414884e-02
9,41,6.2051030000e-17,7.8955954483e-02
9,43,6.0994600000e-17,8.7180533075e-02
9,45,6.3940170000e-17,9.5792150660e-02
9,47,5.8259500000e-17,1.0479080724e-01
9,49,6.0063470000e-17,1.1417650281e-01
9,51,6.0010200000e-17,1.2394923737e-01
9,53,5.7680700000e-17,1.3410901092e-01
9,55,5.6031300000e-17,1.4465582347e-01
9,57,5.6563270000e-17,1.5558967501e-01
9,59,5.2314900000e-17,1.6691056554e-01
9,61,5.3852870000e-17,1.7861849507e-01
9,63,5.5967930000e-17,1.9071346359e-01
9,65,5.4105230000e-17,2.0319547110e-01
9,67,5.1129130000e-17,2.1606451760e-01
9,69,5.3817400000e-17,2.2932060309e-01
9,71,5.1103600000e-17,2.4296372758e-01
9,73,4.8597200000e-17,2.5699389106e-01
9,75,4.6669070000e-17,2.7141109354e-01
9,77,4.7130700000e-17,2.8621533500e-01
9,79,4.4351570000e-17,3.0140661546e-01
9,81,4.6149600000e-17,3.1698493491e-01
