# O-CO2 state-resolved inelastic channels at energy index 1
# Generated by compute_inelastic_tables.py
ji,jf,sigma_cm2,delta_E_eV
0,2,4.0858170000e-15,2.9027924442e-04
0,4,1.4632270000e-15,9.6759748141e-04
0,6,9.4948530000e-16,2.0319547110e-03
0,8,6.6737070000e-16,3.4833509331e-03
0,10,4.2303100000e-16,5.3217861478e-03
0,12,2.9176230000e-16,7.5472603550e-03
0,14,2.9096000000e-16,1.0159773555e-02
0,16,2.1096600000e-16,1.3159325747e-02
0,18,1.9601870000e-16,1.6545916932e-02
0,20,1.7212530000e-16,2.0319547110e-02
0,22,9.0101430000e-17,2.4480216280e-02
0,24,3.0983520000e-17,2.9027924442e-02
1,3,2.9719230000e-15,4.8379874071e-04
1,5,1.2278300000e-15,1.3546364740e-03
1,7,8.1428630000e-16,2.6125131998e-03
1,9,5.1997030000e-16,4.2574289182e-03
1,11,3.5099900000e-16,6.2893836292e-03
1,13,3.2050570000e-16,8.7083773327e-03
1,15,2.8209070000e-16,1.1514410029e-02
1,17,2.2427000000e-16,1.4707481717e-02
1,19,1.8960570000e-16,1.8287592399e-02
1,21,1.2297180000e-16,2.2254742072e-02
1,23,6.4312000000e-17,2.6608930739e-02
2,0,8.2521300000e-16,-2.9027924442e-04
2,4,2.5200930000e-15,6.7731823699e-04
2,6,1.0865290000e-15,1.7416754665e-03
2,8,6.5615730000e-16,3.1930716887e-03
2,10,4.0850600000e-16,5.0315069033e-03
2,12,3.7125030000e-16,7.2569811106e-03
2,14,3.1726300000e-16,9.8694943104e-03
2,16,3.0209870000e-16,1.2869046503e-02
2,18,2.4557970000e-16,1.6255637688e-02
2,20,1.5688940000e-16,2.0029267865e-02
2,22,7.7841960000e-17,2.4189937035e-02
2,24,3.2035130000e-17,2.8737645198e-02
3,1,1.2948020000e-15,-4.8379874071e-04
3,5,2.2223470000e-15,8.7083773327e-04
3,7,9.4844430000e-16,2.1287144591e-03
3,9,5.4493370000e-16,3.7736301775e-03
3,11,3.9436100000e-16,5.8055848885e-03
3,13,3.5752070000e-16,8.2245785920e-03
3,15,3.2006230000e-16,1.1030611288e-02
3,17,3.1702300000e-16,1.4223682977e-02
3,19,2.1519170000e-16,1.7803793658e-02
3,21,1.2489100000e-16,2.1770943332e-02
3,23,7.0574840000e-17,2.6125131998e-02
4,0,1.6804500000e-16,-9.6759748141e-04
4,2,1.4329930000e-15,-6.7731823699e-04
4,6,1.9955470000e-15,1.0643572296e-03
4,8,8.3503670000e-16,2.5157534517e-03
4,10,5.0704700000e-16,4.3541886664e-03
4,12,3.7826330000e-16,6.5796628736e-03
4,14,3.3607870000e-16,9.1921760734e-03
4,16,3.1855570000e-16,1.2191728266e-02
4,18,2.9345070000e-16,1.5578319451e-02
4,20,1.7703290000e-16,1.9351949628e-02
4,22,1.1469280000e-16,2.3512618798e-02
4,24,4.1013290000e-17,2.8060326961e-02
5,1,3.5088900000e-16,-1.3546364740e-03
5,3,1.4577330000e-15,-8.7083773327e-04
5,7,1.7945270000e-15,1.2578767258e-03
5,9,7.8582530000e-16,2.9027924442e-03
5,11,4.6803000000e-16,4.9347471552e-03
5,13,3.7916400000e-16,7.3537408587e-03
5,15,3.4276230000e-16,1.0159773555e-02
5,17,2.9639470000e-16,1.3352845243e-02
5,19,2.4525770000e-16,1.6932955925e-02
5,21,1.5705830000e-16,2.0900105599e-02
5,23,1.0414040000e-16,2.5254294265e-02
6,0,7.8390370000e-17,-2.0319547110e-03
6,2,4.4414870000e-16,-1.7416754665e-03
6,4,1.4345730000e-15,-1.0643572296e-03
6,8,1.6551130000e-15,1.4513962221e-03
6,10,7.2465400000e-16,3.2898314368e-03
6,12,4.6036670000e-16,5.5153056441e-03
6,14,4.0368430000e-16,8.1278188439e-03
6,16,3.3206770000e-16,1.1127371036e-02
6,18,2.7144500000e-16,1.4513962221e-02
6,20,2.1354000000e-16,1.8287592399e-02
6,22,1.3470950000e-16,2.2448261569e-02
6,24,4.5194590000e-17,2.6995969731e-02
7,1,1.7858800000e-16,-2.6125131998e-03
7,3,4.7744200000e-16,-2.1287144591e-03
7,5,1.3771890000e-15,-1.2578767258e-03
7,9,1.5177000000e-15,1.6449157184e-03
7,11,6.8323330000e-16,3.6768704294e-03
7,13,4.8306370000e-16,6.0958641329e-03
7,15,4.1509300000e-16,8.9018968290e-03
7,17,3.2521630000e-16,1.2094968518e-02
7,19,2.6111800000e-16,1.5675079199e-02
7,21,1.8608800000e-16,1.9642228873e-02
7,23,9.0187050000e-17,2.3996417539e-02
8,0,4.4461970000e-17,-3.4833509331e-03
8,2,2.1644200000e-16,-3.1930716887e-03
8,4,4.8440900000e-16,-2.5157534517e-03
8,6,1.3355930000e-15,-1.4513962221e-03
8,10,1.4167900000e-15,1.8384352147e-03
8,12,6.6437370000e-16,4.0639094219e-03
8,14,5.0501800000e-16,6.6764226217e-03
8,16,4.0048630000e-16,9.6759748141e-03
8,18,3.3989400000e-16,1.3062565999e-02
8,20,2.3662340000e-16,1.6836196177e-02
8,22,1.4592850000e-16,2.0996865347e-02
8,24,3.7722080000e-17,2.5544573509e-02
9,1,9.5860670000e-17,-4.2574289182e-03
9,3,2.3058970000e-16,-3.7736301775e-03
9,5,5.0694070000e-16,-2.9027924442e-03
9,7,1.2757720000e-15,-1.6449157184e-03
9,11,1.2569510000e-15,2.0319547110e-03
9,13,6.4808700000e-16,4.4509484145e-03
9,15,5.1397930000e-16,7.2569811106e-03
9,17,3.9345070000e-16,1.0450052799e-02
9,19,3.2741970000e-16,1.4030163480e-02
9,21,2.0641960000e-16,1.7997313154e-02
9,23,1.0445480000e-16,2.2351501821e-02
10,0,2.4531730000e-17,-5.3217861478e-03
10,2,1.1729160000e-16,-5.0315069033e-03
10,4,2.5602970000e-16,-4.3541886664e-03
10,6,5.0899400000e-16,-3.2898314368e-03
10,8,1.2332200000e-15,-1.8384352147e-03
10,12,1.1020340000e-15,2.2254742072e-03
10,14,6.2184370000e-16,4.8379874071e-03
10,16,4.9036170000e-16,7.8375395994e-03
10,18,3.7717170000e-16,1.1224130784e-02
10,20,2.8381900000e-16,1.4997760962e-02
10,22,1.6569020000e-16,1.9158430132e-02
10,24,5.4418650000e-17,2.3706138295e-02
11,1,5.8103500000e-17,-6.2893836292e-03
11,3,1.4983900000e-16,-5.8055848885e-03
11,5,2.7110570000e-16,-4.9347471552e-03
11,7,5.1569200000e-16,-3.6768704294e-03
11,9,1.1286370000e-15,-2.0319547110e-03
11,13,1.0374370000e-15,2.4189937035e-03
11,15,5.8598870000e-16,5.2250263996e-03
11,17,4.4782330000e-16,8.4180980883e-03
11,19,3.3951230000e-16,1.1998208770e-02
11,21,2.4297910000e-16,1.5965358443e-02
11,23,1.0411290000e-16,2.0319547110e-02
12,0,1.5636430000e-17,-7.5472603550e-03
12,2,9.8511830000e-17,-7.2569811106e-03
12,4,1.7651800000e-16,-6.5796628736e-03
12,6,2.9884030000e-16,-5.5153056441e-03
12,8,5.3444200000e-16,-4.0639094219e-03
12,10,1.0184710000e-15,-2.2254742072e-03
12,14,9.6328900000e-16,2.6125131998e-03
12,16,5.4957000000e-16,5.6120653922e-03
12,18,3.8701000000e-16,8.9986565771e-03
12,20,2.9393330000e-16,1.2772286755e-02
12,22,1.8088370000e-16,1.6932955925e-02
12,24,3.3604910000e-17,2.1480664087e-02
13,1,5.0413870000e-17,-8.7083773327e-03
13,3,1.2907700000e-16,-8.2245785920e-03
13,5,2.0869400000e-16,-7.3537408587e-03
13,7,3.4645270000e-16,-6.0958641329e-03
13,9,5.5294900000e-16,-4.4509484145e-03
13,11,9.8577700000e-16,-2.4189937035e-03
13,15,8.4220400000e-16,2.8060326961e-03
13,17,4.8973600000e-16,5.9991043848e-03
13,19,3.6100670000e-16,9.5792150660e-03
13,21,2.2437350000e-16,1.3546364740e-02
13,23,1.0334490000e-16,1.7900553406e-02
14,0,1.5234770000e-17,-1.0159773555e-02
14,2,8.2249770000e-17,-9.8694943104e-03
14,4,1.5322500000e-16,-9.1921760734e-03
14,6,2.5601770000e-16,-8.1278188439e-03
14,8,3.9690600000e-16,-6.6764226217e-03
14,10,5.6147130000e-16,-4.8379874071e-03
