# Diagnostic ji=0 summary; runtime samples rotational_cross_sections.csv directly.
# Elastic cross section comes from the independent integral elastic reference.
# Generated by tools/rebuild_collision_summaries.py
energy_eV,elastic_fraction
0.029756207374384,8.010285302440e-01
0.153740404767651,7.502216391655e-01
0.277724602160918,7.275706651573e-01
0.401708799554185,7.141475295084e-01
0.525692996947451,7.173828603498e-01
0.649677194340718,7.222822890914e-01
0.773661391733985,7.262313074324e-01
0.897645589127252,7.304006880626e-01
1.02162978652052,7.325365427922e-01
1.14561398391379,7.328860260388e-01
1.26959818130705,7.332923285511e-01
1.39358237870032,7.330317524575e-01
1.51756657609359,7.315565332169e-01
1.64155077348685,7.297034645410e-01
1.76553497088012,7.276804212878e-01
1.88951916827339,7.254572012353e-01
2.01350336566665,7.231744109483e-01
2.13748756305992,7.208211870111e-01
2.26147176045319,7.183403286590e-01
2.38545595784645,7.159548861762e-01
2.50944015523972,7.134273728761e-01
2.63342435263299,7.109564298260e-01
2.75740855002625,7.084849065483e-01
2.88139274741952,7.058371385279e-01
3.00537694481279,7.033103661333e-01
3.12936114220606,7.008247629472e-01
3.25334533959932,6.984054966177e-01
3.37732953699259,6.959587229399e-01
3.50131373438586,6.935090186221e-01
3.62529793177912,6.909706169435e-01
3.74928212917239,6.885810385676e-01
3.87326632656566,6.861064453735e-01
3.99725052395892,6.838046633451e-01
4.12123472135219,6.814768434097e-01
4.24521891874546,6.790671431050e-01
4.36920311613872,6.767582600688e-01
4.49318731353199,6.743514798079e-01
4.61717151092526,6.720282714326e-01
4.74115570831852,6.697297219321e-01
4.86513990571179,6.673218316297e-01
4.98912410310506,6.649737028138e-01
