# O-CO2 state-resolved inelastic channels at energy index 2
# Generated by compute_inelastic_tables.py
ji,jf,sigma_cm2,delta_E_eV
4,46,3.6574330000e-17,1.0362969026e-01
4,48,2.6305930000e-17,1.1282186633e-01
4,50,2.0432210000e-17,1.2240108140e-01
4,52,1.6413600000e-17,1.3236733546e-01
4,54,1.1595330000e-17,1.4272062851e-01
5,1,2.3089200000e-16,-1.3546364740e-03
5,3,1.0513840000e-15,-8.7083773327e-04
5,7,1.4658330000e-15,1.2578767258e-03
5,9,6.5073230000e-16,2.9027924442e-03
5,11,4.3983930000e-16,4.9347471552e-03
5,13,3.3474700000e-16,7.3537408587e-03
5,15,2.5820930000e-16,1.0159773555e-02
5,17,2.2495730000e-16,1.3352845243e-02
5,19,2.0153270000e-16,1.6932955925e-02
5,21,1.7360800000e-16,2.0900105599e-02
5,23,1.5669270000e-16,2.5254294265e-02
5,25,1.4205970000e-16,2.9995521924e-02
5,27,1.2700000000e-16,3.5123788575e-02
5,29,1.1298330000e-16,4.0639094219e-02
5,31,1.0169120000e-16,4.6541438856e-02
5,33,8.9406130000e-17,5.2830822485e-02
5,35,7.8814200000e-17,5.9507245107e-02
5,37,7.0152630000e-17,6.6570706721e-02
5,39,6.3758030000e-17,7.4021207328e-02
5,41,5.5674670000e-17,8.1858746927e-02
5,43,4.9464370000e-17,9.0083325519e-02
5,45,4.2187600000e-17,9.8694943104e-02
5,47,3.2515170000e-17,1.0769359968e-01
5,49,2.3610070000e-17,1.1707929525e-01
5,51,1.8078540000e-17,1.2685202981e-01
5,53,1.4275550000e-17,1.3701180337e-01
5,55,8.3807010000e-18,1.4755861592e-01
6,0,5.0082770000e-17,-2.0319547110e-03
6,2,3.0449030000e-16,-1.7416754665e-03
6,4,1.0589500000e-15,-1.0643572296e-03
6,8,1.4264910000e-15,1.4513962221e-03
6,10,6.1541900000e-16,3.2898314368e-03
6,12,4.2617900000e-16,5.5153056441e-03
6,14,3.2181700000e-16,8.1278188439e-03
6,16,2.5418130000e-16,1.1127371036e-02
6,18,2.2616800000e-16,1.4513962221e-02
6,20,1.9305800000e-16,1.8287592399e-02
6,22,1.6749400000e-16,2.2448261569e-02
6,24,1.5808200000e-16,2.6995969731e-02
6,26,1.4081900000e-16,3.1930716887e-02
6,28,1.1838100000e-16,3.7252503034e-02
6,30,1.0637330000e-16,4.2961328175e-02
6,32,9.8704970000e-17,4.9057192308e-02
6,34,8.5604470000e-17,5.5540095433e-02
6,36,7.3361800000e-17,6.2410037551e-02
6,38,6.7822200000e-17,6.9667018662e-02
6,40,6.1696000000e-17,7.7311038765e-02
6,42,5.2542870000e-17,8.5342097861e-02
6,44,4.5719430000e-17,9.3760195949e-02
6,46,3.8722100000e-17,1.0256533303e-01
6,48,2.9005870000e-17,1.1175750910e-01
6,50,2.0834450000e-17,1.2133672417e-01
6,52,1.6629820000e-17,1.3130297823e-01
6,54,1.2353150000e-17,1.4165627128e-01
7,1,1.1854700000e-16,-2.6125131998e-03
7,3,3.3150970000e-16,-2.1287144591e-03
7,5,1.0838970000e-15,-1.2578767258e-03
7,9,1.3647050000e-15,1.6449157184e-03
7,11,6.0256570000e-16,3.6768704294e-03
7,13,4.1078800000e-16,6.0958641329e-03
7,15,3.1336670000e-16,8.9018968290e-03
7,17,2.5231400000e-16,1.2094968518e-02
7,19,2.1596930000e-16,1.5675079199e-02
7,21,1.8707600000e-16,1.9642228873e-02
7,23,1.6768870000e-16,2.3996417539e-02
7,25,1.5304030000e-16,2.8737645198e-02
7,27,1.3309570000e-16,3.3865911849e-02
7,29,1.1513430000e-16,3.9381217493e-02
7,31,1.0495540000e-16,4.5283562130e-02
7,33,9.4731870000e-17,5.1572945759e-02
7,35,7.9916030000e-17,5.8249368381e-02
7,37,7.0822570000e-17,6.5312829995e-02
7,39,6.5907930000e-17,7.2763330602e-02
7,41,5.8663830000e-17,8.0600870202e-02
7,43,4.9785530000e-17,8.8825448794e-02
7,45,4.2836200000e-17,9.7437066378e-02
7,47,3.4508170000e-17,1.0643572296e-01
7,49,2.4952510000e-17,1.1582141853e-01
7,51,1.8863000000e-17,1.2559415309e-01
7,53,1.5020940000e-17,1.3575392664e-01
7,55,9.0374870000e-18,1.4630073919e-01
8,0,2.8884300000e-17,-3.4833509331e-03
8,2,1.5509330000e-16,-3.1930716887e-03
8,4,3.6031800000e-16,-2.5157534517e-03
8,6,1.1013820000e-15,-1.4513962221e-03
8,10,1.3312630000e-15,1.8384352147e-03
8,12,5.8945570000e-16,4.0639094219e-03
