# O-CO2 state-resolved inelastic channels at energy index 36
# Generated by compute_inelastic_tables.py
ji,jf,sigma_cm2,delta_E_eV
0,2,6.8822870000e-16,2.9027924442e-04
0,4,2.3859530000e-16,9.6759748141e-04
0,6,2.3412930000e-16,2.0319547110e-03
0,8,1.8042230000e-16,3.4833509331e-03
0,10,1.3168270000e-16,5.3217861478e-03
0,12,1.4278570000e-16,7.5472603550e-03
0,14,1.2449000000e-16,1.0159773555e-02
0,16,9.8148230000e-17,1.3159325747e-02
0,18,1.1587370000e-16,1.6545916932e-02
0,20,9.2913430000e-17,2.0319547110e-02
0,22,8.4788800000e-17,2.4480216280e-02
0,24,9.1066230000e-17,2.9027924442e-02
0,26,8.8066970000e-17,3.3962671598e-02
0,28,7.1006170000e-17,3.9284457745e-02
0,30,8.6457000000e-17,4.4993282886e-02
0,32,7.0749630000e-17,5.1089147019e-02
0,34,7.3396030000e-17,5.7572050144e-02
0,36,8.0787500000e-17,6.4441992262e-02
0,38,6.5509100000e-17,7.1698973373e-02
0,40,5.9709230000e-17,7.9342993476e-02
0,42,7.2599670000e-17,8.7374052572e-02
0,44,6.8691570000e-17,9.5792150660e-02
0,46,5.6419000000e-17,1.0459728774e-01
0,48,6.5382300000e-17,1.1378946381e-01
0,50,5.7650030000e-17,1.2336867888e-01
0,52,5.8037270000e-17,1.3333493294e-01
0,54,5.5972830000e-17,1.4368822599e-01
0,56,5.5819470000e-17,1.5442855803e-01
0,58,5.3281470000e-17,1.6555592907e-01
0,60,5.5303100000e-17,1.7707033910e-01
0,62,5.7116230000e-17,1.8897178812e-01
0,64,5.4892530000e-17,2.0126027613e-01
0,66,5.2190230000e-17,2.1393580314e-01
0,68,5.5301870000e-17,2.2699836914e-01
0,70,4.9842770000e-17,2.4044797413e-01
0,72,5.0619170000e-17,2.5428461812e-01
0,74,4.7542370000e-17,2.6850830109e-01
0,76,4.5115330000e-17,2.8311902306e-01
0,78,4.8558300000e-17,2.9811678402e-01
0,80,4.8702170000e-17,3.1350158398e-01
0,82,4.4711730000e-17,3.2927342292e-01
0,84,4.0062400000e-17,3.4543230086e-01
0,86,4.5118700000e-17,3.6197821780e-01
0,88,4.7176200000e-17,3.7891117372e-01
0,90,4.8793670000e-17,3.9623116864e-01
0,92,4.3996900000e-17,4.1393820255e-01
0,94,4.2227530000e-17,4.3203227545e-01
0,96,3.7658300000e-17,4.5051338735e-01
0,98,4.6048170000e-17,4.6938153823e-01
0,100,6.6332430000e-17,4.8863672811e-01
1,3,5.1998370000e-16,4.8379874071e-04
1,5,2.3865370000e-16,1.3546364740e-03
1,7,2.1258070000e-16,2.6125131998e-03
1,9,1.5419330000e-16,4.2574289182e-03
1,11,1.3569630000e-16,6.2893836292e-03
1,13,1.3027030000e-16,8.7083773327e-03
1,15,1.1262400000e-16,1.1514410029e-02
1,17,1.0555830000e-16,1.4707481717e-02
