# O-CO2 state-resolved inelastic channels at energy index 32
# Generated by compute_inelastic_tables.py
ji,jf,sigma_cm2,delta_E_eV
0,2,7.2075270000e-16,2.9027924442e-04
0,4,2.4378830000e-16,9.6759748141e-04
0,6,2.3844870000e-16,2.0319547110e-03
0,8,1.8139600000e-16,3.4833509331e-03
0,10,1.3709530000e-16,5.3217861478e-03
0,12,1.4600530000e-16,7.5472603550e-03
0,14,1.2662570000e-16,1.0159773555e-02
0,16,9.8274530000e-17,1.3159325747e-02
0,18,1.1467200000e-16,1.6545916932e-02
0,20,9.5428970000e-17,2.0319547110e-02
0,22,8.7086130000e-17,2.4480216280e-02
0,24,9.6745800000e-17,2.9027924442e-02
0,26,8.8276330000e-17,3.3962671598e-02
0,28,7.1352470000e-17,3.9284457745e-02
0,30,8.3682630000e-17,4.4993282886e-02
0,32,7.1858100000e-17,5.1089147019e-02
0,34,6.9852400000e-17,5.7572050144e-02
0,36,7.8289470000e-17,6.4441992262e-02
0,38,6.6301470000e-17,7.1698973373e-02
0,40,6.3379630000e-17,7.9342993476e-02
0,42,7.2751700000e-17,8.7374052572e-02
0,44,7.0024230000e-17,9.5792150660e-02
0,46,5.7991330000e-17,1.0459728774e-01
0,48,6.8530300000e-17,1.1378946381e-01
0,50,5.8137130000e-17,1.2336867888e-01
0,52,5.8224700000e-17,1.3333493294e-01
0,54,5.6292100000e-17,1.4368822599e-01
0,56,5.9872370000e-17,1.5442855803e-01
0,58,5.4678870000e-17,1.6555592907e-01
0,60,5.7463970000e-17,1.7707033910e-01
0,62,5.8616730000e-17,1.8897178812e-01
0,64,5.3622270000e-17,2.0126027613e-01
0,66,5.4701430000e-17,2.1393580314e-01
0,68,5.1475670000e-17,2.2699836914e-01
0,70,5.2893900000e-17,2.4044797413e-01
0,72,4.9563470000e-17,2.5428461812e-01
0,74,4.5602930000e-17,2.6850830109e-01
0,76,4.5323500000e-17,2.8311902306e-01
0,78,4.2522830000e-17,2.9811678402e-01
0,80,4.5843730000e-17,3.1350158398e-01
0,82,4.7010670000e-17,3.2927342292e-01
0,84,3.8575830000e-17,3.4543230086e-01
0,86,4.4406470000e-17,3.6197821780e-01
0,88,4.3698000000e-17,3.7891117372e-01
0,90,4.6607330000e-17,3.9623116864e-01
0,92,4.5681230000e-17,4.1393820255e-01
0,94,4.3931670000e-17,4.3203227545e-01
0,96,3.5351200000e-17,4.5051338735e-01
0,98,4.3102530000e-17,4.6938153823e-01
0,100,6.8416500000e-17,4.8863672811e-01
1,3,5.4523570000e-16,4.8379874071e-04
1,5,2.4745630000e-16,1.3546364740e-03
1,7,2.1407100000e-16,2.6125131998e-03
1,9,1.5654270000e-16,4.2574289182e-03
1,11,1.3518870000e-16,6.2893836292e-03
1,13,1.3243300000e-16,8.7083773327e-03
1,15,1.1057130000e-16,1.1514410029e-02
1,17,1.0936330000e-16,1.4707481717e-02
1,19,1.0369930000e-16,1.8287592399e-02
1,21,9.2153900000e-17,2.2254742072e-02
1,23,9.0377930000e-17,2.6608930739e-02
1,25,9.0712030000e-17,3.1350158398e-02
1,27,8.0552130000e-17,3.6478425049e-02
