# Diagnostic ji=0 summary; runtime samples rotational_cross_sections.csv directly.
# Elastic cross section comes from the independent integral elastic reference.
# Generated by tools/rebuild_collision_summaries.py
energy_eV,delta_E_eV
0.029756207374384,3.030630256300e-03
0.153740404767651,1.222791755131e-02
0.277724602160918,2.073437060443e-02
0.401708799554185,2.918071860600e-02
0.525692996947451,3.737916021253e-02
0.649677194340718,4.521578440281e-02
0.773661391733985,5.144957709544e-02
0.897645589127252,5.642862396517e-02
1.02162978652052,6.061299467169e-02
1.14561398391379,6.422214947369e-02
1.26959818130705,6.709121024402e-02
1.39358237870032,7.000352551569e-02
1.51756657609359,7.275882499855e-02
1.64155077348685,7.542788648722e-02
1.76553497088012,7.782604124854e-02
1.88951916827339,7.990179277572e-02
2.01350336566665,8.166195646028e-02
2.13748756305992,8.343698476131e-02
2.26147176045319,8.507726718554e-02
2.38545595784645,8.650018012711e-02
2.50944015523972,8.788363753263e-02
2.63342435263299,8.922013967472e-02
2.75740855002625,9.040858671434e-02
2.88139274741952,9.144144808693e-02
3.00537694481279,9.245128149435e-02
3.12936114220606,9.339948250091e-02
3.25334533959932,9.429968045769e-02
3.37732953699259,9.518574625210e-02
3.50131373438586,9.600361864053e-02
3.62529793177912,9.666453465734e-02
3.74928212917239,9.727868738214e-02
3.87326632656566,9.782576876969e-02
3.99725052395892,9.830860039376e-02
4.12123472135219,9.875586740158e-02
4.24521891874546,9.964686006691e-02
4.36920311613872,9.981517879967e-02
4.49318731353199,1.003339189510e-01
4.61717151092526,1.004158069026e-01
4.74115570831852,1.007667211379e-01
4.86513990571179,1.008322630575e-01
4.98912410310506,1.011432353270e-01
