# O-CO2 state-resolved inelastic channels at energy index 39
# Generated by compute_inelastic_tables.py
ji,jf,sigma_cm2,delta_E_eV
0,2,6.6800000000e-16,2.9027924442e-04
0,4,2.3432870000e-16,9.6759748141e-04
0,6,2.3168200000e-16,2.0319547110e-03
0,8,1.8205170000e-16,3.4833509331e-03
0,10,1.3165670000e-16,5.3217861478e-03
0,12,1.3934270000e-16,7.5472603550e-03
0,14,1.2398100000e-16,1.0159773555e-02
0,16,9.7761030000e-17,1.3159325747e-02
0,18,1.1154700000e-16,1.6545916932e-02
0,20,9.4324300000e-17,2.0319547110e-02
0,22,8.4081270000e-17,2.4480216280e-02
0,24,9.1947000000e-17,2.9027924442e-02
0,26,8.6716170000e-17,3.3962671598e-02
0,28,7.2550170000e-17,3.9284457745e-02
0,30,8.7677330000e-17,4.4993282886e-02
0,32,6.9919170000e-17,5.1089147019e-02
0,34,6.9995100000e-17,5.7572050144e-02
0,36,8.2646330000e-17,6.4441992262e-02
0,38,6.6865000000e-17,7.1698973373e-02
0,40,5.9182130000e-17,7.9342993476e-02
0,42,7.0780530000e-17,8.7374052572e-02
0,44,6.7578230000e-17,9.5792150660e-02
0,46,5.5190830000e-17,1.0459728774e-01
0,48,6.0018670000e-17,1.1378946381e-01
0,50,5.7949300000e-17,1.2336867888e-01
0,52,5.4414700000e-17,1.3333493294e-01
0,54,5.5929430000e-17,1.4368822599e-01
0,56,5.3935670000e-17,1.5442855803e-01
0,58,5.2839500000e-17,1.6555592907e-01
0,60,5.8887700000e-17,1.7707033910e-01
0,62,5.3854470000e-17,1.8897178812e-01
0,64,5.5109570000e-17,2.0126027613e-01
0,66,5.1658830000e-17,2.1393580314e-01
0,68,5.4870870000e-17,2.2699836914e-01
0,70,5.1986030000e-17,2.4044797413e-01
0,72,5.0919670000e-17,2.5428461812e-01
0,74,4.7395970000e-17,2.6850830109e-01
0,76,4.6517830000e-17,2.8311902306e-01
0,78,5.1550470000e-17,2.9811678402e-01
0,80,4.9554600000e-17,3.1350158398e-01
0,82,4.4112070000e-17,3.2927342292e-01
0,84,4.1147000000e-17,3.4543230086e-01
0,86,4.7516870000e-17,3.6197821780e-01
0,88,4.8183300000e-17,3.7891117372e-01
0,90,4.7085570000e-17,3.9623116864e-01
0,92,4.1975970000e-17,4.1393820255e-01
0,94,3.9613870000e-17,4.3203227545e-01
0,96,4.0461170000e-17,4.5051338735e-01
0,98,4.7086870000e-17,4.6938153823e-01
0,100,6.5358000000e-17,4.8863672811e-01
1,3,5.0762630000e-16,4.8379874071e-04
1,5,2.3650170000e-16,1.3546364740e-03
1,7,2.1294630000e-16,2.6125131998e-03
1,9,1.5645130000e-16,4.2574289182e-03
1,11,1.3473770000e-16,6.2893836292e-03
1,13,1.2894930000e-16,8.7083773327e-03
1,15,1.1217980000e-16,1.1514410029e-02
1,17,1.0299700000e-16,1.4707481717e-02
1,19,1.0260600000e-16,1.8287592399e-02
1,21,8.7643100000e-17,2.2254742072e-02
1,23,8.9669630000e-17,2.6608930739e-02
1,25,8.5721630000e-17,3.1350158398e-02
1,27,7.7021270000e-17,3.6478425049e-02
1,29,8.0775330000e-17,4.1993730693e-02
1,31,7.8325170000e-17,4.7896075330e-02
1,33,7.0259330000e-17,5.4185458959e-02
1,35,7.5350400000e-17,6.0861881581e-02
1,37,7.4893630000e-17,6.7925343195e-02
1,39,6.1938900000e-17,7.5375843802e-02
1,41,6.8659570000e-17,8.3213383401e-02
1,43,7.2300100000e-17,9.1437961993e-02
1,45,6.1581500000e-17,1.0004957958e-01
1,47,5.8458770000e-17,1.0904823616e-01
1,49,6.3205070000e-17,1.1843393172e-01
1,51,6.0863470000e-17,1.2820666629e-01
1,53,5.2723030000e-17,1.3836643984e-01
1,55,5.6563430000e-17,1.4891325239e-01
1,57,5.2210770000e-17,1.5984710393e-01
1,59,5.6601800000e-17,1.7116799446e-01
1,61,5.4628530000e-17,1.8287592399e-01
1,63,5.8917500000e-17,1.9497089250e-01
1,65,5.5656530000e-17,2.0745290001e-01
1,67,5.5248330000e-17,2.2032194652e-01
1,69,5.1475030000e-17,2.3357803201e-01
1,71,5.6906030000e-17,2.4722115650e-01
1,73,5.2766970000e-17,2.6125131998e-01
1,75,4.8506730000e-17,2.7566852245e-01
1,77,4.8443130000e-17,2.9047276392e-01
1,79,4.7946700000e-17,3.0566404438e-01
1,81,4.6239670000e-17,3.2124236383e-01
1,83,4.3745900000e-17,3.3720772227e-01
1,85,4.6547570000e-17,3.5356011971e-01
1,87,4.4883700000e-17,3.7029955614e-01
1,89,4.8275800000e-17,3.8742603156e-01
1,91,4.4613070000e-17,4.0493954597e-01
1,93,4.0324670000e-17,4.2284009938e-01
1,95,3.6353130000e-17,4.4112769178e-01
1,97,4.9018230000e-17,4.5980232317e-01
1,99,6.8849400000e-17,4.7886399355e-01
2,0,1.3360810000e-16,-2.9027924442e-04
2,4,4.7598930000e-16,6.7731823699e-04
2,6,2.2425500000e-16,1.7416754665e-03
2,8,1.8954070000e-16,3.1930716887e-03
2,10,1.5535900000e-16,5.0315069033e-03
2,12,1.3098300000e-16,7.2569811106e-03
2,14,1.2123070000e-16,9.8694943104e-03
2,16,1.1517170000e-16,1.2869046503e-02
2,18,9.8864430000e-17,1.6255637688e-02
2,20,9.8935470000e-17,2.0029267865e-02
2,22,8.8982270000e-17,2.4189937035e-02
2,24,8.7483870000e-17,2.8737645198e-02
2,26,8.1818630000e-17,3.3672392353e-02
2,28,8.2725430000e-17,3.8994178501e-02
2,30,7.5183800000e-17,4.4703003641e-02
2,32,7.3137770000e-17,5.0798867774e-02
2,34,7.4489300000e-17,5.7281770900e-02
2,36,7.0362500000e-17,6.4151713018e-02
2,38,7.0849070000e-17,7.1408694128e-02
2,40,6.3451230000e-17,7.9052714231e-02
2,42,6.9384500000e-17,8.7083773327e-02
2,44,6.4641530000e-17,9.5501871415e-02
2,46,6.1462930000e-17,1.0430700850e-01
2,48,5.8934400000e-17,1.1349918457e-01
2,50,5.8592970000e-17,1.2307839964e-01
2,52,5.7002470000e-17,1.3304465369e-01
2,54,5.2326500000e-17,1.4339794675e-01
2,56,5.8249430000e-17,1.5413827879e-01
2,58,5.5439530000e-17,1.6526564983e-01
2,60,5.5830430000e-17,1.7678005985e-01
2,62,5.4038100000e-17,1.8868150888e-01
2,64,5.7416770000e-17,2.0096999689e-01
2,66,5.2072170000e-17,2.1364552390e-01
2,68,5.5217070000e-17,2.2670808989e-01
2,70,5.5408070000e-17,2.4015769489e-01
2,72,5.1766430000e-17,2.5399433887e-01
2,74,5.1323700000e-17,2.6821802185e-01
2,76,5.0967830000e-17,2.8282874382e-01
2,78,5.2028230000e-17,2.9782650478e-01
2,80,4.9601430000e-17,3.1321130473e-01
2,82,4.5157070000e-17,3.2898314368e-01
2,84,4.2585330000e-17,3.4514202162e-01
2,86,4.6080800000e-17,3.6168793855e-01
2,88,4.6818030000e-17,3.7862089448e-01
2,90,4.6543770000e-17,3.9594088939e-01
2,92,4.2433430000e-17,4.1364792330e-01
2,94,3.8944400000e-17,4.3174199621e-01
2,96,3.7683000000e-17,4.5022310810e-01
2,98,4.4909800000e-17,4.6909125899e-01
2,100,6.7470900000e-17,4.8834644887e-01
3,1,2.1757630000e-16,-4.8379874071e-04
3,5,4.5499130000e-16,8.7083773327e-04
3,7,2.1317370000e-16,2.1287144591e-03
3,9,1.8496330000e-16,3.7736301775e-03
3,11,1.5100700000e-16,5.8055848885e-03
3,13,1.2081400000e-16,8.2245785920e-03
3,15,1.2468630000e-16,1.1030611288e-02
3,17,1.0938060000e-16,1.4223682977e-02
3,19,9.6426700000e-17,1.7803793658e-02
3,21,9.9175470000e-17,2.1770943332e-02
3,23,9.4138030000e-17,2.6125131998e-02
3,25,8.1035570000e-17,3.0866359657e-02
3,27,8.5719070000e-17,3.5994626309e-02
3,29,8.3162500000e-17,4.1509931953e-02
3,31,7.0827600000e-17,4.7412276589e-02
3,33,7.6526470000e-17,5.3701660218e-02
3,35,7.0087870000e-17,6.0378082840e-02
3,37,6.9256770000e-17,6.7441544454e-02
3,39,6.6723000000e-17,7.4892045061e-02
3,41,6.7376700000e-17,8.2729584661e-02
3,43,6.3315600000e-17,9.0954163253e-02
3,45,6.2947100000e-17,9.9565780837e-02
3,47,6.1613130000e-17,1.0856443741e-01
3,49,6.1021430000e-17,1.1795013298e-01
3,51,6.0414470000e-17,1.2772286755e-01
3,53,5.2649570000e-17,1.3788264110e-01
3,55,5.6497070000e-17,1.4842945365e-01
3,57,5.3973070000e-17,1.5936330519e-01
3,59,5.6002930000e-17,1.7068419572e-01
3,61,5.2140400000e-17,1.8239212525e-01
3,63,5.9612770000e-17,1.9448709376e-01
3,65,5.4602070000e-17,2.0696910127e-01
3,67,5.4932600000e-17,2.1983814778e-01
3,69,5.3150730000e-17,2.3309423327e-01
3,71,5.5120600000e-17,2.4673735776e-01
3,73,5.3023270000e-17,2.6076752124e-01
3,75,5.1963930000e-17,2.7518472371e-01
3,77,5.0634600000e-17,2.8998896518e-01
3,79,4.8785400000e-17,3.0518024564e-01
3,81,4.7911200000e-17,3.2075856509e-01
3,83,4.6429670000e-17,3.3672392353e-01
3,85,4.6828730000e-17,3.5307632097e-01
3,87,4.7467300000e-17,3.6981575740e-01
3,89,4.9254730000e-17,3.8694223282e-01
3,91,4.3218370000e-17,4.0445574723e-01
3,93,3.9846870000e-17,4.2235630064e-01
3,95,3.7445170000e-17,4.4064389304e-01
3,97,4.7023100000e-17,4.5931852443e-01
3,99,6.9046030000e-17,4.7838019481e-01
4,0,2.6041800000e-17,-9.6759748141e-04
4,2,2.6447630000e-16,-6.7731823699e-04
4,6,4.3952370000e-16,1.0643572296e-03
4,8,2.1016200000e-16,2.5157534517e-03
4,10,1.8074670000e-16,4.3541886664e-03
4,12,1.4365430000e-16,6.5796628736e-03
4,14,1.2458670000e-16,9.1921760734e-03
4,16,1.1867670000e-16,1.2191728266e-02
4,18,1.0313790000e-16,1.5578319451e-02
4,20,9.5381430000e-17,1.9351949628e-02
4,22,9.6079030000e-17,2.3512618798e-02
4,24,8.4572830000e-17,2.8060326961e-02
4,26,8.3976030000e-17,3.2995074116e-02
4,28,8.2853900000e-17,3.8316860264e-02
4,30,7.9419170000e-17,4.4025685404e-02
4,32,7.4389070000e-17,5.0121549537e-02
4,34,7.5705670000e-17,5.6604452663e-02
4,36,7.0132670000e-17,6.3474394781e-02
4,38,6.7950270000e-17,7.0731375891e-02
4,40,6.6425070000e-17,7.8375395994e-02
4,42,6.3802170000e-17,8.6406455090e-02
4,44,6.1514200000e-17,9.4824553178e-02
4,46,6.1886730000e-17,1.0362969026e-01
4,48,5.9976070000e-17,1.1282186633e-01
4,50,5.9744370000e-17,1.2240108140e-01
4,52,5.8569600000e-17,1.3236733546e-01
4,54,5.4164830000e-17,1.4272062851e-01
4,56,5.8460700000e-17,1.5346096055e-01
4,58,5.5764300000e-17,1.6458833159e-01
4,60,5.4089830000e-17,1.7610274162e-01
4,62,5.2358300000e-17,1.8800419064e-01
4,64,5.6219700000e-17,2.0029267865e-01
4,66,5.3150600000e-17,2.1296820566e-01
4,68,5.4863900000e-17,2.2603077166e-01
4,70,5.4676500000e-17,2.3948037665e-01
4,72,5.3705200000e-17,2.5331702063e-01
4,74,5.1873270000e-17,2.6754070361e-01
4,76,5.0559930000e-17,2.8215142558e-01
4,78,4.9526970000e-17,2.9714918654e-01
4,80,4.9181830000e-17,3.1253398650e-01
4,82,4.7721600000e-17,3.2830582544e-01
4,84,4.7236330000e-17,3.4446470338e-01
4,86,4.6891930000e-17,3.6101062031e-01
4,88,4.6423300000e-17,3.7794357624e-01
4,90,4.7410230000e-17,3.9526357116e-01
4,92,4.4286500000e-17,4.1297060507e-01
4,94,3.9698900000e-17,4.3106467797e-01
4,96,3.7014170000e-17,4.4954578986e-01
4,98,4.5046430000e-17,4.6841394075e-01
4,100,6.7655730000e-17,4.8766913063e-01
5,1,6.4518970000e-17,-1.3546364740e-03
5,3,2.8959300000e-16,-8.7083773327e-04
5,7,4.3716670000e-16,1.2578767258e-03
5,9,2.0494500000e-16,2.9027924442e-03
5,11,1.7472170000e-16,4.9347471552e-03
5,13,1.4219800000e-16,7.3537408587e-03
5,15,1.2298430000e-16,1.0159773555e-02
5,17,1.1425330000e-16,1.3352845243e-02
5,19,1.0501250000e-16,1.6932955925e-02
5,21,9.6345400000e-17,2.0900105599e-02
5,23,9.3210630000e-17,2.5254294265e-02
5,25,8.7912870000e-17,2.9995521924e-02
5,27,8.2259170000e-17,3.5123788575e-02
5,29,8.1809070000e-17,4.0639094219e-02
