# O-CO2 state-resolved inelastic channels at energy index 40
# Generated by compute_inelastic_tables.py
ji,jf,sigma_cm2,delta_E_eV
0,2,6.6198700000e-16,2.9027924442e-04
0,4,2.3324430000e-16,9.6759748141e-04
0,6,2.3208800000e-16,2.0319547110e-03
0,8,1.8225430000e-16,3.4833509331e-03
0,10,1.3342530000e-16,5.3217861478e-03
0,12,1.3874630000e-16,7.5472603550e-03
0,14,1.2335500000e-16,1.0159773555e-02
0,16,9.7399900000e-17,1.3159325747e-02
0,18,1.1165330000e-16,1.6545916932e-02
0,20,9.5198870000e-17,2.0319547110e-02
0,22,8.4111670000e-17,2.4480216280e-02
0,24,9.2365370000e-17,2.9027924442e-02
0,26,8.5366070000e-17,3.3962671598e-02
0,28,7.3562700000e-17,3.9284457745e-02
0,30,8.5619700000e-17,4.4993282886e-02
0,32,6.9912170000e-17,5.1089147019e-02
0,34,6.8622200000e-17,5.7572050144e-02
0,36,8.3818470000e-17,6.4441992262e-02
0,38,6.6936300000e-17,7.1698973373e-02
0,40,5.9233930000e-17,7.9342993476e-02
0,42,7.1431670000e-17,8.7374052572e-02
0,44,6.6093430000e-17,9.5792150660e-02
0,46,5.4248170000e-17,1.0459728774e-01
0,48,5.9386400000e-17,1.1378946381e-01
0,50,5.8730930000e-17,1.2336867888e-01
0,52,5.3207830000e-17,1.3333493294e-01
0,54,5.5134670000e-17,1.4368822599e-01
0,56,5.3603100000e-17,1.5442855803e-01
0,58,5.3186470000e-17,1.6555592907e-01
0,60,5.9596400000e-17,1.7707033910e-01
0,62,5.2749330000e-17,1.8897178812e-01
0,64,5.4465900000e-17,2.0126027613e-01
0,66,5.2026600000e-17,2.1393580314e-01
0,68,5.4441870000e-17,2.2699836914e-01
0,70,5.2597030000e-17,2.4044797413e-01
0,72,5.0276930000e-17,2.5428461812e-01
0,74,4.8148400000e-17,2.6850830109e-01
0,76,4.7271800000e-17,2.8311902306e-01
0,78,5.1229570000e-17,2.9811678402e-01
0,80,4.9742230000e-17,3.1350158398e-01
0,82,4.4025100000e-17,3.2927342292e-01
0,84,4.1681100000e-17,3.4543230086e-01
0,86,4.7279700000e-17,3.6197821780e-01
0,88,4.8074230000e-17,3.7891117372e-01
0,90,4.6335470000e-17,3.9623116864e-01
0,92,4.1308230000e-17,4.1393820255e-01
0,94,3.8932200000e-17,4.3203227545e-01
0,96,4.1302630000e-17,4.5051338735e-01
0,98,4.6561830000e-17,4.6938153823e-01
0,100,6.5633470000e-17,4.8863672811e-01
1,3,5.0085430000e-16,4.8379874071e-04
1,5,2.3481530000e-16,1.3546364740e-03
1,7,2.1335970000e-16,2.6125131998e-03
1,9,1.5747100000e-16,4.2574289182e-03
1,11,1.3421630000e-16,6.2893836292e-03
1,13,1.2924330000e-16,8.7083773327e-03
1,15,1.1206030000e-16,1.1514410029e-02
1,17,1.0229200000e-16,1.4707481717e-02
1,19,1.0194170000e-16,1.8287592399e-02
1,21,8.8730670000e-17,2.2254742072e-02
1,23,8.9921030000e-17,2.6608930739e-02
1,25,8.4823230000e-17,3.1350158398e-02
1,27,7.6949470000e-17,3.6478425049e-02
1,29,8.0272600000e-17,4.1993730693e-02
1,31,7.8175930000e-17,4.7896075330e-02
1,33,7.0096530000e-17,5.4185458959e-02
1,35,7.6241000000e-17,6.0861881581e-02
1,37,7.5318100000e-17,6.7925343195e-02
1,39,6.2041470000e-17,7.5375843802e-02
1,41,6.8666300000e-17,8.3213383401e-02
1,43,7.2236230000e-17,9.1437961993e-02
1,45,6.1519930000e-17,1.0004957958e-01
1,47,5.8580930000e-17,1.0904823616e-01
1,49,6.2434800000e-17,1.1843393172e-01
1,51,5.9931630000e-17,1.2820666629e-01
1,53,5.2726170000e-17,1.3836643984e-01
1,55,5.6067270000e-17,1.4891325239e-01
1,57,5.2718200000e-17,1.5984710393e-01
1,59,5.6289800000e-17,1.7116799446e-01
1,61,5.3968270000e-17,1.8287592399e-01
1,63,5.9257100000e-17,1.9497089250e-01
1,65,5.5550370000e-17,2.0745290001e-01
1,67,5.4824370000e-17,2.2032194652e-01
1,69,5.1669230000e-17,2.3357803201e-01
1,71,5.6367800000e-17,2.4722115650e-01
1,73,5.4308330000e-17,2.6125131998e-01
1,75,4.9471830000e-17,2.7566852245e-01
1,77,4.8014370000e-17,2.9047276392e-01
1,79,4.7633170000e-17,3.0566404438e-01
1,81,4.5809430000e-17,3.2124236383e-01
1,83,4.4053200000e-17,3.3720772227e-01
1,85,4.7243130000e-17,3.5356011971e-01
1,87,4.5231570000e-17,3.7029955614e-01
1,89,4.7845600000e-17,3.8742603156e-01
1,91,4.4035000000e-17,4.0493954597e-01
1,93,4.0080000000e-17,4.2284009938e-01
1,95,3.7159470000e-17,4.4112769178e-01
1,97,4.8729330000e-17,4.5980232317e-01
1,99,6.9256230000e-17,4.7886399355e-01
2,0,1.3240550000e-16,-2.9027924442e-04
2,4,4.7303700000e-16,6.7731823699e-04
2,6,2.2411370000e-16,1.7416754665e-03
2,8,1.9028130000e-16,3.1930716887e-03
2,10,1.5587830000e-16,5.0315069033e-03
2,12,1.3071000000e-16,7.2569811106e-03
2,14,1.2041600000e-16,9.8694943104e-03
2,16,1.1426400000e-16,1.2869046503e-02
2,18,9.8920470000e-17,1.6255637688e-02
2,20,9.9042800000e-17,2.0029267865e-02
2,22,8.9539500000e-17,2.4189937035e-02
2,24,8.7880000000e-17,2.8737645198e-02
2,26,8.1379500000e-17,3.3672392353e-02
2,28,8.3415670000e-17,3.8994178501e-02
2,30,7.5025700000e-17,4.4703003641e-02
2,32,7.2382830000e-17,5.0798867774e-02
2,34,7.3372730000e-17,5.7281770900e-02
2,36,6.9770330000e-17,6.4151713018e-02
2,38,7.0126430000e-17,7.1408694128e-02
2,40,6.2604270000e-17,7.9052714231e-02
2,42,6.9421530000e-17,8.7083773327e-02
2,44,6.4126430000e-17,9.5501871415e-02
2,46,6.1497730000e-17,1.0430700850e-01
2,48,5.8977530000e-17,1.1349918457e-01
2,50,5.9186070000e-17,1.2307839964e-01
2,52,5.6301470000e-17,1.3304465369e-01
2,54,5.2780500000e-17,1.4339794675e-01
2,56,5.6821270000e-17,1.5413827879e-01
2,58,5.5991130000e-17,1.6526564983e-01
2,60,5.5173100000e-17,1.7678005985e-01
2,62,5.3736600000e-17,1.8868150888e-01
2,64,5.6534970000e-17,2.0096999689e-01
2,66,5.2014130000e-17,2.1364552390e-01
2,68,5.4701070000e-17,2.2670808989e-01
2,70,5.5743500000e-17,2.4015769489e-01
2,72,5.1871100000e-17,2.5399433887e-01
2,74,5.1702800000e-17,2.6821802185e-01
2,76,5.1979270000e-17,2.8282874382e-01
2,78,5.1108100000e-17,2.9782650478e-01
2,80,4.9739270000e-17,3.1321130473e-01
2,82,4.4945270000e-17,3.2898314368e-01
2,84,4.2736330000e-17,3.4514202162e-01
2,86,4.6141600000e-17,3.6168793855e-01
2,88,4.6809070000e-17,3.7862089448e-01
2,90,4.6442570000e-17,3.9594088939e-01
2,92,4.2346370000e-17,4.1364792330e-01
2,94,3.8583900000e-17,4.3174199621e-01
2,96,3.7664970000e-17,4.5022310810e-01
2,98,4.4791000000e-17,4.6909125899e-01
2,100,6.8299930000e-17,4.8834644887e-01
3,1,2.1467330000e-16,-4.8379874071e-04
3,5,4.5114730000e-16,8.7083773327e-04
3,7,2.1195200000e-16,2.1287144591e-03
3,9,1.8469900000e-16,3.7736301775e-03
