# O-CO2 state-resolved inelastic channels at energy index 26
# Generated by compute_inelastic_tables.py
ji,jf,sigma_cm2,delta_E_eV
0,2,7.8660630000e-16,2.9027924442e-04
0,4,2.5832800000e-16,9.6759748141e-04
0,6,2.4244970000e-16,2.0319547110e-03
0,8,1.7942400000e-16,3.4833509331e-03
0,10,1.3964670000e-16,5.3217861478e-03
0,12,1.5072670000e-16,7.5472603550e-03
0,14,1.2625230000e-16,1.0159773555e-02
0,16,1.0240130000e-16,1.3159325747e-02
0,18,1.2192830000e-16,1.6545916932e-02
0,20,1.0157730000e-16,2.0319547110e-02
0,22,9.0534100000e-17,2.4480216280e-02
0,24,9.9110800000e-17,2.9027924442e-02
0,26,8.8879170000e-17,3.3962671598e-02
0,28,7.4493270000e-17,3.9284457745e-02
0,30,8.7510870000e-17,4.4993282886e-02
0,32,7.4223200000e-17,5.1089147019e-02
0,34,7.1820370000e-17,5.7572050144e-02
0,36,7.8828670000e-17,6.4441992262e-02
0,38,6.5658200000e-17,7.1698973373e-02
0,40,6.4186770000e-17,7.9342993476e-02
0,42,7.2063730000e-17,8.7374052572e-02
0,44,7.0937230000e-17,9.5792150660e-02
0,46,6.1530900000e-17,1.0459728774e-01
0,48,6.4105500000e-17,1.1378946381e-01
0,50,6.3774230000e-17,1.2336867888e-01
0,52,5.9123330000e-17,1.3333493294e-01
0,54,6.4697430000e-17,1.4368822599e-01
0,56,6.0656670000e-17,1.5442855803e-01
0,58,6.0639270000e-17,1.6555592907e-01
0,60,5.9587870000e-17,1.7707033910e-01
0,62,5.9405170000e-17,1.8897178812e-01
0,64,5.1719330000e-17,2.0126027613e-01
0,66,4.9668230000e-17,2.1393580314e-01
0,68,5.0891100000e-17,2.2699836914e-01
0,70,5.0677670000e-17,2.4044797413e-01
0,72,4.6753800000e-17,2.5428461812e-01
0,74,4.8932970000e-17,2.6850830109e-01
0,76,4.1908630000e-17,2.8311902306e-01
0,78,4.3217300000e-17,2.9811678402e-01
0,80,4.1632830000e-17,3.1350158398e-01
0,82,4.5500030000e-17,3.2927342292e-01
0,84,3.9836500000e-17,3.4543230086e-01
0,86,4.2094270000e-17,3.6197821780e-01
0,88,4.2785170000e-17,3.7891117372e-01
0,90,4.0540400000e-17,3.9623116864e-01
0,92,4.3225730000e-17,4.1393820255e-01
0,94,4.3976630000e-17,4.3203227545e-01
0,96,3.4435830000e-17,4.5051338735e-01
0,98,3.7684470000e-17,4.6938153823e-01
0,100,6.3264800000e-17,4.8863672811e-01
1,3,5.8645630000e-16,4.8379874071e-04
1,5,2.5677530000e-16,1.3546364740e-03
1,7,2.1452070000e-16,2.6125131998e-03
1,9,1.6031670000e-16,4.2574289182e-03
1,11,1.4294370000e-16,6.2893836292e-03
1,13,1.3482370000e-16,8.7083773327e-03
1,15,1.1339770000e-16,1.1514410029e-02
1,17,1.1179800000e-16,1.4707481717e-02
1,19,1.0980000000e-16,1.8287592399e-02
1,21,9.4430170000e-17,2.2254742072e-02
1,23,9.3198000000e-17,2.6608930739e-02
1,25,9.0289400000e-17,3.1350158398e-02
1,27,8.3610500000e-17,3.6478425049e-02
1,29,8.3247400000e-17,4.1993730693e-02
1,31,8.1482430000e-17,4.7896075330e-02
1,33,7.1028670000e-17,5.4185458959e-02
1,35,7.6400600000e-17,6.0861881581e-02
1,37,7.3800370000e-17,6.7925343195e-02
1,39,6.4451300000e-17,7.5375843802e-02
1,41,6.7371330000e-17,8.3213383401e-02
1,43,7.4886770000e-17,9.1437961993e-02
1,45,6.8461170000e-17,1.0004957958e-01
1,47,6.2804270000e-17,1.0904823616e-01
1,49,7.0069670000e-17,1.1843393172e-01
1,51,6.4574730000e-17,1.2820666629e-01
1,53,5.8602630000e-17,1.3836643984e-01
1,55,6.0104070000e-17,1.4891325239e-01
1,57,6.2587700000e-17,1.5984710393e-01
1,59,5.7919530000e-17,1.7116799446e-01
1,61,6.0684000000e-17,1.8287592399e-01
1,63,5.6613230000e-17,1.9497089250e-01
1,65,5.6006500000e-17,2.0745290001e-01
1,67,5.1136200000e-17,2.2032194652e-01
1,69,5.0174870000e-17,2.3357803201e-01
1,71,5.0208470000e-17,2.4722115650e-01
1,73,5.0371600000e-17,2.6125131998e-01
1,75,4.3881730000e-17,2.7566852245e-01
1,77,4.4528230000e-17,2.9047276392e-01
1,79,4.3445500000e-17,3.0566404438e-01
1,81,4.9599930000e-17,3.2124236383e-01
1,83,4.4611400000e-17,3.3720772227e-01
1,85,4.5298200000e-17,3.5356011971e-01
1,87,4.1047800000e-17,3.7029955614e-01
1,89,4.0233700000e-17,3.8742603156e-01
1,91,4.3909870000e-17,4.0493954597e-01
1,93,4.4789530000e-17,4.2284009938e-01
1,95,3.4441800000e-17,4.4112769178e-01
1,97,3.9464270000e-17,4.5980232317e-01
1,99,6.4253000000e-17,4.7886399355e-01
2,0,1.5733600000e-16,-2.9027924442e-04
2,4,5.4541700000e-16,6.7731823699e-04
2,6,2.3669570000e-16,1.7416754665e-03
2,8,1.9537600000e-16,3.1930716887e-03
2,10,1.6094600000e-16,5.0315069033e-03
2,12,1.3985900000e-16,7.2569811106e-03
2,14,1.2568930000e-16,9.8694943104e-03
2,16,1.2034200000e-16,1.2869046503e-02
2,18,1.0691580000e-16,1.6255637688e-02
2,20,1.0285300000e-16,2.0029267865e-02
2,22,9.6302770000e-17,2.4189937035e-02
2,24,9.0638200000e-17,2.8737645198e-02
2,26,8.5166430000e-17,3.3672392353e-02
2,28,8.4661900000e-17,3.8994178501e-02
2,30,7.7961400000e-17,4.4703003641e-02
2,32,7.6798600000e-17,5.0798867774e-02
2,34,7.5265430000e-17,5.7281770900e-02
2,36,7.0445530000e-17,6.4151713018e-02
2,38,7.1377170000e-17,7.1408694128e-02
2,40,6.7055470000e-17,7.9052714231e-02
2,42,6.6675870000e-17,8.7083773327e-02
2,44,6.7495800000e-17,9.5501871415e-02
2,46,6.4168700000e-17,1.0430700850e-01
2,48,6.2085730000e-17,1.1349918457e-01
2,50,6.3622030000e-17,1.2307839964e-01
2,52,5.9581030000e-17,1.3304465369e-01
2,54,5.6276870000e-17,1.4339794675e-01
2,56,5.9556570000e-17,1.5413827879e-01
2,58,5.9833800000e-17,1.6526564983e-01
2,60,5.6755270000e-17,1.7678005985e-01
2,62,6.1083830000e-17,1.8868150888e-01
2,64,5.8455070000e-17,2.0096999689e-01
2,66,5.5053400000e-17,2.1364552390e-01
2,68,5.2929800000e-17,2.2670808989e-01
2,70,5.5200330000e-17,2.4015769489e-01
2,72,4.8038700000e-17,2.5399433887e-01
2,74,4.9897230000e-17,2.6821802185e-01
2,76,4.7150970000e-17,2.8282874382e-01
2,78,4.8181230000e-17,2.9782650478e-01
2,80,4.4700730000e-17,3.1321130473e-01
2,82,4.7756970000e-17,3.2898314368e-01
2,84,4.3506200000e-17,3.4514202162e-01
2,86,4.3663400000e-17,3.6168793855e-01
2,88,4.0903830000e-17,3.7862089448e-01
2,90,3.9929800000e-17,3.9594088939e-01
2,92,4.3776430000e-17,4.1364792330e-01
2,94,4.4142470000e-17,4.3174199621e-01
2,96,3.4988530000e-17,4.5022310810e-01
2,98,3.8910800000e-17,4.6909125899e-01
2,100,6.2305870000e-17,4.8834644887e-01
3,1,2.5137730000e-16,-4.8379874071e-04
3,5,5.1653270000e-16,8.7083773327e-04
3,7,2.2164570000e-16,2.1287144591e-03
3,9,1.9198230000e-16,3.7736301775e-03
3,11,1.5555030000e-16,5.8055848885e-03
3,13,1.2669270000e-16,8.2245785920e-03
3,15,1.3079330000e-16,1.1030611288e-02
3,17,1.1652500000e-16,1.4223682977e-02
3,19,9.9424430000e-17,1.7803793658e-02
3,21,1.0459930000e-16,2.1770943332e-02
3,23,9.6820500000e-17,2.6125131998e-02
3,25,8.4376870000e-17,3.0866359657e-02
3,27,8.8866300000e-17,3.5994626309e-02
3,29,8.3309100000e-17,4.1509931953e-02
3,31,7.4141970000e-17,4.7412276589e-02
3,33,7.7209470000e-17,5.3701660218e-02
3,35,7.2933900000e-17,6.0378082840e-02
3,37,6.8304370000e-17,6.7441544454e-02
3,39,6.9220930000e-17,7.4892045061e-02
3,41,6.7074300000e-17,8.2729584661e-02
3,43,6.8067730000e-17,9.0954163253e-02
3,45,6.5361370000e-17,9.9565780837e-02
3,47,6.1851830000e-17,1.0856443741e-01
3,49,6.6209430000e-17,1.1795013298e-01
3,51,6.3326770000e-17,1.2772286755e-01
3,53,5.7963300000e-17,1.3788264110e-01
3,55,5.8955400000e-17,1.4842945365e-01
3,57,6.2444870000e-17,1.5936330519e-01
3,59,5.7510970000e-17,1.7068419572e-01
3,61,5.8703630000e-17,1.8239212525e-01
3,63,5.9922070000e-17,1.9448709376e-01
3,65,5.9795100000e-17,2.0696910127e-01
3,67,5.2769930000e-17,2.1983814778e-01
3,69,5.6129830000e-17,2.3309423327e-01
3,71,5.2659700000e-17,2.4673735776e-01
3,73,5.1456400000e-17,2.6076752124e-01
3,75,4.7125130000e-17,2.7518472371e-01
3,77,4.7552200000e-17,2.8998896518e-01
3,79,4.4936300000e-17,3.0518024564e-01
3,81,5.1530270000e-17,3.2075856509e-01
3,83,4.6794170000e-17,3.3672392353e-01
3,85,4.5378770000e-17,3.5307632097e-01
3,87,4.2146170000e-17,3.6981575740e-01
3,89,4.1908370000e-17,3.8694223282e-01
3,91,4.4663600000e-17,4.0445574723e-01
3,93,4.5159330000e-17,4.2235630064e-01
3,95,3.5526530000e-17,4.4064389304e-01
3,97,3.9869970000e-17,4.5931852443e-01
3,99,6.3620530000e-17,4.7838019481e-01
4,0,2.8712000000e-17,-9.6759748141e-04
4,2,3.0307500000e-16,-6.7731823699e-04
4,6,4.9938470000e-16,1.0643572296e-03
4,8,2.2197230000e-16,2.5157534517e-03
4,10,1.8668570000e-16,4.3541886664e-03
4,12,1.4833530000e-16,6.5796628736e-03
4,14,1.2921630000e-16,9.1921760734e-03
4,16,1.2609770000e-16,1.2191728266e-02
4,18,1.0926600000e-16,1.5578319451e-02
4,20,9.9114400000e-17,1.9351949628e-02
4,22,9.9872370000e-17,2.3512618798e-02
4,24,8.7391870000e-17,2.8060326961e-02
4,26,8.5567070000e-17,3.2995074116e-02
4,28,8.6174370000e-17,3.8316860264e-02
4,30,7.9647200000e-17,4.4025685404e-02
4,32,7.6873530000e-17,5.0121549537e-02
4,34,7.6431730000e-17,5.6604452663e-02
4,36,7.2554230000e-17,6.3474394781e-02
4,38,7.0484570000e-17,7.0731375891e-02
4,40,6.9792100000e-17,7.8375395994e-02
4,42,6.4463300000e-17,8.6406455090e-02
4,44,6.5571200000e-17,9.4824553178e-02
4,46,6.6018670000e-17,1.0362969026e-01
4,48,6.1785700000e-17,1.1282186633e-01
4,50,6.2654500000e-17,1.2240108140e-01
4,52,6.0091700000e-17,1.3236733546e-01
4,54,5.8881700000e-17,1.4272062851e-01
4,56,5.8507870000e-17,1.5346096055e-01
4,58,6.0263770000e-17,1.6458833159e-01
4,60,5.5657230000e-17,1.7610274162e-01
4,62,5.8027930000e-17,1.8800419064e-01
4,64,5.7461700000e-17,2.0029267865e-01
4,66,5.7477670000e-17,2.1296820566e-01
4,68,5.4803100000e-17,2.2603077166e-01
4,70,5.7588570000e-17,2.3948037665e-01
4,72,5.2633400000e-17,2.5331702063e-01
4,74,5.1964500000e-17,2.6754070361e-01
4,76,4.7403930000e-17,2.8215142558e-01
4,78,4.7531030000e-17,2.9714918654e-01
4,80,4.5367300000e-17,3.1253398650e-01
4,82,4.8491600000e-17,3.2830582544e-01
4,84,4.5512600000e-17,3.4446470338e-01
4,86,4.5647230000e-17,3.6101062031e-01
4,88,4.0321330000e-17,3.7794357624e-01
4,90,4.1318370000e-17,3.9526357116e-01
4,92,4.4173870000e-17,4.1297060507e-01
4,94,4.4042630000e-17,4.3106467797e-01
4,96,3.4252030000e-17,4.4954578986e-01
4,98,3.8839430000e-17,4.6841394075e-01
4,100,6.2664030000e-17,4.8766913063e-01
5,1,7.0060030000e-17,-1.3546364740e-03
5,3,3.2879400000e-16,-8.7083773327e-04
5,7,4.9280370000e-16,1.2578767258e-03
5,9,2.1634330000e-16,2.9027924442e-03
5,11,1.8031070000e-16,4.9347471552e-03
5,13,1.4621570000e-16,7.3537408587e-03
5,15,1.2910300000e-16,1.0159773555e-02
5,17,1.2002830000e-16,1.3352845243e-02
5,19,1.0858540000e-16,1.6932955925e-02
5,21,1.0107450000e-16,2.0900105599e-02
5,23,9.8533970000e-17,2.5254294265e-02
5,25,8.8802030000e-17,2.9995521924e-02
5,27,8.6038070000e-17,3.5123788575e-02
5,29,8.3324300000e-17,4.0639094219e-02
5,31,7.9348500000e-17,4.6541438856e-02
5,33,7.2938800000e-17,5.2830822485e-02
5,35,7.6383270000e-17,5.9507245107e-02
5,37,7.0494430000e-17,6.6570706721e-02
