# O-CO2 state-resolved inelastic channels at energy index 3
# Generated by compute_inelastic_tables.py
ji,jf,sigma_cm2,delta_E_eV
0,2,2.0963270000e-15,2.9027924442e-04
0,4,7.7794600000e-16,9.6759748141e-04
0,6,5.1821070000e-16,2.0319547110e-03
0,8,3.9399030000e-16,3.4833509331e-03
0,10,2.4170600000e-16,5.3217861478e-03
0,12,2.4968730000e-16,7.5472603550e-03
0,14,2.3374070000e-16,1.0159773555e-02
0,16,1.7386100000e-16,1.3159325747e-02
0,18,1.7994630000e-16,1.6545916932e-02
0,20,1.6453970000e-16,2.0319547110e-02
0,22,1.3536140000e-16,2.4480216280e-02
0,24,1.4432800000e-16,2.9027924442e-02
0,26,1.2909030000e-16,3.3962671598e-02
0,28,1.0090250000e-16,3.9284457745e-02
0,30,1.1496340000e-16,4.4993282886e-02
0,32,1.0757670000e-16,5.1089147019e-02
0,34,7.5905570000e-17,5.7572050144e-02
0,36,7.7994000000e-17,6.4441992262e-02
0,38,8.3008830000e-17,7.1698973373e-02
0,40,7.0156830000e-17,7.9342993476e-02
0,42,5.7838000000e-17,8.7374052572e-02
0,44,6.0845200000e-17,9.5792150660e-02
0,46,5.7179900000e-17,1.0459728774e-01
0,48,4.7370430000e-17,1.1378946381e-01
0,50,4.2521530000e-17,1.2336867888e-01
0,52,4.4251930000e-17,1.3333493294e-01
0,54,3.9611770000e-17,1.4368822599e-01
0,56,3.3103500000e-17,1.5442855803e-01
0,58,2.9947830000e-17,1.6555592907e-01
0,60,2.9492670000e-17,1.7707033910e-01
0,62,2.4660070000e-17,1.8897178812e-01
0,64,1.8727930000e-17,2.0126027613e-01
0,66,1.3786600000e-17,2.1393580314e-01
0,68,1.1218730000e-17,2.2699836914e-01
0,70,7.7376830000e-18,2.4044797413e-01
0,72,3.6457100000e-18,2.5428461812e-01
0,74,7.7751400000e-19,2.6850830109e-01
1,3,1.6054130000e-15,4.8379874071e-04
1,5,6.8791770000e-16,1.3546364740e-03
1,7,4.7175700000e-16,2.6125131998e-03
1,9,3.1662030000e-16,4.2574289182e-03
1,11,2.4714930000e-16,6.2893836292e-03
1,13,2.4067630000e-16,8.7083773327e-03
1,15,2.0000570000e-16,1.1514410029e-02
1,17,1.7397670000e-16,1.4707481717e-02
1,19,1.7148930000e-16,1.8287592399e-02
1,21,1.5003130000e-16,2.2254742072e-02
1,23,1.3994400000e-16,2.6608930739e-02
1,25,1.3580970000e-16,3.1350158398e-02
1,27,1.1195600000e-16,3.6478425049e-02
1,29,1.0313230000e-16,4.1993730693e-02
1,31,1.0837560000e-16,4.7896075330e-02
1,33,8.9865670000e-17,5.4185458959e-02
1,35,7.8894700000e-17,6.0861881581e-02
1,37,8.0501270000e-17,6.7925343195e-02
1,39,7.4613770000e-17,7.5375843802e-02
1,41,6.3207600000e-17,8.3213383401e-02
1,43,5.9373530000e-17,9.1437961993e-02
1,45,5.7952030000e-17,1.0004957958e-01
1,47,5.2166500000e-17,1.0904823616e-01
1,49,4.5322870000e-17,1.1843393172e-01
1,51,4.3564870000e-17,1.2820666629e-01
1,53,4.1278300000e-17,1.3836643984e-01
1,55,3.6489730000e-17,1.4891325239e-01
1,57,3.1799200000e-17,1.5984710393e-01
1,59,2.9827870000e-17,1.7116799446e-01
1,61,2.7039470000e-17,1.8287592399e-01
1,63,2.1754100000e-17,1.9497089250e-01
1,65,1.6090780000e-17,2.0745290001e-01
1,67,1.2522420000e-17,2.2032194652e-01
1,69,9.6173880000e-18,2.3357803201e-01
1,71,5.6802700000e-18,2.4722115650e-01
1,73,1.9469190000e-18,2.6125131998e-01
1,75,2.1286720000e-19,2.7566852245e-01
2,0,4.1970430000e-16,-2.9027924442e-04
2,4,1.4556750000e-15,6.7731823699e-04
2,6,6.3630770000e-16,1.7416754665e-03
2,8,4.0231500000e-16,3.1930716887e-03
2,10,3.0236970000e-16,5.0315069033e-03
2,12,2.4772730000e-16,7.2569811106e-03
2,14,2.1777270000e-16,9.8694943104e-03
2,16,1.9521030000e-16,1.2869046503e-02
2,18,1.6814370000e-16,1.6255637688e-02
2,20,1.6163470000e-16,2.0029267865e-02
2,22,1.4935030000e-16,2.4189937035e-02
2,24,1.3399470000e-16,2.8737645198e-02
2,26,1.2338000000e-16,3.3672392353e-02
2,28,1.1071230000e-16,3.8994178501e-02
2,30,1.0145040000e-16,4.4703003641e-02
2,32,9.4308230000e-17,5.0798867774e-02
2,34,8.9060030000e-17,5.7281770900e-02
2,36,8.0672730000e-17,6.4151713018e-02
2,38,7.3802130000e-17,7.1408694128e-02
2,40,6.7856600000e-17,7.9052714231e-02
2,42,6.3583530000e-17,8.7083773327e-02
2,44,5.7289030000e-17,9.5501871415e-02
2,46,5.2949000000e-17,1.0430700850e-01
2,48,4.9913430000e-17,1.1349918457e-01
2,50,4.5739300000e-17,1.2307839964e-01
2,52,4.1424530000e-17,1.3304465369e-01
2,54,3.8552430000e-17,1.4339794675e-01
2,56,3.5166800000e-17,1.5413827879e-01
2,58,3.1320230000e-17,1.6526564983e-01
2,60,2.8035270000e-17,1.7678005985e-01
2,62,2.4512270000e-17,1.8868150888e-01
2,64,1.8914930000e-17,2.0096999689e-01
2,66,1.4347510000e-17,2.1364552390e-01
2,68,1.1161980000e-17,2.2670808989e-01
2,70,7.7440920000e-18,2.4015769489e-01
2,72,3.7204370000e-18,2.5399433887e-01
