# O-CO2 state-resolved inelastic channels at energy index 10
# Generated by compute_inelastic_tables.py
ji,jf,sigma_cm2,delta_E_eV
0,2,1.2468010000e-15,2.9027924442e-04
0,4,3.7669970000e-16,9.6759748141e-04
0,6,2.9614630000e-16,2.0319547110e-03
0,8,2.2745930000e-16,3.4833509331e-03
0,10,1.7178970000e-16,5.3217861478e-03
0,12,1.9315430000e-16,7.5472603550e-03
0,14,1.6032700000e-16,1.0159773555e-02
0,16,1.2176270000e-16,1.3159325747e-02
0,18,1.4507170000e-16,1.6545916932e-02
0,20,1.4364630000e-16,2.0319547110e-02
0,22,1.0838540000e-16,2.4480216280e-02
0,24,1.1577070000e-16,2.9027924442e-02
0,26,1.1033130000e-16,3.3962671598e-02
0,28,9.8839500000e-17,3.9284457745e-02
0,30,1.0022740000e-16,4.4993282886e-02
0,32,8.5457400000e-17,5.1089147019e-02
0,34,8.0837200000e-17,5.7572050144e-02
0,36,8.5751400000e-17,6.4441992262e-02
0,38,7.2234830000e-17,7.1698973373e-02
0,40,6.7454000000e-17,7.9342993476e-02
0,42,7.0073000000e-17,8.7374052572e-02
0,44,6.6650770000e-17,9.5792150660e-02
0,46,5.3290230000e-17,1.0459728774e-01
0,48,5.9086070000e-17,1.1378946381e-01
0,50,6.0304300000e-17,1.2336867888e-01
0,52,4.8608800000e-17,1.3333493294e-01
0,54,4.8826170000e-17,1.4368822599e-01
0,56,5.4306570000e-17,1.5442855803e-01
0,58,4.7067070000e-17,1.6555592907e-01
0,60,4.2803600000e-17,1.7707033910e-01
0,62,4.5484100000e-17,1.8897178812e-01
0,64,4.5421900000e-17,2.0126027613e-01
0,66,4.1195300000e-17,2.1393580314e-01
0,68,3.9585570000e-17,2.2699836914e-01
0,70,4.0349400000e-17,2.4044797413e-01
0,72,3.8219200000e-17,2.5428461812e-01
0,74,3.3816330000e-17,2.6850830109e-01
0,76,3.4461400000e-17,2.8311902306e-01
0,78,3.5407800000e-17,2.9811678402e-01
0,80,3.2894270000e-17,3.1350158398e-01
0,82,3.0535070000e-17,3.2927342292e-01
0,84,2.9895830000e-17,3.4543230086e-01
0,86,3.0960530000e-17,3.6197821780e-01
0,88,2.9255700000e-17,3.7891117372e-01
0,90,2.7701070000e-17,3.9623116864e-01
0,92,2.9078570000e-17,4.1393820255e-01
0,94,2.4993570000e-17,4.3203227545e-01
0,96,2.9894430000e-17,4.5051338735e-01
0,98,2.6502600000e-17,4.6938153823e-01
0,100,2.6951700000e-17,4.8863672811e-01
1,3,9.0736230000e-16,4.8379874071e-04
1,5,3.3980770000e-16,1.3546364740e-03
1,7,2.6833500000e-16,2.6125131998e-03
1,9,2.0250070000e-16,4.2574289182e-03
1,11,1.8022930000e-16,6.2893836292e-03
1,13,1.7679070000e-16,8.7083773327e-03
1,15,1.4050030000e-16,1.1514410029e-02
1,17,1.3265000000e-16,1.4707481717e-02
1,19,1.3811300000e-16,1.8287592399e-02
1,21,1.2419200000e-16,2.2254742072e-02
1,23,1.1105730000e-16,2.6608930739e-02
1,25,1.1002170000e-16,3.1350158398e-02
1,27,1.0533930000e-16,3.6478425049e-02
1,29,1.0037940000e-16,4.1993730693e-02
1,31,9.6706770000e-17,4.7896075330e-02
1,33,8.2111330000e-17,5.4185458959e-02
1,35,8.6131800000e-17,6.0861881581e-02
1,37,8.3680830000e-17,6.7925343195e-02
1,39,7.2011070000e-17,7.5375843802e-02
1,41,7.0402200000e-17,8.3213383401e-02
1,43,7.1436500000e-17,9.1437961993e-02
1,45,6.5465430000e-17,1.0004957958e-01
1,47,5.8658670000e-17,1.0904823616e-01
1,49,6.0332200000e-17,1.1843393172e-01
1,51,5.7309300000e-17,1.2820666629e-01
1,53,5.0810400000e-17,1.3836643984e-01
1,55,5.2354000000e-17,1.4891325239e-01
1,57,5.0305400000e-17,1.5984710393e-01
1,59,4.6803630000e-17,1.7116799446e-01
1,61,4.6338770000e-17,1.8287592399e-01
1,63,4.6470230000e-17,1.9497089250e-01
1,65,4.2756800000e-17,2.0745290001e-01
1,67,4.0455500000e-17,2.2032194652e-01
1,69,4.2624770000e-17,2.3357803201e-01
1,71,3.9328970000e-17,2.4722115650e-01
1,73,3.5888100000e-17,2.6125131998e-01
1,75,3.4840170000e-17,2.7566852245e-01
1,77,3.4488100000e-17,2.9047276392e-01
1,79,3.4053270000e-17,3.0566404438e-01
1,81,3.1409070000e-17,3.2124236383e-01
1,83,3.1547100000e-17,3.3720772227e-01
1,85,3.1447200000e-17,3.5356011971e-01
1,87,2.8988930000e-17,3.7029955614e-01
