# O-CO2 state-resolved inelastic channels at energy index 30
# Generated by compute_inelastic_tables.py
ji,jf,sigma_cm2,delta_E_eV
0,2,7.4087230000e-16,2.9027924442e-04
0,4,2.4662070000e-16,9.6759748141e-04
0,6,2.3937970000e-16,2.0319547110e-03
0,8,1.8043430000e-16,3.4833509331e-03
0,10,1.3676300000e-16,5.3217861478e-03
0,12,1.4695070000e-16,7.5472603550e-03
0,14,1.2704070000e-16,1.0159773555e-02
0,16,1.0027870000e-16,1.3159325747e-02
0,18,1.1670770000e-16,1.6545916932e-02
0,20,9.8334070000e-17,2.0319547110e-02
0,22,8.7582730000e-17,2.4480216280e-02
0,24,9.8417070000e-17,2.9027924442e-02
0,26,8.7035330000e-17,3.3962671598e-02
0,28,7.3144730000e-17,3.9284457745e-02
0,30,8.3875900000e-17,4.4993282886e-02
0,32,7.3200370000e-17,5.1089147019e-02
0,34,6.9558170000e-17,5.7572050144e-02
0,36,8.1307570000e-17,6.4441992262e-02
0,38,6.5248470000e-17,7.1698973373e-02
0,40,6.3251930000e-17,7.9342993476e-02
0,42,7.2818600000e-17,8.7374052572e-02
0,44,6.9501470000e-17,9.5792150660e-02
0,46,5.7866930000e-17,1.0459728774e-01
0,48,6.8612070000e-17,1.1378946381e-01
0,50,6.0173500000e-17,1.2336867888e-01
0,52,5.7213300000e-17,1.3333493294e-01
0,54,5.9065530000e-17,1.4368822599e-01
0,56,6.0806800000e-17,1.5442855803e-01
0,58,5.6062530000e-17,1.6555592907e-01
0,60,5.9142630000e-17,1.7707033910e-01
0,62,5.7974770000e-17,1.8897178812e-01
0,64,5.3053730000e-17,2.0126027613e-01
0,66,5.3623970000e-17,2.1393580314e-01
0,68,5.0426830000e-17,2.2699836914e-01
0,70,5.4603500000e-17,2.4044797413e-01
0,72,4.7351370000e-17,2.5428461812e-01
0,74,4.4886570000e-17,2.6850830109e-01
0,76,4.5222130000e-17,2.8311902306e-01
0,78,4.2007270000e-17,2.9811678402e-01
0,80,4.4372400000e-17,3.1350158398e-01
0,82,4.7897000000e-17,3.2927342292e-01
0,84,3.9244870000e-17,3.4543230086e-01
0,86,4.3282000000e-17,3.6197821780e-01
0,88,4.2660130000e-17,3.7891117372e-01
0,90,4.3766030000e-17,3.9623116864e-01
0,92,4.6603930000e-17,4.1393820255e-01
0,94,4.3263170000e-17,4.3203227545e-01
0,96,3.5644070000e-17,4.5051338735e-01
0,98,4.1961370000e-17,4.6938153823e-01
0,100,6.8226300000e-17,4.8863672811e-01
1,3,5.5658870000e-16,4.8379874071e-04
1,5,2.5047370000e-16,1.3546364740e-03
1,7,2.1439200000e-16,2.6125131998e-03
1,9,1.5799530000e-16,4.2574289182e-03
1,11,1.3712300000e-16,6.2893836292e-03
1,13,1.3229600000e-16,8.7083773327e-03
1,15,1.1001390000e-16,1.1514410029e-02
1,17,1.0958730000e-16,1.4707481717e-02
1,19,1.0525170000e-16,1.8287592399e-02
1,21,9.3461400000e-17,2.2254742072e-02
1,23,9.2271830000e-17,2.6608930739e-02
1,25,9.0568370000e-17,3.1350158398e-02
1,27,8.0204830000e-17,3.6478425049e-02
1,29,8.0662970000e-17,4.1993730693e-02
1,31,7.9221270000e-17,4.7896075330e-02
1,33,7.0260170000e-17,5.4185458959e-02
1,35,7.5853330000e-17,6.0861881581e-02
1,37,7.3663870000e-17,6.7925343195e-02
1,39,6.5184270000e-17,7.5375843802e-02
1,41,6.7042530000e-17,8.3213383401e-02
1,43,7.3223830000e-17,9.1437961993e-02
1,45,6.3346630000e-17,1.0004957958e-01
1,47,6.2278800000e-17,1.0904823616e-01
1,49,6.7117530000e-17,1.1843393172e-01
1,51,6.4543030000e-17,1.2820666629e-01
1,53,5.7715730000e-17,1.3836643984e-01
1,55,6.1022570000e-17,1.4891325239e-01
1,57,6.1239230000e-17,1.5984710393e-01
1,59,5.8361330000e-17,1.7116799446e-01
1,61,5.8107600000e-17,1.8287592399e-01
1,63,5.9856530000e-17,1.9497089250e-01
