# O-CO2 state-resolved inelastic channels at energy index 25
# Generated by compute_inelastic_tables.py
ji,jf,sigma_cm2,delta_E_eV
0,2,7.9869130000e-16,2.9027924442e-04
0,4,2.6207030000e-16,9.6759748141e-04
0,6,2.4388800000e-16,2.0319547110e-03
0,8,1.8060970000e-16,3.4833509331e-03
0,10,1.4042970000e-16,5.3217861478e-03
0,12,1.5260770000e-16,7.5472603550e-03
0,14,1.2554970000e-16,1.0159773555e-02
0,16,1.0152150000e-16,1.3159325747e-02
0,18,1.2383870000e-16,1.6545916932e-02
0,20,1.0262970000e-16,2.0319547110e-02
0,22,9.2502930000e-17,2.4480216280e-02
0,24,9.9570300000e-17,2.9027924442e-02
0,26,8.8396730000e-17,3.3962671598e-02
0,28,7.3643700000e-17,3.9284457745e-02
0,30,8.7814600000e-17,4.4993282886e-02
0,32,7.5301470000e-17,5.1089147019e-02
0,34,7.1943730000e-17,5.7572050144e-02
0,36,7.9118170000e-17,6.4441992262e-02
0,38,6.6577100000e-17,7.1698973373e-02
0,40,6.4714200000e-17,7.9342993476e-02
0,42,7.2354970000e-17,8.7374052572e-02
0,44,7.1762030000e-17,9.5792150660e-02
0,46,6.2483830000e-17,1.0459728774e-01
0,48,6.4283400000e-17,1.1378946381e-01
0,50,6.4497800000e-17,1.2336867888e-01
0,52,6.0288300000e-17,1.3333493294e-01
0,54,6.4259830000e-17,1.4368822599e-01
0,56,6.1756370000e-17,1.5442855803e-01
0,58,6.1324100000e-17,1.6555592907e-01
0,60,5.8170070000e-17,1.7707033910e-01
0,62,5.9571930000e-17,1.8897178812e-01
0,64,5.0964530000e-17,2.0126027613e-01
0,66,4.8259730000e-17,2.1393580314e-01
0,68,4.9825770000e-17,2.2699836914e-01
0,70,5.0077030000e-17,2.4044797413e-01
0,72,4.7571100000e-17,2.5428461812e-01
0,74,4.9148670000e-17,2.6850830109e-01
0,76,4.2302200000e-17,2.8311902306e-01
0,78,4.2770430000e-17,2.9811678402e-01
0,80,3.9481130000e-17,3.1350158398e-01
0,82,4.3799700000e-17,3.2927342292e-01
0,84,4.0527370000e-17,3.4543230086e-01
0,86,4.1966930000e-17,3.6197821780e-01
0,88,4.4001170000e-17,3.7891117372e-01
0,90,4.0661700000e-17,3.9623116864e-01
0,92,4.2170270000e-17,4.1393820255e-01
0,94,4.4277870000e-17,4.3203227545e-01
0,96,3.3572230000e-17,4.5051338735e-01
0,98,3.6878370000e-17,4.6938153823e-01
0,100,6.1580100000e-17,4.8863672811e-01
1,3,5.9543370000e-16,4.8379874071e-04
1,5,2.5958800000e-16,1.3546364740e-03
1,7,2.1597400000e-16,2.6125131998e-03
1,9,1.6174670000e-16,4.2574289182e-03
1,11,1.4392300000e-16,6.2893836292e-03
1,13,1.3572530000e-16,8.7083773327e-03
1,15,1.1297350000e-16,1.1514410029e-02
1,17,1.1251370000e-16,1.4707481717e-02
1,19,1.1129070000e-16,1.8287592399e-02
1,21,9.5853200000e-17,2.2254742072e-02
1,23,9.4095330000e-17,2.6608930739e-02
1,25,9.1083070000e-17,3.1350158398e-02
1,27,8.3390270000e-17,3.6478425049e-02
1,29,8.3190230000e-17,4.1993730693e-02
1,31,8.1427200000e-17,4.7896075330e-02
1,33,7.1973930000e-17,5.4185458959e-02
1,35,7.6799770000e-17,6.0861881581e-02
1,37,7.4106900000e-17,6.7925343195e-02
1,39,6.5158430000e-17,7.5375843802e-02
1,41,6.7830100000e-17,8.3213383401e-02
1,43,7.5225500000e-17,9.1437961993e-02
1,45,6.9036300000e-17,1.0004957958e-01
