# O-CO2 state-resolved inelastic channels at energy index 29
# Generated by compute_inelastic_tables.py
ji,jf,sigma_cm2,delta_E_eV
0,2,7.5124730000e-16,6.5432297931e-02
0,4,2.4894030000e-16,1.8076695754e-01
0,6,2.3890830000e-16,2.5613903435e-01
0,8,1.8012670000e-16,3.1246117343e-01
0,10,1.3694570000e-16,3.9027380818e-01
0,12,1.4771200000e-16,3.7144172234e-01
0,14,1.2747830000e-16,5.1015019648e-01
0,16,1.0165970000e-16,5.1253450529e-01
0,18,1.1803530000e-16,4.6209105230e-01
0,20,9.9382100000e-17,5.3254082054e-01
0,22,8.7034370000e-17,5.9109616534e-01
0,24,9.8396730000e-17,5.4822836773e-01
0,26,8.7468170000e-17,6.2646990149e-01
0,28,7.4032830000e-17,6.4575140138e-01
0,30,8.4617470000e-17,6.0199833112e-01
0,32,7.3599500000e-17,6.8048075263e-01
0,34,7.0664470000e-17,7.4597213799e-01
0,36,8.1227530000e-17,7.9466377307e-01
0,38,6.4608730000e-17,7.2018567653e-01
0,40,6.2690270000e-17,8.3586493131e-01
0,42,7.2836430000e-17,8.6082676578e-01
0,44,6.9209400000e-17,8.9271731598e-01
0,46,5.8331330000e-17,7.8199686478e-01
0,48,6.8090070000e-17,8.5326105658e-01
0,50,6.0877200000e-17,8.6040178556e-01
0,52,5.7885470000e-17,8.1745847972e-01
0,54,6.0849300000e-17,7.9151589756e-01
0,56,6.0297300000e-17,8.3523858682e-01
0,58,5.7479800000e-17,8.9868710726e-01
0,60,5.9146130000e-17,8.7891941608e-01
0,62,5.7915130000e-17,9.0426162087e-01
0,64,5.2191900000e-17,9.0486880360e-01
0,66,5.2826730000e-17,9.3085624444e-01
0,68,5.1518530000e-17,8.9454331534e-01
0,70,5.3681430000e-17,1.0321946802e+00
0,72,4.6750800000e-17,9.4319110900e-01
0,74,4.5555470000e-17,9.0427634261e-01
0,76,4.4699830000e-17,9.8611777101e-01
0,78,4.2427570000e-17,1.0143812816e+00
0,80,4.4150300000e-17,9.9043722574e-01
0,82,4.7627300000e-17,1.0974184327e+00
0,84,3.9368070000e-17,9.6478397026e-01
0,86,4.2648200000e-17,1.0562641924e+00
0,88,4.2697430000e-17,1.0719745225e+00
0,90,4.2079870000e-17,1.1415961924e+00
0,92,4.6957130000e-17,1.3149490931e+00
0,94,4.3428670000e-17,1.1042741905e+00
0,96,3.5675230000e-17,1.0198161437e+00
0,98,4.1304730000e-17,0.0000000000e+00
0,100,6.6944030000e-17,0.0000000000e+00
1,3,5.6341570000e-16,0.0000000000e+00
1,5,2.5208870000e-16,0.0000000000e+00
1,7,2.1370770000e-16,0.0000000000e+00
1,9,1.5835270000e-16,0.0000000000e+00
1,11,1.3866600000e-16,0.0000000000e+00
