# O-CO2 state-resolved inelastic channels at energy index 35
# Generated by compute_inelastic_tables.py
ji,jf,sigma_cm2,delta_E_eV
0,2,6.9429130000e-16,2.9027924442e-04
0,4,2.4005570000e-16,9.6759748141e-04
0,6,2.3471900000e-16,2.0319547110e-03
0,8,1.8064300000e-16,3.4833509331e-03
0,10,1.3346870000e-16,5.3217861478e-03
0,12,1.4361000000e-16,7.5472603550e-03
0,14,1.2499200000e-16,1.0159773555e-02
0,16,9.7430030000e-17,1.3159325747e-02
0,18,1.1475270000e-16,1.6545916932e-02
0,20,9.2927770000e-17,2.0319547110e-02
0,22,8.6526970000e-17,2.4480216280e-02
0,24,9.2387100000e-17,2.9027924442e-02
0,26,8.8152930000e-17,3.3962671598e-02
0,28,7.0176370000e-17,3.9284457745e-02
0,30,8.4421970000e-17,4.4993282886e-02
0,32,7.0714870000e-17,5.1089147019e-02
0,34,7.3758200000e-17,5.7572050144e-02
0,36,8.0103430000e-17,6.4441992262e-02
0,38,6.6162700000e-17,7.1698973373e-02
0,40,5.9607630000e-17,7.9342993476e-02
0,42,7.3368700000e-17,8.7374052572e-02
0,44,6.8803870000e-17,9.5792150660e-02
0,46,5.6915930000e-17,1.0459728774e-01
0,48,6.6917730000e-17,1.1378946381e-01
0,50,5.7565970000e-17,1.2336867888e-01
0,52,5.8399700000e-17,1.3333493294e-01
0,54,5.5972070000e-17,1.4368822599e-01
0,56,5.6784600000e-17,1.5442855803e-01
0,58,5.2771570000e-17,1.6555592907e-01
0,60,5.4586630000e-17,1.7707033910e-01
0,62,5.8243370000e-17,1.8897178812e-01
0,64,5.4795130000e-17,2.0126027613e-01
0,66,5.2286970000e-17,2.1393580314e-01
0,68,5.4912670000e-17,2.2699836914e-01
0,70,5.0235770000e-17,2.4044797413e-01
0,72,5.0310830000e-17,2.5428461812e-01
0,74,4.7640300000e-17,2.6850830109e-01
0,76,4.4773800000e-17,2.8311902306e-01
0,78,4.6830970000e-17,2.9811678402e-01
