# Diagnostic ji=0 summary; runtime samples rotational_cross_sections.csv directly.
# Elastic cross section comes from the independent integral elastic reference.
# Generated by tools/rebuild_collision_summaries.py
energy_eV,sigma_total_cm2
0.029756207374384,4.458854458318e-14
0.153740404767651,2.917820184928e-14
0.277724602160918,2.419695195749e-14
0.401708799554185,2.169740994641e-14
0.525692996947451,2.083927744410e-14
0.649677194340718,2.046995536367e-14
0.773661391733985,2.025275217191e-14
0.897645589127252,2.012696052896e-14
1.02162978652052,1.988681166215e-14
1.14561398391379,1.958627612181e-14
1.26959818130705,1.930380049450e-14
1.39358237870032,1.901331082151e-14
1.51756657609359,1.868037710171e-14
1.64155077348685,1.834525681796e-14
1.76553497088012,1.802042560879e-14
1.88951916827339,1.771149315108e-14
2.01350336566665,1.741710420094e-14
2.13748756305992,1.712995667114e-14
2.26147176045319,1.685560569391e-14
2.38545595784645,1.659638814602e-14
2.50944015523972,1.634268742623e-14
2.63342435263299,1.610077341350e-14
2.75740855002625,1.587590342305e-14
2.88139274741952,1.565235691874e-14
3.00537694481279,1.544377570690e-14
3.12936114220606,1.524141197286e-14
3.25334533959932,1.505035917132e-14
3.37732953699259,1.486330844186e-14
3.50131373438586,1.468306352692e-14
3.62529793177912,1.450780785198e-14
3.74928212917239,1.434264644470e-14
3.87326632656566,1.417750206848e-14
3.99725052395892,1.402230768773e-14
4.12123472135219,1.387028449452e-14
4.24521891874546,1.372248975256e-14
4.36920311613872,1.358107319598e-14
4.49318731353199,1.343942584913e-14
4.61717151092526,1.330316774272e-14
4.74115570831852,1.317023858594e-14
4.86513990571179,1.303843760247e-14
4.98912410310506,1.291140189988e-14
