#alt[m],O[m^-3],N2[m^-3],CO[m^-3],CO2[m^-3]
202332,35425700000000,8758660000000,2889960000000,21762100000000
203483,33945400000000,8127850000000,2710640000000,19696900000000
204852,32264200000000,7436120000000,2511710000000,17493100000000
204935,32165000000000,7396140000000,2500130000000,17367800000000
204954,32142300000000,7387010000000,2497480000000,17339200000000
205348,31675800000000,7200290000000,2443290000000,16642700000000
205708,31255700000000,7033910000000,2386830000000,16031100000000
205750,31206500000000,7014540000000,2380250000000,15960500000000
206280,30599300000000,6777280000000,2299740000000,15104800000000
206980,29987400000000,6475940000000,2197490000000,14043800000000
207138,29851300000000,6409910000000,2175080000000,13815200000000
207474,29562900000000,6271330000000,2128060000000,13369300000000
207995,29122100000000,6062700000000,2057260000000,12707200000000
208408,28777100000000,5924860000000,2002790000000,12205500000000
208810,28445000000000,5793630000000,1957510000000,11735900000000
209758,27677200000000,5495650000000,1854790000000,10699100000000
210040,27453000000000,5410060000000,1825310000000,10440900000000
210217,27313300000000,5357080000000,1807060000000,10282200000000
210534,27003000000000,5263430000000,1774820000000,10003700000000
211055,26499900000000,5112830000000,1722990000000,9561730000000
211431,26142600000000,5004630000000,1686530000000,9254910000000
211905,25699600000000,4871640000000,1641710000000,8882510000000
212380,25263400000000,4742000000000,1598910000000,8524630000000
213179,24545300000000,4531340000000,1529290000000,7844220000000
213594,24181200000000,4425870000000,1494420000000,7513260000000
214154,23697600000000,4287210000000,1448540000000,7088000000000
214553,23358900000000,4191050000000,1416710000000,6799690000000
214564,23349800000000,4188120000000,1415860000000,6792080000000
214966,23013400000000,4080070000000,1384500000000,6559350000000
215293,22743600000000,3994330000000,1362630000000,6376120000000
215801,22330600000000,3864630000000,1329320000000,6101440000000
216653,21654700000000,3656500000000,1275270000000,5667090000000
217185,21243000000000,3532240000000,1242640000000,5411650000000
217613,20917800000000,3435450000000,1217020000000,5190600000000
218090,20560500000000,3345290000000,1189030000000,4954340000000
218394,20380900000000,3289120000000,1171550000000,4809570000000
218423,20364100000000,3283910000000,1169930000000,4796210000000
218464,20339900000000,3276390000000,1167580000000,4776990000000
219668,19645700000000,3064010000000,1090370000000,4247880000000
219713,19620200000000,3056340000000,1087590000000,4229280000000
219758,19594400000000,3048590000000,1084770000000,4210510000000
219806,19567600000000,3040540000000,1081850000000,4191050000000
220673,19084000000000,2897200000000,1029810000000,3887570000000
221407,18684300000000,2778880000000,987751000000,3648080000000
221482,18643700000000,2767000000000,983527000000,3624330000000
221962,18387500000000,2692590000000,957080000000,3476770000000
222028,18352600000000,2682530000000,953575000000,3456970000000
222332,18152400000000,2636560000000,937566000000,3367060000000
222427,18089800000000,2622270000000,932586000000,3339250000000
222773,17865900000000,2571310000000,914830000000,3240810000000
223606,17337000000000,2452390000000,873366000000,3015070000000
224104,17028400000000,2383950000000,849485000000,2887710000000
224171,16987200000000,2374870000000,846314000000,2870960000000
224904,16543600000000,2271550000000,812443000000,2694100000000
225022,16473400000000,2255380000000,807130000000,2666720000000
225049,16457600000000,2251740000000,805910000000,2660580000000
225964,15923100000000,2130160000000,765049000000,2446570000000
226726,15438500000000,2034050000000,732643000000,2281730000000
227965,14681300000000,1886820000000,682816000000,2036880000000
228018,14649600000000,1880740000000,680754000000,2026980000000
228520,14354300000000,1824390000000,661614000000,1935920000000
229463,13815200000000,1722970000000,627762000000,1775660000000
229785,13687500000000,1689670000000,616614000000,1724080000000
231078,13186200000000,1562260000000,573783000000,1531500000000
231580,12996500000000,1515390000000,557956000000,1462620000000
232406,12690400000000,1441360000000,533304000000,1356020000000
233400,12331600000000,1357050000000,505082000000,1238010000000
233700,12199000000000,1332620000000,496871000000,1204490000000
234543,11833600000000,1266200000000,474474000000,1114950000000
234660,11783900000000,1257280000000,471459000000,1103110000000
235028,11628500000000,1229530000000,462061000000,1066040000000
237197,10753300000000,1078000000000,410364000000,871528000000
237286,10719000000000,1072220000000,408378000000,864379000000
237337,10699100000000,1069100000000,407234000000,860269000000
237718,10582200000000,1046210000000,398840000000,830381000000
238088,10469900000000,1024440000000,390850000000,804177000000
238920,10221600000000,977133000000,373465000000,748243000000
240257,9834700000000,905610000000,347120000000,666353000000
240339,9811360000000,901381000000,345560000000,661614000000
240709,9707180000000,882623000000,338637000000,640735000000
240783,9686440000000,878913000000,337267000000,636633000000
241274,9550190000000,855212000000,328330000000,610110000000
242857,9020300000000,783083000000,301104000000,531915000000
242961,8986550000000,778566000000,299397000000,527147000000
243317,8871880000000,763284000000,293623000000,510541000000
