# Differential cross section for O-CO elastic scattering
# Collision energy: 0.041000 eV
# Column 1: Angle (degrees)
# Column 2: Cross section (cm²)
angle_degrees,cross_section_cm2
0.10000,5.5068769921e-12
0.20000,5.4208688161e-12
0.30000,5.2805746365e-12
0.40000,5.0904214138e-12
0.50000,4.8563118203e-12
0.60000,4.5853503149e-12
0.70000,4.2855195060e-12
0.80000,3.9653254561e-12
0.90000,3.6334319324e-12
1.00000,3.2983036222e-12
1.10000,2.9678770602e-12
1.20000,2.6492755735e-12
1.30000,2.3485811560e-12
1.40000,2.0706721131e-12
1.50000,1.8191308804e-12
1.60000,1.5962219440e-12
1.70000,1.4029355946e-12
1.80000,1.2390895989e-12
1.90000,1.1034780044e-12
2.00000,9.9405434428e-13
2.10000,9.0813555754e-13
2.20000,8.4261297221e-13
2.30000,7.9415763649e-13
2.40000,7.5940897976e-13
2.50000,7.3513805346e-13
2.60000,7.1837922232e-13
2.70000,7.0652692742e-13
2.80000,6.9739680838e-13
2.90000,6.8925286866e-13
3.00000,6.8080434760e-13
3.10000,6.7117742958e-13
3.20000,6.5986782523e-13
3.30000,6.4668060701e-13
3.40000,6.3166351736e-13
3.50000,6.1503937421e-13
3.60000,5.9714228321e-13
3.70000,5.7836124572e-13
3.80000,5.5909354731e-13
3.90000,5.3970913142e-13
4.00000,5.2052609944e-13
4.10000,5.0179659902e-13
4.20000,4.8370170995e-13
4.30000,4.6635352501e-13
4.40000,4.4980244565e-13
4.50000,4.3404773998e-13
4.60000,4.1904960223e-13
4.70000,4.0474125922e-13
4.80000,3.9104003945e-13
4.90000,3.7785670544e-13
5.00000,3.6510271024e-13
5.10000,3.5269534422e-13
5.20000,3.4056096853e-13
5.30000,3.2863668093e-13
5.40000,3.1687082867e-13
5.50000,3.0522278384e-13
5.60000,2.9366234363e-13
5.70000,2.8216903104e-13
5.80000,2.7073146811e-13
5.90000,2.5934689235e-13
6.00000,2.4802079930e-13
6.10000,2.3676663087e-13
6.20000,2.2560539381e-13
6.30000,2.1456508575e-13
6.40000,2.0367982534e-13
6.50000,1.9298862062e-13
6.60000,1.8253376013e-13
6.70000,1.7235886561e-13
6.80000,1.6250669622e-13
6.90000,1.5301683602e-13
7.00000,1.4392342471e-13
7.10000,1.3525310271e-13
7.20000,1.2702333650e-13
7.30000,1.1924126759e-13
7.40000,1.1190319308e-13
7.50000,1.0499473924e-13
7.60000,9.8491737363e-14
7.70000,9.2361756640e-14
7.80000,8.6566197816e-14
7.90000,8.1062806528e-14
8.00000,7.5808431277e-14
8.10000,7.0761829956e-14
8.20000,6.5886322687e-14
8.30000,6.1152098075e-14
8.40000,5.6538004267e-14
8.50000,5.2032693788e-14
8.60000,4.7635039285e-14
8.70000,4.3353792383e-14
8.80000,3.9206515653e-14
8.90000,3.5217873506e-14
9.00000,3.1417417179e-14
9.10000,2.7837037707e-14
9.20000,2.4508285462e-14
9.30000,2.1459763427e-14
9.40000,1.8714792877e-14
9.50000,1.6289525309e-14
9.60000,1.4191635383e-14
9.70000,1.2419679765e-14
9.80000,1.0963150517e-14
9.90000,9.8031940500e-15
10.00000,8.9139129148e-15
10.10000,8.2641224023e-15
10.20000,7.8194011735e-15
10.30000,7.5442574676e-15
10.40000,7.4042311135e-15
10.50000,7.3677661821e-15
10.60000,7.4077177601e-15
10.70000,7.5023958054e-15
10.80000,7.6360952147e-15
10.90000,7.7991094596e-15
11.00000,7.9872707758e-15
11.10000,8.2010987244e-15
11.20000,8.4446676639e-15
11.30000,8.7243200981e-15
11.40000,9.0473561865e-15
11.50000,9.4208204218e-15
11.60000,9.8504863473e-15
11.70000,1.0340111923e-14
11.80000,1.0891005123e-14
11.90000,1.1501905145e-14
12.00000,1.2169152789e-14
12.10000,1.2887096992e-14
