# Differential cross section for O-CO elastic scattering
# Collision energy: 0.007400 eV
# Column 1: Angle (degrees)
# Column 2: Cross section (cm²)
angle_degrees,cross_section_cm2
0.10000,1.8567132761e-11
0.20000,1.8224390087e-11
0.30000,1.7666303898e-11
0.40000,1.6911891308e-11
0.50000,1.5986402928e-11
0.60000,1.4920056050e-11
0.70000,1.3746549110e-11
0.80000,1.2501449852e-11
0.90000,1.1220555192e-11
1.00000,9.9383192412e-12
1.10000,8.6864377956e-12
1.20000,7.4926635453e-12
1.30000,6.3799076363e-12
1.40000,5.3656615998e-12
1.50000,4.4617508114e-12
1.60000,3.6744083460e-12
1.70000,3.0046379959e-12
1.80000,2.4488187119e-12
1.90000,1.9994908216e-12
2.00000,1.6462576644e-12
2.10000,1.3767348845e-12
2.20000,1.1774832303e-12
2.30000,1.0348686265e-12
2.40000,9.3580452489e-13
2.50000,8.6834491964e-13
2.60000,8.2211067871e-13
2.70000,7.8854578688e-13
2.80000,7.6101264137e-13
2.90000,7.3474584696e-13
3.00000,7.0669144823e-13
3.10000,6.7526294269e-13
3.20000,6.4004675881e-13
3.30000,6.0148844052e-13
3.40000,5.6058704146e-13
3.50000,5.1861982669e-13
3.60000,4.7691300179e-13
3.70000,4.3666752786e-13
3.80000,3.9884275930e-13
3.90000,3.6409516361e-13
4.00000,3.3276510430e-13
4.10000,3.0490178435e-13
4.20000,2.8031499006e-13
4.30000,2.5864213985e-13
4.40000,2.3942011355e-13
4.50000,2.2215312589e-13
4.60000,2.0637019442e-13
4.70000,1.9166821856e-13
4.80000,1.7773905313e-13
4.90000,1.6438100408e-13
5.00000,1.5149674725e-13
5.10000,1.3908069975e-13
5.20000,1.2719935625e-13
5.30000,1.1596809706e-13
5.40000,1.0552758254e-13
5.50000,9.6022193498e-14
5.60000,8.7582191312e-14
5.70000,8.0310474274e-14
5.80000,7.4274097024e-14
5.90000,6.9500164647e-14
6.00000,6.5975347686e-14
6.10000,6.3648092215e-14
6.20000,6.2432597875e-14
6.30000,6.2213765515e-14
6.40000,6.2852524166e-14
6.50000,6.4191182518e-14
6.60000,6.6058667101e-14
6.70000,6.8275673449e-14
6.80000,7.0659847836e-14
6.90000,7.3031130879e-14
7.00000,7.5217339206e-14
7.10000,7.7059956986e-14
7.20000,7.8419980914e-14
7.30000,7.9183537745e-14
7.40000,7.9266897665e-14
7.50000,7.8620458560e-14
7.60000,7.7231286513e-14
7.70000,7.5123868144e-14
7.80000,7.2358853500e-14
7.90000,6.9029729539e-14
8.00000,6.5257544354e-14
8.10000,6.1183979266e-14
8.20000,5.6963219001e-14
8.30000,5.2753181469e-14
8.40000,4.8706726017e-14
8.50000,4.4963456648e-14
8.60000,4.1642675943e-14
8.70000,3.8837934137e-14
8.80000,3.6613469112e-14
8.90000,3.5002663737e-14
9.00000,3.4008475295e-14
9.10000,3.3605635145e-14
9.20000,3.3744290429e-14
9.30000,3.4354674377e-14
9.40000,3.5352353330e-14
9.50000,3.6643607442e-14
9.60000,3.8130553021e-14
9.70000,3.9715698651e-14
9.80000,4.1305732022e-14
9.90000,4.2814446273e-14
10.00000,4.4164819837e-14
10.10000,4.5290350651e-14
10.20000,4.6135805238e-14
10.30000,4.6657570902e-14
10.40000,4.6823794508e-14
10.50000,4.6614457651e-14
10.60000,4.6021482687e-14
10.70000,4.5048896616e-14
10.80000,4.3713011026e-14
10.90000,4.2042516802e-14
11.00000,4.0078351097e-14
11.10000,3.7873177534e-14
11.20000,3.5490331758e-14
11.30000,3.3002122595e-14
11.40000,3.0487439786e-14
11.50000,2.8028695445e-14
11.60000,2.5708208519e-14
11.70000,2.3604219440e-14
11.80000,2.1786786021e-14
11.90000,2.0313853009e-14
12.00000,1.9227800952e-14
12.10000,1.8552762449e-14
12.20000,1.8292946494e-14
12.30000,1.8432138689e-14
12.40000,1.8934453796e-14
12.50000,1.9746316479e-14
12.60000,2.0799546217e-14
12.70000,2.2015333193e-14
12.80000,2.3308821965e-14
12.90000,2.4593975400e-14
13.00000,2.5788376369e-14
13.10000,2.6817639523e-14
13.20000,2.7619147698e-14
13.30000,2.8144891989e-14
13.40000,2.8363274247e-14
13.50000,2.8259817474e-14
13.60000,2.7836814972e-14
13.70000,2.7112025432e-14
13.80000,2.6116582165e-14
13.90000,2.4892326155e-14
14.00000,2.3488792612e-14
14.10000,2.1960079465e-14
14.20000,2.0361806312e-14
14.30000,1.8748337660e-14
14.40000,1.7170400031e-14
14.50000,1.5673174061e-14
14.60000,1.4294895482e-14
14.70000,1.3065957125e-14
14.80000,1.2008471288e-14
14.90000,1.1136229622e-14
15.00000,1.0454986680e-14
15.10000,9.9629922682e-15
15.20000,9.6517048592e-15
15.30000,9.5066307613e-15
15.40000,9.5082484569e-15
15.50000,9.6329916974e-15
15.60000,9.8542761499e-15
15.70000,1.0143561024e-14
15.80000,1.0471438450e-14
15.90000,1.0808739654e-14
16.00000,1.1127639233e-14
16.10000,1.1402728795e-14
16.20000,1.1612020922e-14
16.30000,1.1737836074e-14
16.40000,1.1767520477e-14
16.50000,1.1693943850e-14
16.60000,1.1515732575e-14
16.70000,1.1237206780e-14
16.80000,1.0868007862e-14
16.90000,1.0422424669e-14
17.00000,9.9184499786e-15
17.10000,9.3766214441e-15
17.20000,8.8187206263e-15
17.30000,8.2664177575e-15
17.40000,7.7399568604e-15
17.50000,7.2569747355e-15
17.60000,6.8315379436e-15
17.70000,6.4734648899e-15
17.80000,6.1879769095e-15
17.90000,5.9756949780e-15
18.00000,5.8329698547e-15
18.10000,5.7525058598e-15
18.20000,5.7242147038e-15
18.30000,5.7362180889e-15
18.40000,5.7759078310e-15
18.50000,5.8309708567e-15
18.60000,5.8902936328e-15
18.70000,5.9446754861e-15
18.80000,5.9873012789e-15
18.90000,6.0139487776e-15
19.00000,6.0229322581e-15
19.10000,6.0148087931e-15
19.20000,5.9918948576e-15
19.30000,5.9576563918e-15
19.40000,5.9160439824e-15
19.50000,5.8708457951e-15
19.60000,5.8251245821e-15
19.70000,5.7807924908e-15
19.80000,5.7383601151e-15
19.90000,5.6968762713e-15
20.00000,5.6540545453e-15
20.10000,5.6065638508e-15
20.20000,5.5504448988e-15
20.30000,5.4816039469e-15
20.40000,5.3963302367e-15
20.50000,5.2917842443e-15
20.60000,5.1664097777e-15
20.70000,5.0202330374e-15
20.80000,4.8550246430e-15
20.90000,4.6743147600e-15
21.00000,4.4832652722e-15
21.10000,4.2884150742e-15
21.20000,4.0973239319e-15
21.30000,3.9181463450e-15
21.40000,3.7591692309e-15
21.50000,3.6283462757e-15
21.60000,3.5328580409e-15
21.70000,3.4787212063e-15
21.80000,3.4704636314e-15
21.90000,3.5108751625e-15
22.00000,3.6008381086e-15
22.10000,3.7392366478e-15
22.20000,3.9229414053e-15
22.30000,4.1468640740e-15
22.40000,4.4040769821e-15
22.50000,4.6859934721e-15
22.60000,4.9826062687e-15
22.70000,5.2827820525e-15
22.80000,5.5746106918e-15
22.90000,5.8458066120e-15
23.00000,6.0841574310e-15
23.10000,6.2780113138e-15
23.20000,6.4167898094e-15
23.30000,6.4915077313e-15
23.40000,6.4952765899e-15
23.50000,6.4237639081e-15
23.60000,6.2755781524e-15
23.70000,6.0525485909e-15
23.80000,5.7598715690e-15
23.90000,5.4060996280e-15
24.00000,5.0029574869e-15
24.10000,4.5649787677e-15
24.20000,4.1089688141e-15
24.30000,3.6533111876e-15
24.40000,3.2171474154e-15
24.50000,2.8194702995e-15
24.60000,2.4781795767e-15
24.70000,2.2091541212e-15
24.80000,2.0253966080e-15
24.90000,1.9363042852e-15
25.00000,1.9471132693e-15
25.10000,2.0585539367e-15
25.20000,2.2667422007e-15
25.30000,2.5633166781e-15
25.40000,2.9358160622e-15
25.50000,3.3682756265e-15
25.60000,3.8420078594e-15
25.70000,4.3365208188e-15
25.80000,4.8305197293e-15
25.90000,5.3029331758e-15
26.00000,5.7339051880e-15
26.10000,6.1056984408e-15
26.20000,6.4034612768e-15
26.30000,6.6158215730e-15
26.40000,6.7352827189e-15
26.50000,6.7584101394e-15
26.60000,6.6858098480e-15
26.70000,6.5219125284e-15
26.80000,6.2745868226e-15
26.90000,5.9546132906e-15
27.00000,5.5750555982e-15
27.10000,5.1505678047e-15
27.20000,4.6966763639e-15
27.30000,4.2290729516e-15
27.40000,3.7629500048e-15
27.50000,3.3124054455e-15
