# Differential cross section for O-CO elastic scattering
# Collision energy: 0.000500 eV
# Column 1: Angle (degrees)
# Column 2: Cross section (cm²)
angle_degrees,cross_section_cm2
0.10000,1.6941342137e-12
0.20000,1.6913460326e-12
0.30000,1.6867088620e-12
0.40000,1.6802373488e-12
0.50000,1.6719518996e-12
0.60000,1.6618785819e-12
0.70000,1.6500489986e-12
0.80000,1.6365001360e-12
0.90000,1.6212741867e-12
1.00000,1.6044183474e-12
1.10000,1.5859845953e-12
1.20000,1.5660294408e-12
1.30000,1.5446136614e-12
1.40000,1.5218020173e-12
1.50000,1.4976629485e-12
1.60000,1.4722682591e-12
1.70000,1.4456927869e-12
1.80000,1.4180140626e-12
1.90000,1.3893119596e-12
2.00000,1.3596683369e-12
2.10000,1.3291666772e-12
2.20000,1.2978917215e-12
2.30000,1.2659291033e-12
2.40000,1.2333649842e-12
2.50000,1.2002856922e-12
2.60000,1.1667773655e-12
2.70000,1.1329256033e-12
2.80000,1.0988151261e-12
2.90000,1.0645294456e-12
3.00000,1.0301505480e-12
3.10000,9.9575859089e-13
3.20000,9.6143161499e-13
3.30000,9.2724527341e-13
3.40000,8.9327257814e-13
3.50000,8.5958366569e-13
3.60000,8.2624558251e-13
3.70000,7.9332209095e-13
3.80000,7.6087349654e-13
3.90000,7.2895649681e-13
4.00000,6.9762405223e-13
4.10000,6.6692527934e-13
4.20000,6.3690536601e-13
4.30000,6.0760550900e-13
4.40000,5.7906287321e-13
4.50000,5.5131057260e-13
4.60000,5.2437767205e-13
4.70000,4.9828920961e-13
4.80000,4.7306623838e-13
4.90000,4.4872588727e-13
5.00000,4.2528143962e-13
5.10000,4.0274242860e-13
5.20000,3.8111474844e-13
5.30000,3.6040078029e-13
5.40000,3.4059953130e-13
5.50000,3.2170678594e-13
5.60000,3.0371526802e-13
5.70000,2.8661481217e-13
5.80000,2.7039254343e-13
5.90000,2.5503306355e-13
6.00000,2.4051864274e-13
6.10000,2.2682941534e-13
6.20000,2.1394357833e-13
6.30000,2.0183759122e-13
6.40000,1.9048637609e-13
6.50000,1.7986351667e-13
6.60000,1.6994145518e-13
6.70000,1.6069168598e-13
6.80000,1.5208494485e-13
6.90000,1.4409139304e-13
7.00000,1.3668079523e-13
7.10000,1.2982269050e-13
7.20000,1.2348655562e-13
7.30000,1.1764196014e-13
7.40000,1.1225871243e-13
7.50000,1.0730699660e-13
7.60000,1.0275749945e-13
7.70000,9.8581527585e-14
7.80000,9.4751114153e-14
7.90000,9.1239115180e-14
8.00000,8.8019295456e-14
8.10000,8.5066403938e-14
8.20000,8.2356238760e-14
8.30000,7.9865701999e-14
8.40000,7.7572844411e-14
8.50000,7.5456900402e-14
8.60000,7.3498313553e-14
8.70000,7.1678753084e-14
8.80000,6.9981121665e-14
8.90000,6.8389555027e-14
9.00000,6.6889413881e-14
9.10000,6.5467268629e-14
9.20000,6.4110877450e-14
9.30000,6.2809158280e-14
9.40000,6.1552155282e-14
9.50000,6.0331000380e-14
9.60000,5.9137870426e-14
9.70000,5.7965940596e-14
9.80000,5.6809334583e-14
9.90000,5.5663072142e-14
10.00000,5.4523014552e-14
10.10000,5.3385808514e-14
10.20000,5.2248829004e-14
10.30000,5.1110121568e-14
10.40000,4.9968344522e-14
10.50000,4.8822711484e-14
10.60000,4.7672934661e-14
10.70000,4.6519169245e-14
10.80000,4.5361959267e-14
10.90000,4.4202185224e-14
11.00000,4.3041013741e-14
11.10000,4.1879849516e-14
11.20000,4.0720289754e-14
11.30000,3.9564081260e-14
11.40000,3.8413080335e-14
11.50000,3.7269215583e-14
11.60000,3.6134453705e-14
11.70000,3.5010768323e-14
11.80000,3.3900111874e-14
11.90000,3.2804390533e-14
12.00000,3.1725442170e-14
12.10000,3.0665017260e-14
12.20000,2.9624762678e-14
12.30000,2.8606208292e-14
12.40000,2.7610756230e-14
12.50000,2.6639672693e-14
12.60000,2.5694082188e-14
12.70000,2.4774964010e-14
12.80000,2.3883150831e-14
12.90000,2.3019329204e-14
13.00000,2.2184041840e-14
13.10000,2.1377691447e-14
13.20000,2.0600545984e-14
13.30000,1.9852745128e-14
13.40000,1.9134307790e-14
13.50000,1.8445140500e-14
13.60000,1.7785046496e-14
13.70000,1.7153735349e-14
13.80000,1.6550832971e-14
13.90000,1.5975891845e-14
14.00000,1.5428401357e-14
14.10000,1.4907798073e-14
14.20000,1.4413475856e-14
14.30000,1.3944795705e-14
14.40000,1.3501095214e-14
14.50000,1.3081697560e-14
14.60000,1.2685919946e-14
14.70000,1.2313081421e-14
14.80000,1.1962510033e-14
14.90000,1.1633549250e-14
15.00000,1.1325563637e-14
15.10000,1.1037943740e-14
15.20000,1.0770110180e-14
15.30000,1.0521516939e-14
15.40000,1.0291653852e-14
15.50000,1.0080048304e-14
15.60000,9.8862661649e-15
15.70000,9.7099119815e-15
15.80000,9.5506284611e-15
15.90000,9.4080952893e-15
16.00000,9.2820273243e-15
16.10000,9.1721722191e-15
16.20000,9.0783075238e-15
16.30000,9.0002373251e-15
16.40000,8.9377884832e-15
16.50000,8.8908065251e-15
16.60000,8.8591512581e-15
16.70000,8.8426921665e-15
16.80000,8.8413036521e-15
16.90000,8.8548601830e-15
17.00000,8.8832314100e-15
17.10000,8.9262773098e-15
17.20000,8.9838434131e-15
17.30000,9.0557561707e-15
17.40000,9.1418185087e-15
17.50000,9.2418056231e-15
17.60000,9.3554610547e-15
17.70000,9.4824930876e-15
17.80000,9.6225715058e-15
17.90000,9.7753247407e-15
18.00000,9.9403374366e-15
18.10000,1.0117148457e-14
18.20000,1.0305249349e-14
18.30000,1.0504083284e-14
18.40000,1.0713044474e-14
18.50000,1.0931478083e-14
18.60000,1.1158680616e-14
18.70000,1.1393900793e-14
18.80000,1.1636340904e-14
18.90000,1.1885158613e-14
19.00000,1.2139469215e-14
19.10000,1.2398348321e-14
19.20000,1.2660834936e-14
19.30000,1.2925934925e-14
19.40000,1.3192624821e-14
19.50000,1.3459855949e-14
19.60000,1.3726558843e-14
19.70000,1.3991647901e-14
19.80000,1.4254026263e-14
19.90000,1.4512590858e-14
20.00000,1.4766237596e-14
20.10000,1.5013866651e-14
20.20000,1.5254387813e-14
20.30000,1.5486725852e-14
20.40000,1.5709825875e-14
20.50000,1.5922658623e-14
20.60000,1.6124225679e-14
20.70000,1.6313564550e-14
20.80000,1.6489753590e-14
20.90000,1.6651916727e-14
21.00000,1.6799227977e-14
21.10000,1.6930915697e-14
21.20000,1.7046266563e-14
21.30000,1.7144629259e-14
21.40000,1.7225417828e-14
21.50000,1.7288114694e-14
21.60000,1.7332273322e-14
21.70000,1.7357520516e-14
21.80000,1.7363558321e-14
21.90000,1.7350165555e-14
22.00000,1.7317198931e-14
22.10000,1.7264593790e-14
22.20000,1.7192364438e-14
22.30000,1.7100604078e-14
22.40000,1.6989484360e-14
22.50000,1.6859254548e-14
22.60000,1.6710240302e-14
22.70000,1.6542842107e-14
22.80000,1.6357533345e-14
22.90000,1.6154858031e-14
23.00000,1.5935428233e-14
23.10000,1.5699921185e-14
23.20000,1.5449076120e-14
23.30000,1.5183690839e-14
23.40000,1.4904618038e-14
23.50000,1.4612761418e-14
23.60000,1.4309071590e-14
23.70000,1.3994541818e-14
23.80000,1.3670203599e-14
23.90000,1.3337122122e-14
24.00000,1.2996391624e-14
24.10000,1.2649130659e-14
24.20000,1.2296477320e-14
24.30000,1.1939584417e-14
24.40000,1.1579614650e-14
