# Differential cross section for O-CO elastic scattering
# Collision energy: 0.057000 eV
# Column 1: Angle (degrees)
# Column 2: Cross section (cm²)
angle_degrees,cross_section_cm2
0.10000,6.7729211458e-12
0.20000,6.6429873422e-12
0.30000,6.4323025934e-12
0.40000,6.1493016145e-12
0.50000,5.8050765931e-12
0.60000,5.4127256974e-12
0.70000,4.9866018131e-12
0.80000,4.5415158034e-12
0.90000,4.0919502735e-12
1.00000,3.6513369027e-12
1.10000,3.2314432801e-12
1.20000,2.8419046218e-12
1.30000,2.4899228165e-12
1.40000,2.1801411815e-12
1.50000,1.9146894051e-12
1.60000,1.6933805965e-12
1.70000,1.5140321981e-12
1.80000,1.3728754524e-12
1.90000,1.2650145687e-12
2.00000,1.1848967407e-12
2.10000,1.1267574391e-12
2.20000,1.0850113599e-12
2.30000,1.0545672771e-12
2.40000,1.0310539262e-12
2.50000,1.0109530229e-12
2.60000,9.9164377124e-13
2.70000,9.7137005277e-13
2.80000,9.4914643653e-13
2.90000,9.2462198080e-13
3.00000,8.9792149329e-13
3.10000,8.6948269400e-13
3.20000,8.3990495105e-13
3.30000,8.0982141800e-13
3.40000,7.7980201970e-13
3.50000,7.5029032632e-13
3.60000,7.2157337052e-13
3.70000,6.9378024253e-13
3.80000,6.6690305773e-13
3.90000,6.4083271180e-13
4.00000,6.1540167541e-13
4.10000,5.9042678890e-13
4.20000,5.6574637851e-13
4.30000,5.4124777422e-13
4.40000,5.1688320568e-13
4.50000,4.9267385239e-13
4.60000,4.6870334125e-13
4.70000,4.4510309302e-13
4.80000,4.2203256026e-13
4.90000,3.9965757524e-13
5.00000,3.7812979257e-13
5.10000,3.5756965963e-13
5.20000,3.3805459255e-13
5.30000,3.1961319459e-13
5.40000,3.0222553604e-13
5.50000,2.8582881037e-13
5.60000,2.7032715155e-13
5.70000,2.5560407676e-13
5.80000,2.4153591108e-13
5.90000,2.2800463863e-13
6.00000,2.1490886989e-13
6.10000,2.0217196990e-13
6.20000,1.8974680446e-13
6.30000,1.7761697955e-13
6.40000,1.6579482923e-13
6.50000,1.5431671492e-13
6.60000,1.4323641143e-13
6.70000,1.3261746255e-13
6.80000,1.2252539298e-13
6.90000,1.1302057526e-13
7.00000,1.0415238943e-13
7.10000,9.5955104385e-14
7.20000,8.8445678617e-14
7.30000,8.1623452459e-14
7.40000,7.5471505566e-14
7.50000,6.9959302128e-14
7.60000,6.5046153643e-14
7.70000,6.0684999988e-14
7.80000,5.6826041696e-14
7.90000,5.3419840424e-14
8.00000,5.0419626154e-14
8.10000,4.7782690581e-14
8.20000,4.5470887089e-14
8.30000,4.3450380587e-14
8.40000,4.1690880291e-14
8.50000,4.0164635597e-14
8.60000,3.8845475831e-14
8.70000,3.7708131762e-14
8.80000,3.6727999113e-14
8.90000,3.5881405113e-14
9.00000,3.5146334447e-14
9.10000,3.4503476841e-14
9.20000,3.3937389308e-14
9.30000,3.3437531917e-14
9.40000,3.2998941874e-14
9.50000,3.2622355423e-14
9.60000,3.2313663923e-14
9.70000,3.2082687888e-14
9.80000,3.1941356286e-14
9.90000,3.1901472869e-14
10.00000,3.1972322737e-14
10.10000,3.2158410275e-14
10.20000,3.2457618282e-14
10.30000,3.2860037409e-14
10.40000,3.3347640084e-14
10.50000,3.3894874111e-14
10.60000,3.4470140923e-14
10.70000,3.5038016784e-14
10.80000,3.5561985526e-14
10.90000,3.6007390178e-14
11.00000,3.6344285156e-14
11.10000,3.6549883160e-14
11.20000,3.6610339086e-14
11.30000,3.6521690246e-14
11.40000,3.6289867846e-14
11.50000,3.5929796938e-14
11.60000,3.5463698687e-14
11.70000,3.4918788830e-14
11.80000,3.4324621352e-14
11.90000,3.3710351773e-14
12.00000,3.3102189062e-14
12.10000,3.2521271594e-14
12.20000,3.1982146524e-14
12.30000,3.1491961083e-14
12.40000,3.1050397439e-14
12.50000,3.0650308516e-14
12.60000,3.0278947966e-14
12.70000,2.9919639111e-14
12.80000,2.9553698424e-14
12.90000,2.9162420093e-14
13.00000,2.8728938247e-14
13.10000,2.8239809564e-14
13.20000,2.7686197115e-14
13.30000,2.7064581608e-14
13.40000,2.6376973813e-14
13.50000,2.5630647401e-14
13.60000,2.4837450992e-14
13.70000,2.4012789104e-14
13.80000,2.3174382178e-14
13.90000,2.2340925229e-14
14.00000,2.1530763205e-14
14.10000,2.0760689814e-14
14.20000,2.0044957200e-14
14.30000,1.9394558584e-14
14.40000,1.8816817300e-14
14.50000,1.8315286379e-14
14.60000,1.7889935364e-14
14.70000,1.7537577898e-14
14.80000,1.7252476631e-14
14.90000,1.7027052455e-14
15.00000,1.6852623535e-14
15.10000,1.6720105732e-14
15.20000,1.6620618761e-14
15.30000,1.6545959938e-14
15.40000,1.6488927372e-14
15.50000,1.6443494359e-14
15.60000,1.6404854151e-14
15.70000,1.6369367020e-14
15.80000,1.6334448341e-14
15.90000,1.6298436637e-14
16.00000,1.6260474612e-14
16.10000,1.6220425401e-14
16.20000,1.6178832495e-14
16.30000,1.6136917482e-14
16.40000,1.6096597196e-14
16.50000,1.6060493209e-14
16.60000,1.6031903318e-14
16.70000,1.6014707298e-14
16.80000,1.6013187522e-14
16.90000,1.6031757728e-14
17.00000,1.6074608423e-14
17.10000,1.6145292788e-14
17.20000,1.6246290065e-14
17.30000,1.6378592239e-14
17.40000,1.6541362776e-14
17.50000,1.6731712751e-14
17.60000,1.6944629974e-14
17.70000,1.7173082035e-14
17.80000,1.7408296222e-14
17.90000,1.7640200441e-14
18.00000,1.7857991850e-14
18.10000,1.8050786131e-14
18.20000,1.8208291783e-14
18.30000,1.8321451418e-14
18.40000,1.8382995892e-14
18.50000,1.8387866473e-14
18.60000,1.8333473888e-14
18.70000,1.8219779086e-14
18.80000,1.8049197067e-14
18.90000,1.7826340306e-14
19.00000,1.7557630537e-14
19.10000,1.7250816102e-14
19.20000,1.6914436102e-14
19.30000,1.6557272506e-14
19.40000,1.6187827666e-14
19.50000,1.5813858362e-14
19.60000,1.5441989679e-14
19.70000,1.5077423683e-14
19.80000,1.4723750058e-14
19.90000,1.4382859171e-14
20.00000,1.4054952725e-14
20.10000,1.3738643473e-14
20.20000,1.3431132948e-14
20.30000,1.3128454711e-14
20.40000,1.2825769683e-14
20.50000,1.2517699446e-14
20.60000,1.2198682727e-14
20.70000,1.1863339571e-14
20.80000,1.1506826984e-14
20.90000,1.1125169368e-14
21.00000,1.0715547110e-14
21.10000,1.0276527439e-14
21.20000,9.8082234725e-15
21.30000,9.3123702290e-15
21.40000,8.7923102944e-15
21.50000,8.2528866971e-15
21.60000,7.7002459715e-15
21.70000,7.1415600987e-15
21.80000,6.5846815141e-15
21.90000,6.0377502602e-15
22.00000,5.5087762229e-15
22.10000,5.0052218975e-15
22.20000,4.5336120282e-15
22.30000,4.0991956167e-15
22.40000,3.7056831717e-15
22.50000,3.3550777561e-15
22.60000,3.0476125897e-15
22.70000,2.7818009971e-15
22.80000,2.5545967842e-15
22.90000,2.3616551902e-15
23.00000,2.1976769872e-15
23.10000,2.0568116941e-15
23.20000,1.9330908413e-15
23.30000,1.8208592813e-15
23.40000,1.7151720852e-15
23.50000,1.6121267879e-15
23.60000,1.5091055967e-15
23.70000,1.4049093735e-15
23.80000,1.2997741555e-15
23.90000,1.1952709424e-15
24.00000,1.0940995096e-15
24.10000,9.9979612688e-16
24.20000,9.1638236360e-16
24.30000,8.4798686063e-16
24.40000,7.9847357582e-16
24.50000,7.7110837480e-16
24.60000,7.6829114628e-16
24.70000,7.9137339676e-16
24.80000,8.4057233806e-16
24.90000,9.1498282110e-16
25.00000,1.0126791476e-15
25.10000,1.1308908014e-15
25.20000,1.2662302857e-15
25.30000,1.4149480512e-15
25.40000,1.5731891436e-15
25.50000,1.7372285225e-15
25.60000,1.9036665410e-15
25.70000,2.0695721261e-15
25.80000,2.2325679339e-15
25.90000,2.3908583256e-15
26.00000,2.5432066736e-15
26.10000,2.6888726977e-15
26.20000,2.8275229289e-15
26.30000,2.9591279448e-15
26.40000,3.0838589055e-15
26.50000,3.2019935137e-15
26.60000,3.3138383402e-15
26.70000,3.4196710201e-15
26.80000,3.5197026350e-15
26.90000,3.6140580468e-15
27.00000,3.7027702635e-15
27.10000,3.7857841862e-15
27.20000,3.8629652337e-15
27.30000,3.9341091656e-15
27.40000,3.9989506837e-15
27.50000,4.0571697808e-15
27.60000,4.1083960934e-15
27.70000,4.1522124892e-15
27.80000,4.1881596811e-15
27.90000,4.2157437733e-15
28.00000,4.2344483558e-15
28.10000,4.2437521764e-15
28.20000,4.2431526393e-15
28.30000,4.2321945531e-15
28.40000,4.2105027628e-15
28.50000,4.1778166474e-15
28.60000,4.1340239869e-15
28.70000,4.0791914261e-15
28.80000,4.0135887010e-15
28.90000,3.9377039382e-15
29.00000,3.8522477014e-15
29.10000,3.7581440302e-15
29.20000,3.6565074957e-15
29.30000,3.5486062726e-15
29.40000,3.4358123517e-15
29.50000,3.3195412286e-15
29.60000,3.2011845999e-15
29.70000,3.0820406525e-15
29.80000,2.9632472956e-15
29.90000,2.8457240278e-15
30.00000,2.7301279387e-15
30.10000,2.6168285608e-15
30.20000,2.5059049255e-15
30.30000,2.3971663349e-15
30.40000,2.2901961977e-15
30.50000,2.1844160371e-15
30.60000,2.0791647090e-15
30.70000,1.9737862377e-15
30.80000,1.8677186905e-15
30.90000,1.7605763220e-15
31.00000,1.6522178467e-15
31.10000,1.5427950960e-15
31.20000,1.4327782865e-15
31.30000,1.3229564420e-15
31.40000,1.2144138600e-15
31.50000,1.1084856196e-15
31.60000,1.0066967303e-15
31.70000,9.1069046910e-16
31.80000,8.2215167347e-16
31.90000,7.4273031490e-16
32.00000,6.7396970925e-16
32.10000,6.1724245661e-16
32.20000,5.7369589082e-16
32.30000,5.4420769661e-16
32.40000,5.2935160260e-16
32.50000,5.2937277649e-16
32.60000,5.4417272598e-16
32.70000,5.7330403870e-16
32.80000,6.1597598651e-16
32.90000,6.7107264174e-16
33.00000,7.3718547027e-16
33.10000,8.1266218755e-16
33.20000,8.9567288170e-16
33.30000,9.8429302157e-16
33.40000,1.0766010950e-15
33.50000,1.1707864839e-15
33.60000,1.2652610752e-15
33.70000,1.3587663631e-15
33.80000,1.4504667262e-15
33.90000,1.5400194191e-15
34.00000,1.6276127340e-15
34.10000,1.7139657807e-15
34.20000,1.8002862639e-15
34.30000,1.8881862452e-15
34.40000,1.9795598042e-15
34.50000,2.0764303354e-15
34.60000,2.1807785166e-15
34.70000,2.2943643767e-15
34.80000,2.4185580995e-15
34.90000,2.5541940474e-15
35.00000,2.7014609776e-15
35.10000,2.8598386561e-15
35.20000,3.0280873199e-15
35.30000,3.2042920398e-15
35.40000,3.3859594025e-15
35.50000,3.5701594989e-15
35.60000,3.7537023649e-15
35.70000,3.9333351220e-15
35.80000,4.1059443502e-15
35.90000,4.2687478267e-15
36.00000,4.4194607111e-15
36.10000,4.5564234379e-15
36.20000,4.6786818018e-15
36.30000,4.7860136985e-15
36.40000,4.8789013720e-15
36.50000,4.9584524479e-15
36.60000,5.0262771268e-15
36.70000,5.0843323368e-15
36.80000,5.1347461050e-15
36.90000,5.1796367281e-15
37.00000,5.2209413643e-15
37.10000,5.2602674829e-15
37.20000,5.2987782731e-15
37.30000,5.3371198787e-15
37.40000,5.3753944807e-15
37.50000,5.4131791547e-15
37.60000,5.4495864794e-15
37.70000,5.4833594199e-15
37.80000,5.5129903825e-15
37.90000,5.5368527649e-15
38.00000,5.5533329218e-15
38.10000,5.5609512411e-15
38.20000,5.5584628411e-15
38.30000,5.5449310359e-15
38.40000,5.5197698455e-15
38.50000,5.4827551132e-15
38.60000,5.4340068524e-15
38.70000,5.3739479845e-15
38.80000,5.3032463917e-15
38.90000,5.2227480619e-15
39.00000,5.1334090210e-15
39.10000,5.0362328222e-15
39.20000,4.9322187729e-15
39.30000,4.8223240786e-15
39.40000,4.7074409539e-15
39.50000,4.5883877657e-15
39.60000,4.4659116670e-15
39.70000,4.3406991135e-15
39.80000,4.2133902119e-15
39.90000,4.0845930119e-15
40.00000,3.9548945401e-15
40.10000,3.8248664252e-15
40.20000,3.6950642044e-15
40.30000,3.5660206272e-15
40.40000,3.4382343269e-15
40.50000,3.3121559762e-15
40.60000,3.1881744089e-15
40.70000,3.0666051729e-15
40.80000,2.9476836022e-15
40.90000,2.8315638648e-15
41.00000,2.7183246533e-15
41.10000,2.6079813570e-15
41.20000,2.5005038018e-15
41.30000,2.3958380424e-15
41.40000,2.2939303004e-15
41.50000,2.1947509803e-15
41.60000,2.0983167529e-15
41.70000,2.0047089368e-15
41.80000,1.9140867931e-15
41.90000,1.8266948079e-15
42.00000,1.7428635363e-15
42.10000,1.6630040652e-15
42.20000,1.5875965821e-15
42.30000,1.5171739084e-15
42.40000,1.4523011237e-15
42.50000,1.3935525945e-15
42.60000,1.3414878003e-15
42.70000,1.2966273378e-15
42.80000,1.2594303777e-15
42.90000,1.2302746656e-15
43.00000,1.2094399101e-15
43.10000,1.1970951117e-15
43.20000,1.1932900934e-15
43.30000,1.1979512172e-15
43.40000,1.2108810508e-15
43.50000,1.2317616155e-15
43.60000,1.2601607997e-15
43.70000,1.2955415784e-15
43.80000,1.3372738041e-15
43.90000,1.3846485025e-15
44.00000,1.4368947558e-15
44.10000,1.4931993494e-15
44.20000,1.5527293244e-15
44.30000,1.6146574069e-15
44.40000,1.6781899430e-15
44.50000,1.7425965028e-15
44.60000,1.8072397594e-15
44.70000,1.8716036952e-15
44.80000,1.9353177362e-15
44.90000,1.9981741584e-15
45.00000,2.0601361530e-15
45.10000,2.1213343209e-15
45.20000,2.1820501194e-15
45.30000,2.2426858549e-15
45.40000,2.3037221263e-15
45.50000,2.3656650230e-15
45.60000,2.4289867152e-15
45.70000,2.4940641629e-15
45.80000,2.5611213473e-15
45.90000,2.6301805807e-15
46.00000,2.7010280143e-15
46.10000,2.7731974309e-15
46.20000,2.8459748869e-15
46.30000,2.9184248706e-15
46.40000,2.9894365986e-15
46.50000,3.0577870806e-15
46.60000,3.1222158789e-15
46.70000,3.1815052652e-15
46.80000,3.2345588702e-15
46.90000,3.2804720082e-15
47.00000,3.3185876240e-15
47.10000,3.3485331694e-15
47.20000,3.3702355264e-15
47.30000,3.3839131426e-15
47.40000,3.3900466293e-15
47.50000,3.3893309674e-15
47.60000,3.3826139928e-15
47.70000,3.3708268533e-15
47.80000,3.3549125663e-15
47.90000,3.3357586559e-15
48.00000,3.3141391533e-15
48.10000,3.2906701188e-15
48.20000,3.2657814160e-15
48.30000,3.2397059012e-15
48.40000,3.2124856387e-15
48.50000,3.1839933530e-15
48.60000,3.1539661959e-15
48.70000,3.1220481153e-15
48.80000,3.0878366995e-15
48.90000,3.0509303384e-15
49.00000,3.0109718580e-15
49.10000,2.9676853879e-15
49.20000,2.9209040470e-15
49.30000,2.8705869786e-15
49.40000,2.8168252685e-15
49.50000,2.7598372323e-15
49.60000,2.6999544046e-15
49.70000,2.6376002305e-15
49.80000,2.5732639084e-15
49.90000,2.5074720389e-15
50.00000,2.4407606856e-15
50.10000,2.3736501764e-15
50.20000,2.3066244930e-15
50.30000,2.2401164765e-15
50.40000,2.1744993781e-15
50.50000,2.1100845855e-15
50.60000,2.0471247240e-15
50.70000,1.9858208424e-15
50.80000,1.9263320855e-15
50.90000,1.8687861604e-15
51.00000,1.8132890251e-15
51.10000,1.7599325329e-15
51.20000,1.7087992161e-15
51.30000,1.6599639135e-15
51.40000,1.6134924708e-15
51.50000,1.5694381969e-15
51.60000,1.5278370827e-15
51.70000,1.4887029433e-15
51.80000,1.4520236129e-15
51.90000,1.4177591212e-15
52.00000,1.3858424357e-15
52.10000,1.3561829418e-15
52.20000,1.3286723905e-15
52.30000,1.3031926635e-15
52.40000,1.2796244212e-15
52.50000,1.2578555618e-15
52.60000,1.2377884385e-15
52.70000,1.2193449482e-15
52.80000,1.2024688888e-15
52.90000,1.1871253405e-15
53.00000,1.1732971976e-15
53.10000,1.1609793211e-15
53.20000,1.1501710380e-15
53.30000,1.1408678725e-15
53.40000,1.1330534255e-15
53.50000,1.1266922468e-15
53.60000,1.1217243813e-15
53.70000,1.1180620531e-15
53.80000,1.1155887181e-15
53.90000,1.1141604899e-15
54.00000,1.1136097649e-15
54.10000,1.1137507383e-15
54.20000,1.1143864243e-15
54.30000,1.1153167571e-15
54.40000,1.1163473405e-15
54.50000,1.1172984121e-15
54.60000,1.1180135846e-15
54.70000,1.1183679079e-15
54.80000,1.1182747682e-15
54.90000,1.1176911147e-15
55.00000,1.1166204964e-15
55.10000,1.1151134225e-15
55.20000,1.1132646529e-15
55.30000,1.1112071816e-15
55.40000,1.1091029053e-15
55.50000,1.1071302561e-15
55.60000,1.1054693941e-15
55.70000,1.1042858702e-15
55.80000,1.1037139408e-15
55.90000,1.1038409085e-15
