# Differential cross section for O-CO elastic scattering
# Collision energy: 0.026000 eV
# Column 1: Angle (degrees)
# Column 2: Cross section (cm²)
angle_degrees,cross_section_cm2
0.10000,4.7664105146e-11
0.20000,4.5032359752e-11
0.30000,4.0945832679e-11
0.40000,3.5806508049e-11
0.50000,3.0091191746e-11
0.60000,2.4284983567e-11
0.70000,1.8818780456e-11
0.80000,1.4021033428e-11
0.90000,1.0090540701e-11
1.00000,7.0925216612e-12
1.10000,4.9756363671e-12
1.20000,3.6039797821e-12
1.30000,2.7960762183e-12
1.40000,2.3627776272e-12
1.50000,2.1375234988e-12
1.60000,1.9950849350e-12
1.70000,1.8579426988e-12
1.80000,1.6921104056e-12
1.90000,1.4959750874e-12
2.00000,1.2863505217e-12
2.10000,1.0854969572e-12
2.20000,9.1167014715e-13
2.30000,7.7426202811e-13
2.40000,6.7321443802e-13
2.50000,6.0143776454e-13
2.60000,5.4858427330e-13
2.70000,5.0467047787e-13
2.80000,4.6254426722e-13
2.90000,4.1882458519e-13
3.00000,3.7349648130e-13
3.10000,3.2868669850e-13
3.20000,2.8723322701e-13
3.30000,2.5153939809e-13
3.40000,2.2296401013e-13
3.50000,2.0174976265e-13
3.60000,1.8731515093e-13
3.70000,1.7866841657e-13
3.80000,1.7473904613e-13
3.90000,1.7452293854e-13
4.00000,1.7704992113e-13
4.10000,1.8126284898e-13
4.20000,1.8592308593e-13
4.30000,1.8962910205e-13
4.40000,1.9097356562e-13
4.50000,1.8879832008e-13
4.60000,1.8246164022e-13
4.70000,1.7202249947e-13
4.80000,1.5827228528e-13
4.90000,1.4259339789e-13
5.00000,1.2667803413e-13
5.10000,1.1218128586e-13
5.20000,1.0039870147e-13
5.30000,9.2046901195e-14
5.40000,8.7192626272e-14
5.50000,8.5332486711e-14
5.60000,8.5586037916e-14
5.70000,8.6939590257e-14
5.80000,8.8472943599e-14
5.90000,8.9515325966e-14
6.00000,8.9704060167e-14
6.10000,8.8950631112e-14
6.20000,8.7344462985e-14
6.30000,8.5037972090e-14
6.40000,8.2154773040e-14
6.50000,7.8748402998e-14
6.60000,7.4817393769e-14
6.70000,7.0361434791e-14
6.80000,6.5449479593e-14
6.90000,6.0267944097e-14
7.00000,5.5125775847e-14
7.10000,5.0409610354e-14
7.20000,4.6500585020e-14
7.30000,4.3678412884e-14
7.40000,4.2043477168e-14
7.50000,4.1482540213e-14
7.60000,4.1690154128e-14
7.70000,4.2240648178e-14
7.80000,4.2690301981e-14
7.90000,4.2680780275e-14
8.00000,4.2015513532e-14
8.10000,4.0689835819e-14
8.20000,3.8870051575e-14
8.30000,3.6831464098e-14
8.40000,3.4876187692e-14
8.50000,3.3255312713e-14
8.60000,3.2116150481e-14
8.70000,3.1485703288e-14
8.80000,3.1289641014e-14
8.90000,3.1395752634e-14
9.00000,3.1665050481e-14
9.10000,3.1993708305e-14
9.20000,3.2334162487e-14
9.30000,3.2691837651e-14
9.40000,3.3102231837e-14
9.50000,3.3598939498e-14
9.60000,3.4185055118e-14
9.70000,3.4818118745e-14
9.80000,3.5413447536e-14
9.90000,3.5864261094e-14
10.00000,3.6071523098e-14
10.10000,3.5973488516e-14
10.20000,3.5565278469e-14
10.30000,3.4902106546e-14
10.40000,3.4084912468e-14
10.50000,3.3232524956e-14
10.60000,3.2448496967e-14
10.70000,3.1792307928e-14
10.80000,3.1263326161e-14
10.90000,3.0802205167e-14
11.00000,3.0309357079e-14
11.10000,2.9675261687e-14
11.20000,2.8814022536e-14
11.30000,2.7690709491e-14
11.40000,2.6334848521e-14
11.50000,2.4836377161e-14
11.60000,2.3325311251e-14
11.70000,2.1940835101e-14
11.80000,2.0798263479e-14
11.90000,1.9962596201e-14
12.00000,1.9435206273e-14
12.10000,1.9156306469e-14
12.20000,1.9021442247e-14
12.30000,1.8906667704e-14
12.40000,1.8695268485e-14
12.50000,1.8299288497e-14
12.60000,1.7671391262e-14
12.70000,1.6805882794e-14
12.80000,1.5730936570e-14
12.90000,1.4496210656e-14
13.00000,1.3160577858e-14
13.10000,1.1783618682e-14
13.20000,1.0422388805e-14
13.30000,9.1326024656e-15
13.40000,7.9716062878e-15
13.50000,6.9999168169e-15
13.60000,6.2787867068e-15
13.70000,5.8629346606e-15
13.80000,5.7896038943e-15
13.90000,6.0668012723e-15
14.00000,6.6643582928e-15
14.10000,7.5110978862e-15
14.20000,8.5000015287e-15
14.30000,9.5012661041e-15
14.40000,1.0381096535e-14
14.50000,1.1022562137e-14
14.60000,1.1344247676e-14
14.70000,1.1312887232e-14
14.80000,1.0947532695e-14
14.90000,1.0314706684e-14
15.00000,9.5159324363e-15
15.10000,8.6705439527e-15
15.20000,7.8974134434e-15
15.30000,7.2990589736e-15
15.40000,6.9506217383e-15
15.50000,6.8947421644e-15
15.60000,7.1418445118e-15
15.70000,7.6741829757e-15
15.80000,8.4515056404e-15
15.90000,9.4164428234e-15
16.00000,1.0498575639e-14
16.10000,1.1617253733e-14
16.20000,1.2684192253e-14
16.30000,1.3607326287e-14
16.40000,1.4297151280e-14
16.50000,1.4675887899e-14
16.60000,1.4688566665e-14
16.70000,1.4313958664e-14
16.80000,1.3572611335e-14
16.90000,1.2529367749e-14
17.00000,1.1288696910e-14
17.10000,9.9827213203e-15
17.20000,8.7535767788e-15
17.30000,7.7331872749e-15
17.40000,7.0242728403e-15
17.50000,6.6862209145e-15
17.60000,6.7283935193e-15
17.70000,7.1118034947e-15
17.80000,7.7583093720e-15
17.90000,8.5650021711e-15
18.00000,9.4206299905e-15
18.10000,1.0220873650e-14
18.20000,1.0879976546e-14
18.30000,1.1337393816e-14
18.40000,1.1559415985e-14
18.50000,1.1536803821e-14
18.60000,1.1280101861e-14
18.70000,1.0814382256e-14
18.80000,1.0174767427e-14
18.90000,9.4033709731e-15
19.00000,8.5475259701e-15
19.10000,7.6585760215e-15
19.20000,6.7902562590e-15
19.30000,5.9958484838e-15
19.40000,5.3237952624e-15
19.50000,4.8121391442e-15
19.60000,4.4827967876e-15
19.70000,4.3370706384e-15
19.80000,4.3537966013e-15
19.90000,4.4910902579e-15
20.00000,4.6918789848e-15
20.10000,4.8924913642e-15
20.20000,5.0327700390e-15
20.30000,5.0657122054e-15
20.40000,4.9646672655e-15
20.50000,4.7266434660e-15
20.60000,4.3711634074e-15
20.70000,3.9351262457e-15
20.80000,3.4650102977e-15
20.90000,3.0082557708e-15
21.00000,2.6056858336e-15
21.10000,2.2863793554e-15
21.20000,2.0656535878e-15
21.30000,1.9459806001e-15
21.40000,1.9199829005e-15
21.50000,1.9743015034e-15
21.60000,2.0931631119e-15
21.70000,2.2608325460e-15
21.80000,2.4626726270e-15
21.90000,2.6850609333e-15
22.00000,2.9147693698e-15
22.10000,3.1385067545e-15
22.20000,3.3431556524e-15
22.30000,3.5168831377e-15
22.40000,3.6509010050e-15
22.50000,3.7413302467e-15
22.60000,3.7904891580e-15
22.70000,3.8070152414e-15
22.80000,3.8045211537e-15
22.90000,3.7988907442e-15
23.00000,3.8047278553e-15
23.10000,3.8317629271e-15
23.20000,3.8821150402e-15
23.30000,3.9491654242e-15
23.40000,4.0184486137e-15
23.50000,4.0704904700e-15
23.60000,4.0850358688e-15
23.70000,4.0457384704e-15
23.80000,3.9442316260e-15
23.90000,3.7826115453e-15
24.00000,3.5737213554e-15
24.10000,3.3391413006e-15
24.20000,3.1053343147e-15
24.30000,2.8988256226e-15
24.40000,2.7414976636e-15
24.50000,2.6470076198e-15
24.60000,2.6190115869e-15
24.70000,2.6514035242e-15
24.80000,2.7302850663e-15
24.90000,2.8370092212e-15
25.00000,2.9514804273e-15
25.10000,3.0549709555e-15
25.20000,3.1319825803e-15
25.30000,3.1710425913e-15
25.40000,3.1646552601e-15
25.50000,3.1088339755e-15
25.60000,3.0026648764e-15
25.70000,2.8482108235e-15
25.80000,2.6508190041e-15
25.90000,2.4196390872e-15
26.00000,2.1679816759e-15
26.10000,1.9131082149e-15
26.20000,1.6751561632e-15
26.30000,1.4751324970e-15
26.40000,1.3321858975e-15
26.50000,1.2606125897e-15
26.60000,1.2671929483e-15
26.70000,1.3494547160e-15
26.80000,1.4953107409e-15
26.90000,1.6842578562e-15
27.00000,1.8900091689e-15
27.10000,2.0841368449e-15
27.20000,2.2400938384e-15
27.30000,2.3369081671e-15
27.40000,2.3619186804e-15
27.50000,2.3121282908e-15
27.60000,2.1940397878e-15
27.70000,2.0221414747e-15
27.80000,1.8164532549e-15
27.90000,1.5996727361e-15
28.00000,1.3944510150e-15
28.10000,1.2211929989e-15
28.20000,1.0965658819e-15
28.30000,1.0326802645e-15
28.40000,1.0367488646e-15
28.50000,1.1109729622e-15
28.60000,1.2524650332e-15
28.70000,1.4531565938e-15
28.80000,1.6998036514e-15
28.90000,1.9743207662e-15
29.00000,2.2546963137e-15
29.10000,2.5166475177e-15
29.20000,2.7359863285e-15
29.30000,2.8914423046e-15
29.40000,2.9674981595e-15
29.50000,2.9567018416e-15
29.60000,2.8609619715e-15
