# Differential cross section for O-CO elastic scattering
# Collision energy: 0.005200 eV
# Column 1: Angle (degrees)
# Column 2: Cross section (cm²)
angle_degrees,cross_section_cm2
0.10000,1.4642408678e-11
0.20000,1.4445147889e-11
0.30000,1.4121869805e-11
0.40000,1.3680593229e-11
0.50000,1.3132122942e-11
0.60000,1.2489652159e-11
0.70000,1.1768284187e-11
0.80000,1.0984495349e-11
0.90000,1.0155563548e-11
1.00000,9.2989878068e-12
1.10000,8.4319238277e-12
1.20000,7.5706589466e-12
1.30000,6.7301471244e-12
1.40000,5.9236208664e-12
1.50000,5.1622925215e-12
1.60000,4.4551525134e-12
1.70000,3.8088670199e-12
1.80000,3.2277727023e-12
1.90000,2.7139615932e-12
2.00000,2.2674453746e-12
2.10000,1.8863852327e-12
2.20000,1.5673713551e-12
2.30000,1.3057350159e-12
2.40000,1.0958760673e-12
2.50000,9.3158944810e-13
2.60000,8.0637593226e-13
2.70000,7.1372459951e-13
2.80000,6.4735724527e-13
2.90000,6.0142794860e-13
3.00000,5.7067409247e-13
3.10000,5.5051808945e-13
3.20000,5.3712174576e-13
3.30000,5.2739746582e-13
3.40000,5.1898226553e-13
3.50000,5.1018177224e-13
3.60000,4.9989203190e-13
3.70000,4.8750704431e-13
3.80000,4.7281956436e-13
3.90000,4.5592192226e-13
4.00000,4.3711253095e-13
4.10000,4.1681246946e-13
4.20000,3.9549516752e-13
4.30000,3.7363086773e-13
4.40000,3.5164629527e-13
4.50000,3.2989888926e-13
4.60000,3.0866409315e-13
4.70000,2.8813358989e-13
4.80000,2.6842200608e-13
4.90000,2.4957948608e-13
5.00000,2.3160762168e-13
5.10000,2.1447647824e-13
5.20000,1.9814083605e-13
5.30000,1.8255421924e-13
5.40000,1.6767976574e-13
5.50000,1.5349746026e-13
5.60000,1.4000767248e-13
5.70000,1.2723129077e-13
5.80000,1.1520700150e-13
5.90000,1.0398643018e-13
6.00000,9.3627935676e-14
6.10000,8.4189841991e-14
6.20000,7.5723819167e-14
6.30000,6.8269002439e-14
6.40000,6.1847286980e-14
6.50000,5.6460071812e-14
6.60000,5.2086567264e-14
6.70000,4.8683638515e-14
6.80000,4.6187042420e-14
6.90000,4.4513831143e-14
7.00000,4.3565645483e-14
7.10000,4.3232601366e-14
7.20000,4.3397480414e-14
7.30000,4.3939963778e-14
7.40000,4.4740690701e-14
7.50000,4.5684972829e-14
7.60000,4.6666045862e-14
7.70000,4.7587786970e-14
7.80000,4.8366865851e-14
7.90000,4.8934327625e-14
8.00000,4.9236626464e-14
8.10000,4.9236140845e-14
8.20000,4.8911206363e-14
8.30000,4.8255702505e-14
8.40000,4.7278228119e-14
8.50000,4.6000898857e-14
8.60000,4.4457800326e-14
8.70000,4.2693134272e-14
8.80000,4.0759102092e-14
8.90000,3.8713579912e-14
9.00000,3.6617651367e-14
9.10000,3.4533076384e-14
9.20000,3.2519785027e-14
9.30000,3.0633492863e-14
9.40000,2.8923536835e-14
9.50000,2.7431027024e-14
9.60000,2.6187399445e-14
9.70000,2.5213438124e-14
9.80000,2.4518811969e-14
9.90000,2.4102144703e-14
10.00000,2.3951606250e-14
10.10000,2.4045983713e-14
10.20000,2.4356161701e-14
10.30000,2.4846917577e-14
10.40000,2.5478919164e-14
10.50000,2.6210802020e-14
10.60000,2.7001201493e-14
10.70000,2.7810621595e-14
10.80000,2.8603037752e-14
10.90000,2.9347152576e-14
11.00000,3.0017251152e-14
11.10000,3.0593632832e-14
11.20000,3.1062627781e-14
11.30000,3.1416236046e-14
11.40000,3.1651452509e-14
11.50000,3.1769360807e-14
11.60000,3.1774091739e-14
11.70000,3.1671746038e-14
11.80000,3.1469377611e-14
11.90000,3.1174121884e-14
12.00000,3.0792535971e-14
12.10000,3.0330194687e-14
12.20000,2.9791560873e-14
12.30000,2.9180122417e-14
12.40000,2.8498763805e-14
12.50000,2.7750319079e-14
12.60000,2.6938237402e-14
12.70000,2.6067283053e-14
12.80000,2.5144189390e-14
12.90000,2.4178190965e-14
13.00000,2.3181369096e-14
13.10000,2.2168762621e-14
13.20000,2.1158215862e-14
13.30000,2.0169958151e-14
13.40000,1.9225931838e-14
13.50000,1.8348906591e-14
13.60000,1.7561435413e-14
13.70000,1.6884720838e-14
13.80000,1.6337467283e-14
13.90000,1.5934797169e-14
14.00000,1.5687304201e-14
14.10000,1.5600307680e-14
14.20000,1.5673357807e-14
14.30000,1.5900024898e-14
14.40000,1.6267986617e-14
14.50000,1.6759408268e-14
14.60000,1.7351593260e-14
14.70000,1.8017865262e-14
14.80000,1.8728631352e-14
14.90000,1.9452567184e-14
15.00000,2.0157861214e-14
15.10000,2.0813455256e-14
15.20000,2.1390222711e-14
15.30000,2.1862033081e-14
15.40000,2.2206661071e-14
15.50000,2.2406509702e-14
15.60000,2.2449128570e-14
15.70000,2.2327519737e-14
15.80000,2.2040234045e-14
15.90000,2.1591269360e-14
16.00000,2.0989789014e-14
16.10000,2.0249683392e-14
16.20000,1.9389000354e-14
16.30000,1.8429271097e-14
16.40000,1.7394757681e-14
16.50000,1.6311647053e-14
16.60000,1.5207214542e-14
16.70000,1.4108977825e-14
