#0.19eV differential cross sections for H-H2 elastic collisions from Krstic and Shultz. 1998
#angle(deg),sigma(cm^2)
40.48731775,3.29E-13
40.79493879,3.30E-13
41.10341926,3.31E-13
41.41270188,3.32E-13
41.72278664,3.33E-13
42.03373084,3.34E-13
42.34541988,3.35E-13
42.65791106,3.36E-13
42.97120438,3.36E-13
43.28529984,3.37E-13
43.60014015,3.38E-13
43.9157826,3.39E-13
44.23222719,3.40E-13
44.54935933,3.41E-13
44.86729361,3.42E-13
45.18603003,3.43E-13
45.505454,3.44E-13
45.82562282,3.46E-13
46.14653648,3.47E-13
46.46819499,3.49E-13
46.79054104,3.50E-13
47.11368924,3.51E-13
47.43746769,3.52E-13
47.76199099,3.54E-13
48.08725913,3.55E-13
48.41315752,3.56E-13
48.73980076,3.57E-13
49.06713155,3.58E-13
49.39514988,3.59E-13
49.72379848,3.60E-13
50.05313462,3.61E-13
50.38315831,3.62E-13
50.71386955,3.64E-13
51.04521104,3.65E-13
51.37718279,3.66E-13
51.70984208,3.67E-13
52.04313163,3.69E-13
52.37705143,3.70E-13
52.71154419,3.72E-13
53.0467245,3.73E-13
53.38253507,3.74E-13
53.71891859,3.76E-13
54.05587507,3.77E-13
54.3935191,3.78E-13
54.73167879,3.80E-13
55.07046873,3.81E-13
55.40983163,3.82E-13
55.74976749,3.84E-13
56.09033361,3.85E-13
56.43141538,3.86E-13
56.77301282,3.88E-13
57.11524051,3.89E-13
57.45792657,3.91E-13
57.80112829,3.92E-13
58.14490297,3.94E-13
58.4892506,3.95E-13
58.83417119,3.97E-13
59.17966474,3.98E-13
59.52573125,4.00E-13
59.87237072,4.01E-13
60.21901018,4.03E-13
60.56679557,4.04E-13
60.91458095,4.06E-13
61.26293929,4.08E-13
61.61187058,4.09E-13
61.96137484,4.11E-13
62.31087909,4.13E-13
62.66152926,4.15E-13
63.01217944,4.16E-13
63.36340256,4.18E-13
63.71462569,4.20E-13
64.06699474,4.22E-13
64.41936378,4.23E-13
64.77230578,4.25E-13
65.12582074,4.27E-13
65.47990866,4.28E-13
65.83399658,4.30E-13
66.18865745,4.32E-13
66.54331833,4.34E-13
66.89912512,4.35E-13
67.25435895,4.37E-13
67.6107387,4.39E-13
67.96711845,4.41E-13
68.32407115,4.43E-13
68.68159682,4.45E-13
69.03912248,4.47E-13
69.3972211,4.49E-13
69.75531973,4.51E-13
70.11399131,4.53E-13
70.47323584,4.55E-13
70.83248038,4.57E-13
71.19172492,4.59E-13
71.55211537,4.61E-13
71.91193287,4.63E-13
72.27289628,4.65E-13
72.63385969,4.67E-13
72.9948231,4.69E-13
73.35635947,4.72E-13
73.71789584,4.74E-13
74.08000516,4.76E-13
74.44211449,4.78E-13
74.80479677,4.81E-13
75.16747906,4.83E-13
75.53016134,4.85E-13
75.89341659,4.88E-13
76.25724479,4.90E-13
76.62107299,4.92E-13
76.98490118,4.95E-13
77.34872938,4.97E-13
77.71313054,4.99E-13
78.07810466,5.02E-13
78.44250582,5.04E-13
78.80747993,5.07E-13
79.173027,5.09E-13
79.53800112,5.12E-13
79.90354819,5.14E-13
80.26909527,5.17E-13
80.6352153,5.19E-13
81.00133533,5.22E-13
81.36745536,5.25E-13
81.73357539,5.27E-13
82.10026838,5.30E-13
82.46638841,5.33E-13
82.8330814,5.35E-13
83.19977439,5.38E-13
83.56704034,5.41E-13
83.93373332,5.44E-13
84.30099927,5.46E-13
84.66826522,5.49E-13
85.03553116,5.52E-13
85.40279711,5.55E-13
85.77063602,5.58E-13
86.13790196,5.61E-13
86.50574087,5.64E-13
86.87357977,5.67E-13
87.24084572,5.70E-13
87.60868462,5.73E-13
87.97652353,5.76E-13
88.34436243,5.79E-13
88.71220134,5.82E-13
89.08004024,5.86E-13
89.44787914,5.89E-13
89.81629101,5.92E-13
90.18412991,5.95E-13
90.55196882,5.98E-13
90.91980772,6.02E-13
91.28764662,6.05E-13
91.65548553,6.08E-13
92.02332443,6.12E-13
92.39116334,6.15E-13
92.75900224,6.19E-13
93.12684115,6.22E-13
93.49410709,6.26E-13
93.861946,6.29E-13
94.22921195,6.33E-13
94.59705085,6.36E-13
94.9643168,6.40E-13
95.33158274,6.44E-13
95.69884869,6.48E-13
96.06611464,6.51E-13
96.43280763,6.55E-13
96.80007357,6.59E-13
97.16676656,6.63E-13
97.53345955,6.67E-13
97.90015254,6.71E-13
98.26627257,6.75E-13
98.63296556,6.79E-13
98.99908559,6.83E-13
99.36463266,6.87E-13
99.73075269,6.91E-13
100.0962998,6.95E-13
100.4618468,6.99E-13
100.8273939,7.04E-13
101.192368,7.08E-13
101.5573421,7.12E-13
101.9223163,7.17E-13
102.2867174,7.21E-13
102.6511186,7.25E-13
103.0149468,7.30E-13
103.3793479,7.34E-13
103.7426032,7.39E-13
104.1064314,7.44E-13
104.4696866,7.48E-13
104.8323689,7.53E-13
105.1956241,7.58E-13
105.5577335,7.62E-13
105.9198428,7.67E-13
106.2819521,7.72E-13
106.6440614,7.77E-13
107.0050249,7.82E-13
107.3665612,7.87E-13
107.7275246,7.92E-13
108.0879151,7.97E-13
108.4483055,8.02E-13
108.808123,8.08E-13
109.1673676,8.13E-13
109.5271851,8.18E-13
109.8858567,8.24E-13
110.2445282,8.29E-13
110.6026269,8.35E-13
110.9607255,8.40E-13
111.3182511,8.46E-13
111.6757768,8.51E-13
112.0327295,8.57E-13
112.3891093,8.63E-13
112.745489,8.68E-13
113.1012958,8.74E-13
113.4565296,8.80E-13
113.8117635,8.86E-13
114.1664243,8.92E-13
114.5205123,8.98E-13
114.8740272,9.04E-13
115.2275422,9.11E-13
115.5804842,9.17E-13
115.9328532,9.23E-13
116.2852223,9.30E-13
116.6370184,9.36E-13
116.9882415,9.43E-13
117.3388917,9.49E-13
117.6889689,9.56E-13
118.0390461,9.63E-13
118.3879774,9.70E-13
118.7369087,9.77E-13
119.085267,9.84E-13
119.4336254,9.91E-13
119.7808378,9.98E-13
120.1280502,1.00E-12
120.4741167,1.01E-12
120.8201832,1.02E-12
121.1656768,1.03E-12
121.5105974,1.03E-12
121.854945,1.04E-12
122.1987197,1.05E-12
122.5419214,1.06E-12
122.8845502,1.06E-12
123.2271789,1.07E-12
123.5686618,1.08E-12
123.9095716,1.09E-12
124.2504815,1.10E-12
124.5902455,1.10E-12
124.9294365,1.11E-12
125.2680546,1.12E-12
125.6066726,1.13E-12
125.9441448,1.14E-12
126.281044,1.15E-12
126.6173702,1.16E-12
126.9531235,1.16E-12
127.2883038,1.17E-12
127.6229111,1.18E-12
127.9569455,1.19E-12
128.2904069,1.20E-12
128.6227225,1.21E-12
128.955038,1.22E-12
129.2862076,1.23E-12
129.6168042,1.24E-12
129.9468279,1.25E-12
130.2762787,1.26E-12
130.6051564,1.27E-12
130.9328883,1.28E-12
131.2600472,1.29E-12
131.5866331,1.30E-12
131.9126461,1.31E-12
