#1.9eV differential cross sections for H-H elastic collisions from Krstic and Shultz. 1998,
#angle(deg),sigma(cm^2)
3.54E+01,1.93E-15
3.57E+01,1.90E-15
3.60E+01,1.86E-15
3.63E+01,1.82E-15
3.66E+01,1.79E-15
3.69E+01,1.76E-15
3.72E+01,1.72E-15
3.75E+01,1.68E-15
3.78E+01,1.65E-15
3.81E+01,1.61E-15
3.84E+01,1.57E-15
3.87E+01,1.54E-15
3.90E+01,1.50E-15
3.93E+01,1.47E-15
3.96E+01,1.44E-15
3.99E+01,1.41E-15
4.02E+01,1.38E-15
4.05E+01,1.35E-15
4.08E+01,1.32E-15
4.11E+01,1.30E-15
4.14E+01,1.27E-15
4.17E+01,1.25E-15
4.20E+01,1.22E-15
4.23E+01,1.20E-15
4.27E+01,1.18E-15
4.30E+01,1.16E-15
4.33E+01,1.14E-15
4.36E+01,1.13E-15
4.39E+01,1.12E-15
4.42E+01,1.11E-15
4.45E+01,1.09E-15
4.49E+01,1.08E-15
4.52E+01,1.08E-15
4.55E+01,1.07E-15
4.58E+01,1.06E-15
4.61E+01,1.05E-15
4.65E+01,1.04E-15
4.68E+01,1.03E-15
4.71E+01,1.03E-15
4.74E+01,1.02E-15
4.78E+01,1.01E-15
4.81E+01,1.00E-15
4.84E+01,9.94E-16
4.87E+01,9.88E-16
4.91E+01,9.84E-16
4.94E+01,9.80E-16
4.97E+01,9.77E-16
5.01E+01,9.75E-16
5.04E+01,9.74E-16
5.07E+01,9.71E-16
5.10E+01,9.67E-16
5.14E+01,9.61E-16
5.17E+01,9.54E-16
5.20E+01,9.45E-16
5.24E+01,9.35E-16
5.27E+01,9.26E-16
5.30E+01,9.15E-16
5.34E+01,9.04E-16
5.37E+01,8.91E-16
5.41E+01,8.77E-16
5.44E+01,8.63E-16
5.47E+01,8.50E-16
5.51E+01,8.37E-16
5.54E+01,8.25E-16
5.57E+01,8.14E-16
5.61E+01,8.02E-16
5.64E+01,7.92E-16
5.68E+01,7.82E-16
5.71E+01,7.73E-16
5.75E+01,7.64E-16
5.78E+01,7.56E-16
5.81E+01,7.47E-16
5.85E+01,7.37E-16
5.88E+01,7.27E-16
5.92E+01,7.17E-16
5.95E+01,7.07E-16
5.99E+01,6.97E-16
6.02E+01,6.86E-16
6.06E+01,6.75E-16
