#2.5eV differential cross sections for H-H2 elastic collisions from Krstic and Shultz. 1998,
#angle(deg),sigma(cm^2)
3.54E+01,1.56E-15
3.57E+01,1.53E-15
3.60E+01,1.50E-15
3.63E+01,1.47E-15
3.66E+01,1.43E-15
3.69E+01,1.39E-15
3.72E+01,1.36E-15
3.75E+01,1.32E-15
3.78E+01,1.29E-15
3.81E+01,1.26E-15
3.84E+01,1.23E-15
3.87E+01,1.20E-15
3.90E+01,1.16E-15
3.93E+01,1.13E-15
3.96E+01,1.11E-15
3.99E+01,1.08E-15
4.02E+01,1.05E-15
4.05E+01,1.03E-15
4.08E+01,1.00E-15
4.11E+01,9.80E-16
4.14E+01,9.62E-16
4.17E+01,9.47E-16
4.20E+01,9.33E-16
4.23E+01,9.20E-16
4.27E+01,9.06E-16
4.30E+01,8.93E-16
4.33E+01,8.81E-16
4.36E+01,8.71E-16
4.39E+01,8.64E-16
4.42E+01,8.58E-16
4.45E+01,8.53E-16
4.49E+01,8.48E-16
4.52E+01,8.45E-16
4.55E+01,8.43E-16
4.58E+01,8.41E-16
4.61E+01,8.40E-16
4.65E+01,8.36E-16
4.68E+01,8.30E-16
4.71E+01,8.24E-16
4.74E+01,8.19E-16
4.78E+01,8.15E-16
4.81E+01,8.13E-16
4.84E+01,8.08E-16
4.87E+01,8.01E-16
4.91E+01,7.92E-16
4.94E+01,7.81E-16
4.97E+01,7.72E-16
5.01E+01,7.64E-16
5.04E+01,7.56E-16
5.07E+01,7.48E-16
5.10E+01,7.38E-16
5.14E+01,7.27E-16
5.17E+01,7.16E-16
5.20E+01,7.05E-16
5.24E+01,6.95E-16
5.27E+01,6.85E-16
5.30E+01,6.74E-16
5.34E+01,6.61E-16
5.37E+01,6.49E-16
5.41E+01,6.37E-16
5.44E+01,6.26E-16
5.47E+01,6.13E-16
5.51E+01,5.98E-16
5.54E+01,5.80E-16
5.57E+01,5.61E-16
5.61E+01,5.43E-16
5.64E+01,5.27E-16
5.68E+01,5.12E-16
5.71E+01,4.96E-16
5.75E+01,4.79E-16
5.78E+01,4.60E-16
5.81E+01,4.42E-16
5.85E+01,4.25E-16
5.88E+01,4.10E-16
5.92E+01,3.96E-16
5.95E+01,3.82E-16
5.99E+01,3.68E-16
6.02E+01,3.55E-16
6.06E+01,3.44E-16
6.09E+01,3.36E-16
6.13E+01,3.30E-16
6.16E+01,3.23E-16
6.20E+01,3.16E-16
6.23E+01,3.11E-16
6.27E+01,3.07E-16
6.30E+01,3.06E-16
6.34E+01,3.06E-16
6.37E+01,3.05E-16
6.41E+01,3.03E-16
6.44E+01,3.01E-16
6.48E+01,3.00E-16
6.51E+01,3.00E-16
6.55E+01,3.01E-16
6.58E+01,3.01E-16
6.62E+01,2.99E-16
6.65E+01,2.97E-16
6.69E+01,2.93E-16
6.73E+01,2.90E-16
6.76E+01,2.88E-16
