#3.1eV differential cross sections for H-H2 elastic collisions from Krstic and Shultz. 1998,
#angle(deg),sigma(cm^2)
4.41E-04,2.56E-16
2.32E-03,1.35E-15
5.71E-03,3.32E-15
1.06E-02,6.16E-15
1.70E-02,9.88E-15
2.49E-02,1.45E-14
3.43E-02,1.99E-14
4.52E-02,2.62E-14
5.76E-02,3.34E-14
7.15E-02,4.15E-14
8.69E-02,5.03E-14
1.04E-01,6.00E-14
1.22E-01,7.04E-14
1.42E-01,8.16E-14
1.64E-01,9.36E-14
1.87E-01,1.06E-13
2.11E-01,1.19E-13
2.37E-01,1.33E-13
2.64E-01,1.47E-13
2.93E-01,1.62E-13
3.24E-01,1.76E-13
3.56E-01,1.91E-13
3.89E-01,2.06E-13
4.24E-01,2.20E-13
4.60E-01,2.34E-13
4.98E-01,2.47E-13
5.38E-01,2.60E-13
5.78E-01,2.72E-13
6.21E-01,2.82E-13
6.65E-01,2.91E-13
7.10E-01,2.98E-13
7.57E-01,3.04E-13
8.05E-01,3.07E-13
8.55E-01,3.09E-13
9.07E-01,3.08E-13
9.59E-01,3.05E-13
1.01E+00,2.99E-13
1.07E+00,2.91E-13
1.13E+00,2.80E-13
1.19E+00,2.67E-13
1.25E+00,2.53E-13
1.31E+00,2.36E-13
1.37E+00,2.18E-13
1.44E+00,1.99E-13
1.50E+00,1.79E-13
1.57E+00,1.59E-13
1.64E+00,1.39E-13
1.71E+00,1.19E-13
1.78E+00,1.01E-13
1.85E+00,8.46E-14
1.93E+00,6.99E-14
2.01E+00,5.74E-14
2.08E+00,4.72E-14
2.16E+00,3.95E-14
2.24E+00,3.42E-14
2.33E+00,3.11E-14
2.41E+00,3.01E-14
2.50E+00,3.07E-14
2.58E+00,3.26E-14
2.67E+00,3.52E-14
2.76E+00,3.82E-14
2.85E+00,4.11E-14
2.94E+00,4.35E-14
3.04E+00,4.52E-14
3.13E+00,4.61E-14
3.23E+00,4.61E-14
3.33E+00,4.51E-14
3.43E+00,4.35E-14
3.53E+00,4.15E-14
3.63E+00,3.92E-14
3.74E+00,3.69E-14
3.84E+00,3.49E-14
3.95E+00,3.33E-14
4.06E+00,3.22E-14
4.17E+00,3.16E-14
4.28E+00,3.15E-14
4.39E+00,3.16E-14
4.51E+00,3.20E-14
4.62E+00,3.25E-14
4.74E+00,3.29E-14
4.86E+00,3.32E-14
4.98E+00,3.33E-14
5.10E+00,3.33E-14
5.22E+00,3.33E-14
5.35E+00,3.32E-14
5.47E+00,3.32E-14
5.60E+00,3.32E-14
5.73E+00,3.34E-14
5.86E+00,3.38E-14
5.99E+00,3.42E-14
6.12E+00,3.47E-14
6.26E+00,3.52E-14
6.39E+00,3.57E-14
6.53E+00,3.61E-14
6.67E+00,3.64E-14
6.81E+00,3.66E-14
6.95E+00,3.68E-14
7.09E+00,3.69E-14
7.23E+00,3.70E-14
7.38E+00,3.71E-14
7.53E+00,3.71E-14
7.67E+00,3.70E-14
7.82E+00,3.68E-14
7.97E+00,3.65E-14
8.13E+00,3.59E-14
8.28E+00,3.51E-14
8.43E+00,3.41E-14
8.59E+00,3.28E-14
8.75E+00,3.15E-14
8.91E+00,3.01E-14
9.07E+00,2.88E-14
9.23E+00,2.76E-14
9.39E+00,2.65E-14
9.56E+00,2.55E-14
9.72E+00,2.45E-14
9.89E+00,2.35E-14
1.01E+01,2.24E-14
1.02E+01,2.13E-14
1.04E+01,2.01E-14
1.06E+01,1.89E-14
1.07E+01,1.76E-14
1.09E+01,1.63E-14
1.11E+01,1.50E-14
1.13E+01,1.38E-14
1.15E+01,1.27E-14
1.16E+01,1.17E-14
1.18E+01,1.08E-14
1.20E+01,1.01E-14
1.22E+01,9.46E-15
1.24E+01,8.98E-15
1.26E+01,8.60E-15
1.27E+01,8.28E-15
1.29E+01,8.01E-15
1.31E+01,7.77E-15
1.33E+01,7.56E-15
1.35E+01,7.38E-15
1.37E+01,7.24E-15
1.39E+01,7.14E-15
1.41E+01,7.07E-15
1.43E+01,7.03E-15
1.45E+01,7.02E-15
1.47E+01,7.02E-15
1.49E+01,7.03E-15
1.51E+01,7.04E-15
1.53E+01,7.04E-15
1.55E+01,7.01E-15
1.57E+01,6.96E-15
1.59E+01,6.88E-15
1.61E+01,6.78E-15
1.63E+01,6.67E-15
1.66E+01,6.55E-15
1.68E+01,6.42E-15
1.70E+01,6.28E-15
1.72E+01,6.11E-15
1.74E+01,5.92E-15
1.76E+01,5.71E-15
1.79E+01,5.47E-15
1.81E+01,5.23E-15
1.83E+01,4.98E-15
1.85E+01,4.74E-15
1.87E+01,4.51E-15
1.90E+01,4.31E-15
1.92E+01,4.13E-15
1.94E+01,3.98E-15
1.97E+01,3.84E-15
1.99E+01,3.71E-15
2.01E+01,3.58E-15
2.03E+01,3.44E-15
2.06E+01,3.32E-15
2.08E+01,3.20E-15
2.10E+01,3.10E-15
2.13E+01,3.02E-15
2.15E+01,2.95E-15
2.18E+01,2.89E-15
2.20E+01,2.85E-15
2.22E+01,2.81E-15
2.25E+01,2.78E-15
2.27E+01,2.75E-15
2.30E+01,2.72E-15
2.32E+01,2.68E-15
2.35E+01,2.64E-15
2.37E+01,2.59E-15
2.40E+01,2.54E-15
2.42E+01,2.50E-15
2.45E+01,2.45E-15
2.47E+01,2.41E-15
2.50E+01,2.37E-15
2.52E+01,2.33E-15
2.55E+01,2.29E-15
2.57E+01,2.24E-15
2.60E+01,2.20E-15
2.63E+01,2.15E-15
2.65E+01,2.11E-15
2.68E+01,2.07E-15
2.70E+01,2.03E-15
2.73E+01,1.99E-15
2.76E+01,1.95E-15
2.78E+01,1.91E-15
2.81E+01,1.89E-15
2.84E+01,1.86E-15
2.86E+01,1.84E-15
2.89E+01,1.82E-15
2.92E+01,1.79E-15
2.95E+01,1.76E-15
2.97E+01,1.73E-15
3.00E+01,1.70E-15
3.03E+01,1.67E-15
3.06E+01,1.65E-15
