#1.5eV differential cross sections for H-H2 elastic collisions from Krstic and Shultz. 1998
#angle(deg),sigma(cm^2)
4.41E-04,1.43E-11
2.32E-03,2.72E-12
5.71E-03,1.11E-12
1.06E-02,5.96E-13
1.70E-02,3.71E-13
2.49E-02,2.54E-13
3.43E-02,1.84E-13
4.52E-02,1.40E-13
5.76E-02,1.10E-13
7.15E-02,8.84E-14
8.69E-02,7.28E-14
1.04E-01,6.10E-14
1.22E-01,5.19E-14
1.42E-01,4.47E-14
1.64E-01,3.89E-14
1.87E-01,3.42E-14
2.11E-01,3.04E-14
2.37E-01,2.71E-14
2.64E-01,2.44E-14
2.93E-01,2.21E-14
3.24E-01,2.02E-14
3.56E-01,1.85E-14
3.89E-01,1.71E-14
4.24E-01,1.58E-14
4.60E-01,1.47E-14
4.98E-01,1.37E-14
5.38E-01,1.29E-14
5.78E-01,1.22E-14
6.21E-01,1.16E-14
6.65E-01,1.10E-14
7.10E-01,1.05E-14
7.57E-01,1.01E-14
8.05E-01,9.73E-15
8.55E-01,9.43E-15
9.07E-01,9.17E-15
9.59E-01,8.97E-15
1.01E+00,8.81E-15
1.07E+00,8.69E-15
1.13E+00,8.62E-15
1.19E+00,8.60E-15
1.25E+00,8.62E-15
1.31E+00,8.69E-15
1.37E+00,8.81E-15
1.44E+00,8.99E-15
1.50E+00,9.24E-15
1.57E+00,9.55E-15
1.64E+00,9.95E-15
1.71E+00,1.04E-14
1.78E+00,1.10E-14
1.85E+00,1.18E-14
1.93E+00,1.27E-14
2.01E+00,1.38E-14
2.08E+00,1.51E-14
2.16E+00,1.68E-14
2.24E+00,1.88E-14
2.33E+00,2.13E-14
2.41E+00,2.45E-14
2.50E+00,2.84E-14
2.58E+00,3.32E-14
2.67E+00,3.92E-14
2.76E+00,4.63E-14
2.85E+00,5.47E-14
2.94E+00,6.38E-14
3.04E+00,7.28E-14
3.13E+00,8.02E-14
3.23E+00,8.46E-14
3.33E+00,8.55E-14
3.43E+00,8.32E-14
3.53E+00,7.88E-14
3.63E+00,7.35E-14
3.74E+00,6.84E-14
3.84E+00,6.39E-14
3.95E+00,6.03E-14
4.06E+00,5.76E-14
4.17E+00,5.59E-14
4.28E+00,5.50E-14
4.39E+00,5.51E-14
4.51E+00,5.59E-14
4.62E+00,5.76E-14
4.74E+00,5.99E-14
4.86E+00,6.30E-14
4.98E+00,6.65E-14
5.10E+00,7.02E-14
5.22E+00,7.39E-14
5.35E+00,7.72E-14
5.47E+00,7.97E-14
5.60E+00,8.11E-14
5.73E+00,8.14E-14
5.86E+00,8.07E-14
5.99E+00,7.93E-14
6.12E+00,7.76E-14
6.26E+00,7.58E-14
6.39E+00,7.44E-14
6.53E+00,7.34E-14
6.67E+00,7.29E-14
6.81E+00,7.31E-14
6.95E+00,7.40E-14
7.09E+00,7.55E-14
7.23E+00,7.76E-14
7.38E+00,8.03E-14
7.53E+00,8.34E-14
7.67E+00,8.68E-14
7.82E+00,9.03E-14
7.97E+00,9.37E-14
8.13E+00,9.68E-14
8.28E+00,9.95E-14
8.43E+00,1.02E-13
8.59E+00,1.03E-13
8.75E+00,1.05E-13
8.91E+00,1.05E-13
9.07E+00,1.06E-13
