#6.3eV differential cross sections for H-H2 elastic collisions from Krstic and Shultz. 1998,
#angle(deg),sigma(cm^2)
4.41E-04,4.22E-16
2.32E-03,2.23E-15
5.71E-03,5.47E-15
1.06E-02,1.02E-14
1.70E-02,1.63E-14
2.49E-02,2.38E-14
3.43E-02,3.28E-14
4.52E-02,4.32E-14
5.76E-02,5.50E-14
7.15E-02,6.81E-14
8.69E-02,8.26E-14
1.04E-01,9.82E-14
1.22E-01,1.15E-13
1.42E-01,1.33E-13
1.64E-01,1.52E-13
1.87E-01,1.71E-13
2.11E-01,1.91E-13
2.37E-01,2.12E-13
2.64E-01,2.33E-13
2.93E-01,2.53E-13
3.24E-01,2.73E-13
3.56E-01,2.92E-13
3.89E-01,3.09E-13
4.24E-01,3.25E-13
4.60E-01,3.39E-13
4.98E-01,3.51E-13
5.38E-01,3.60E-13
5.78E-01,3.65E-13
6.21E-01,3.67E-13
6.65E-01,3.65E-13
7.10E-01,3.60E-13
7.57E-01,3.50E-13
8.05E-01,3.37E-13
8.55E-01,3.20E-13
9.07E-01,3.00E-13
9.59E-01,2.77E-13
1.01E+00,2.53E-13
1.07E+00,2.27E-13
1.13E+00,2.00E-13
1.19E+00,1.74E-13
1.25E+00,1.49E-13
1.31E+00,1.26E-13
1.37E+00,1.06E-13
1.44E+00,8.95E-14
1.50E+00,7.65E-14
1.57E+00,6.71E-14
1.64E+00,6.15E-14
1.71E+00,5.90E-14
1.78E+00,5.93E-14
1.85E+00,6.16E-14
1.93E+00,6.52E-14
2.01E+00,6.91E-14
2.08E+00,7.29E-14
2.16E+00,7.59E-14
2.24E+00,7.78E-14
2.33E+00,7.86E-14
2.41E+00,7.83E-14
2.50E+00,7.74E-14
2.58E+00,7.62E-14
2.67E+00,7.50E-14
2.76E+00,7.43E-14
2.85E+00,7.40E-14
2.94E+00,7.43E-14
3.04E+00,7.50E-14
3.13E+00,7.55E-14
3.23E+00,7.58E-14
3.33E+00,7.53E-14
3.43E+00,7.40E-14
3.53E+00,7.18E-14
3.63E+00,6.90E-14
3.74E+00,6.58E-14
3.84E+00,6.26E-14
3.95E+00,5.97E-14
4.06E+00,5.75E-14
4.17E+00,5.59E-14
4.28E+00,5.49E-14
4.39E+00,5.43E-14
4.51E+00,5.38E-14
4.62E+00,5.30E-14
4.74E+00,5.18E-14
4.86E+00,4.99E-14
4.98E+00,4.75E-14
5.10E+00,4.46E-14
5.22E+00,4.13E-14
5.35E+00,3.80E-14
5.47E+00,3.46E-14
5.60E+00,3.15E-14
5.73E+00,2.87E-14
5.86E+00,2.63E-14
5.99E+00,2.42E-14
6.12E+00,2.23E-14
6.26E+00,2.06E-14
6.39E+00,1.91E-14
6.53E+00,1.77E-14
6.67E+00,1.64E-14
6.81E+00,1.52E-14
6.95E+00,1.42E-14
7.09E+00,1.32E-14
7.23E+00,1.22E-14
7.38E+00,1.13E-14
7.53E+00,1.05E-14
7.67E+00,9.89E-15
7.82E+00,9.41E-15
7.97E+00,9.14E-15
8.13E+00,9.06E-15
8.28E+00,9.09E-15
8.43E+00,9.14E-15
8.59E+00,9.16E-15
8.75E+00,9.10E-15
8.91E+00,8.99E-15
9.07E+00,8.85E-15
9.23E+00,8.72E-15
9.39E+00,8.60E-15
9.56E+00,8.48E-15
9.72E+00,8.34E-15
9.89E+00,8.15E-15
1.01E+01,7.92E-15
1.02E+01,7.68E-15
1.04E+01,7.44E-15
1.06E+01,7.20E-15
1.07E+01,6.95E-15
1.09E+01,6.69E-15
1.11E+01,6.41E-15
1.13E+01,6.12E-15
1.15E+01,5.82E-15
1.16E+01,5.54E-15
1.18E+01,5.29E-15
1.20E+01,5.08E-15
1.22E+01,4.89E-15
1.24E+01,4.73E-15
1.26E+01,4.57E-15
1.27E+01,4.41E-15
1.29E+01,4.25E-15
1.31E+01,4.11E-15
1.33E+01,4.00E-15
1.35E+01,3.90E-15
1.37E+01,3.82E-15
1.39E+01,3.73E-15
1.41E+01,3.64E-15
1.43E+01,3.56E-15
1.45E+01,3.49E-15
1.47E+01,3.44E-15
1.49E+01,3.40E-15
1.51E+01,3.34E-15
1.53E+01,3.26E-15
1.55E+01,3.17E-15
1.57E+01,3.06E-15
1.59E+01,2.98E-15
1.61E+01,2.91E-15
1.63E+01,2.85E-15
1.66E+01,2.78E-15
1.68E+01,2.71E-15
1.70E+01,2.64E-15
1.72E+01,2.56E-15
1.74E+01,2.50E-15
1.76E+01,2.44E-15
1.79E+01,2.38E-15
1.81E+01,2.31E-15
1.83E+01,2.23E-15
1.85E+01,2.16E-15
1.87E+01,2.10E-15
1.90E+01,2.05E-15
1.92E+01,2.01E-15
1.94E+01,1.96E-15
1.97E+01,1.89E-15
1.99E+01,1.83E-15
2.01E+01,1.76E-15
2.03E+01,1.71E-15
2.06E+01,1.66E-15
2.08E+01,1.61E-15
2.10E+01,1.55E-15
2.13E+01,1.49E-15
2.15E+01,1.44E-15
2.18E+01,1.40E-15
2.20E+01,1.36E-15
2.22E+01,1.31E-15
2.25E+01,1.26E-15
2.27E+01,1.21E-15
2.30E+01,1.16E-15
2.32E+01,1.13E-15
2.35E+01,1.10E-15
2.37E+01,1.06E-15
2.40E+01,1.02E-15
2.42E+01,9.87E-16
2.45E+01,9.58E-16
2.47E+01,9.33E-16
2.50E+01,9.09E-16
2.52E+01,8.81E-16
2.55E+01,8.53E-16
2.57E+01,8.28E-16
2.60E+01,8.11E-16
2.63E+01,7.97E-16
2.65E+01,7.82E-16
2.68E+01,7.63E-16
2.70E+01,7.44E-16
2.73E+01,7.30E-16
2.76E+01,7.21E-16
2.78E+01,7.12E-16
2.81E+01,7.01E-16
2.84E+01,6.88E-16
2.86E+01,6.77E-16
2.89E+01,6.69E-16
2.92E+01,6.62E-16
2.95E+01,6.53E-16
2.97E+01,6.41E-16
3.00E+01,6.30E-16
3.03E+01,6.23E-16
3.06E+01,6.18E-16
3.08E+01,6.13E-16
3.11E+01,6.03E-16
3.14E+01,5.91E-16
3.17E+01,5.79E-16
3.19E+01,5.70E-16
3.22E+01,5.62E-16
3.25E+01,5.54E-16
3.28E+01,5.43E-16
3.31E+01,5.32E-16
3.34E+01,5.22E-16
3.36E+01,5.12E-16
3.39E+01,5.00E-16
3.42E+01,4.87E-16
3.45E+01,4.73E-16
3.48E+01,4.61E-16
3.51E+01,4.49E-16
3.54E+01,4.37E-16
3.57E+01,4.22E-16
3.60E+01,4.06E-16
3.63E+01,3.91E-16
3.66E+01,3.78E-16
3.69E+01,3.66E-16
3.72E+01,3.52E-16
3.75E+01,3.36E-16
3.78E+01,3.19E-16
3.81E+01,3.04E-16
3.84E+01,2.90E-16
3.87E+01,2.78E-16
3.90E+01,2.64E-16
3.93E+01,2.51E-16
3.96E+01,2.37E-16
3.99E+01,2.25E-16
4.02E+01,2.13E-16
4.05E+01,2.01E-16
4.08E+01,1.88E-16
4.11E+01,1.78E-16
4.14E+01,1.69E-16
4.17E+01,1.59E-16
4.20E+01,1.48E-16
4.23E+01,1.37E-16
4.27E+01,1.30E-16
4.30E+01,1.24E-16
4.33E+01,1.17E-16
4.36E+01,1.08E-16
4.39E+01,1.00E-16
4.42E+01,9.44E-17
4.45E+01,9.06E-17
4.49E+01,8.67E-17
4.52E+01,8.20E-17
4.55E+01,7.79E-17
4.58E+01,7.53E-17
4.61E+01,7.33E-17
4.65E+01,7.10E-17
4.68E+01,6.87E-17
4.71E+01,6.77E-17
4.74E+01,6.77E-17
4.78E+01,6.72E-17
4.81E+01,6.64E-17
4.84E+01,6.67E-17
4.87E+01,6.83E-17
4.91E+01,7.00E-17
4.94E+01,7.04E-17
4.97E+01,7.06E-17
5.01E+01,7.21E-17
5.04E+01,7.48E-17
5.07E+01,7.71E-17
5.10E+01,7.86E-17
5.14E+01,8.05E-17
5.17E+01,8.34E-17
5.20E+01,8.64E-17
5.24E+01,8.85E-17
5.27E+01,9.03E-17
5.30E+01,9.29E-17
5.34E+01,9.59E-17
5.37E+01,9.82E-17
5.41E+01,9.99E-17
5.44E+01,1.02E-16
5.47E+01,1.05E-16
5.51E+01,1.08E-16
5.54E+01,1.09E-16
5.57E+01,1.11E-16
5.61E+01,1.13E-16
5.64E+01,1.16E-16
5.68E+01,1.17E-16
5.71E+01,1.18E-16
5.75E+01,1.20E-16
5.78E+01,1.22E-16
5.81E+01,1.24E-16
5.85E+01,1.24E-16
5.88E+01,1.25E-16
5.92E+01,1.26E-16
5.95E+01,1.27E-16
5.99E+01,1.28E-16
6.02E+01,1.28E-16
6.06E+01,1.28E-16
6.09E+01,1.29E-16
6.13E+01,1.30E-16
6.16E+01,1.29E-16
6.20E+01,1.29E-16
6.23E+01,1.29E-16
6.27E+01,1.29E-16
6.30E+01,1.30E-16
6.34E+01,1.30E-16
6.37E+01,1.30E-16
6.41E+01,1.29E-16
6.44E+01,1.29E-16
6.48E+01,1.29E-16
6.51E+01,1.29E-16
6.55E+01,1.28E-16
6.58E+01,1.26E-16
6.62E+01,1.26E-16
6.65E+01,1.25E-16
6.69E+01,1.25E-16
6.73E+01,1.24E-16
6.76E+01,1.23E-16
6.80E+01,1.22E-16
6.83E+01,1.21E-16
6.87E+01,1.21E-16
6.90E+01,1.21E-16
6.94E+01,1.20E-16
6.98E+01,1.19E-16
7.01E+01,1.17E-16
7.05E+01,1.17E-16
7.08E+01,1.17E-16
7.12E+01,1.16E-16
7.16E+01,1.14E-16
7.19E+01,1.13E-16
7.23E+01,1.13E-16
