#alt(cm),H2+(cm-3)
1.35E+07,0.000312685
1.37E+07,0.000409755
1.39E+07,0.000614681
1.43E+07,0.000897498
1.46E+07,0.001310439
1.50E+07,0.001862339
1.55E+07,0.003029765
1.58E+07,0.004305771
1.64E+07,0.006818039
1.68E+07,0.009955041
1.72E+07,0.014535388
1.76E+07,0.01904774
1.79E+07,0.026347756
1.84E+07,0.036445494
1.88E+07,0.051794747
1.93E+07,0.075625677
1.98E+07,0.101818756
2.01E+07,0.140840638
2.05E+07,0.194817596
2.08E+07,0.276866276
2.12E+07,0.426714093
2.16E+07,0.590251612
2.20E+07,0.816464634
2.24E+07,1.041387893
2.28E+07,1.258358263
2.33E+07,1.440498201
2.39E+07,1.562204085
2.46E+07,1.562204085
2.52E+07,1.440498201
2.59E+07,1.292843595
2.66E+07,1.099248522
2.73E+07,0.934643075
2.80E+07,0.752856716
2.87E+07,0.606427469
2.94E+07,0.488478441
3.00E+07,0.426714093
3.07E+07,0.38297485
3.15E+07,0.372759372
3.24E+07,0.362816382
3.35E+07,0.353138612
3.44E+07,0.33455062
3.55E+07,0.33455062
3.65E+07,0.325626811
3.75E+07,0.325626811
3.84E+07,0.316941036
3.93E+07,0.316941036
4.00E+07,0.308486946
