#alt(cm),O(cm-3),N2(cm-3),CO(cm-3),CO2(cm-3),H(cm-3),H2(cm-3)
20179700,129920000,45770000,30782000,169660000,81930,10602876.29
20555600,120000000,39560000,26800000,135890000,81020,10587746.97
21119500,104170000,31732000,21700000,94530000,79710,10565050.99
21182200,102720000,30953000,21183000,90710000,79570,10562527.43
21370100,98740000,28708000,19687000,80290000,79150,10554964.78
22122000,84940000,21027000,14630000,50240000,77540,10524702.1
22309900,81780000,19419000,13612000,44920000,77150,10517139.47
22560500,77650000,17456000,12394000,38780000,76640,10507053.26
23124400,68630000,13738000,10077000,27829000,75540,10484357.27
23563000,62050000,11451000,8538000,21260000,74720,10466704.39
23751000,59410000,10614000,7928000,18903000,74380,10459137.72
23938900,56900000,9854000,7350000,16803000,74050,10451575.07
24126900,54510000,9159000,6810000,14942000,73730,10444008.4
24377500,51540000,8314000,6154000,12802000,73320,10433922.2
24816100,46840000,7002000,5191000,9865000,72870,10416269.31
24941400,45620000,6658000,4959000,9185000,73780,10411226.2
25129300,43860000,6164000,4641000,8276000,73850,10403663.56
25379900,41690000,5551000,4259000,7239000,73760,10393577.35
25943800,37380000,4375000,3512000,5401000,73320,10370881.36
26069100,36500000,4153000,3359000,5057000,73200,10365838.25
26131800,36070000,4048000,3284000,4891000,73140,10363314.69
26194400,35640000,3947000,3209200,4729000,73080,10360795.15
26821000,31515000,3134400,2532600,3284000,72430,10348556.71
26921500,30865000,3032000,2438100,3082500,72320,10346722.44
26946400,30704000,3007400,2415400,3034100,72290,10346267.98
27322200,28325000,2661100,2107000,2404900,71870,10339409.1
27493400,27282000,2513400,1989800,2182000,71680,10336284.45
27891200,25001000,2182000,1760400,1757500,71230,10329024
28262000,23093000,1884600,1564900,1440000,70800,10322256.42
28264200,23082000,1882900,1563700,1438300,70800,10322216.26
28587400,21608000,1644600,1386900,1206800,70430,10316317.4
28910700,20279000,1434300,1221400,1008300,70050,10310416.72
29233900,19066000,1254300,1079900,839800,69680,10304517.86
29640400,17662000,1065200,936500,666800,69200,10297098.65
29703000,17456000,1039300,916900,643700,69130,10295956.12
29955000,16646000,942800,842700,559200,68840,10291356.76
30278200,15653000,835700,755000,467500,68470,10285457.9
30705500,14407000,718400,642600,369400,67970,10277659.07
30899800,13863000,672900,597200,331700,67750,10274112.8
30924600,13794000,667400,592000,327200,67720,10273660.18
31144100,13195000,621500,550100,289660,67470,10269653.99
31571100,12071000,541100,478300,228020,66980,10261860.64
31707900,11724000,516400,455900,211040,66820,10259363.84
31819700,11446000,496300,437900,198070,66700,10257323.33
32267300,10378000,418700,373700,153790,66190,10249154
32585100,9669000,371300,338300,129130,65830,10243353.7
32739700,9338000,351300,322760,118940,65660,10240532
32773000,9269000,347300,319460,116900,65620,10239924.2
32938600,8930000,328700,302980,107420,65440,10236901.82
33585100,7748000,267850,239650,78140,64730,10225102.27
33734300,7510000,254910,227210,72400,64570,10222379.1
34026100,7085000,229570,205270,61810,64250,10217053.4
34181800,6879000,216390,194300,56600,64090,10214211.66
34652700,6330000,180540,163930,43220,63590,10205617.06
34654200,6328000,180440,163840,43180,63590,10205589.69
34878000,6095000,166070,151810,38080,63360,10201505.01
35467100,5524000,134590,126160,27497,62760,10190753.1
35698500,5309000,124150,117150,24195,62540,10186529.72
35717800,5291000,123320,116410,23938,62530,10186177.47
35723400,5286000,123080,116190,23864,62520,10186075.2
36394700,4679000,97940,91530,16409,61940,10173823.08
36643400,4460000,90410,84100,14305,61780,10169283.95
36782900,4339000,86560,80260,13259,61720,10166737.8
36970800,4176000,81710,75330,11988,61730,10163308.44
37033500,4122000,80160,73730,11595,62760,10162164
37190400,3988000,76380,69770,10675,62890,10159300.43
37588200,3659000,67240,59750,8674,62860,10152040.01
37762200,3522000,63310,55870,7923,62800,10148864.27
37848000,3456000,61390,54160,7576,62770,10147298.29
38408700,3062000,49390,44880,5644,62510,10137064.72
38411900,3060000,49330,44830,5634,62510,10137006.32
38533000,2984000,46930,43120,5286,62440,10134796.07
38913100,2765000,40260,38200,4329,62240,10127858.71
39030300,2702400,38590,36810,4072,62170,10125719.64
39353500,2540200,35220,33280,3446,61990,10119820.78
39477900,2481300,34110,32021,3234.4,61920,10117550.3
39577300,2435400,33150,31057,3074.9,61860,10115736.1
39852900,2313000,30378,28558,2671.7,61700,10110706.02
39900500,2292500,29903,28149,2607.1,61670,10109837.25
39950300,2271300,29413,27728,2541.1,61640,10108928.33
40000000,2250300,28932,27314,2476.7,61610,10108021.24
