#1.0eV differential cross sections for D-O elastic collisions from Zhang et al. 2009
#angle(deg),sigma(cm^2)
146.35593,2.45885E-14
145.70404,2.55295E-14
145.54107,2.69096E-14
145.21512,2.7976E-14
144.88918,2.89797E-14
144.88918,3.00462E-14
147.00782,2.77878E-14
147.00782,2.68468E-14
148.14863,2.84151E-14
148.14863,2.6345E-14
148.3116,1.97581E-14
149.28944,2.06991E-14
148.80052,2.16401E-14
148.80052,2.27692E-14
148.80052,2.39612E-14
148.96349,2.45885E-14
149.61538,2.86661E-14
149.77836,3.01716E-14
149.94133,3.10499E-14
149.94133,3.32455E-14
150.43025,3.19281E-14
150.91917,3.02971E-14
151.08214,2.76624E-14
151.40808,2.61568E-14
151.08214,2.4463E-14
151.24511,2.25183E-14
151.24511,2.10755E-14
153.03781,2.24556E-14
153.20078,2.48394E-14
153.52673,2.65332E-14
153.03781,2.85406E-14
155.31943,2.36475E-14
154.99348,2.74114E-14
154.99348,2.86033E-14
154.83051,2.95443E-14
154.83051,3.09872E-14
155.15645,3.31828E-14
154.83051,3.39983E-14
156.29726,3.45629E-14
155.4824,3.55039E-14
156.62321,3.29946E-14
156.46023,3.17399E-14
154.01565,1.91935E-14
154.34159,2.11382E-14
157.11213,2.01345E-14
157.43807,2.33338E-14
157.92699,2.51531E-14
158.08996,2.69096E-14
158.08996,2.86033E-14
158.08996,2.9858E-14
157.76402,3.08617E-14
159.23077,1.88171E-14
160.04563,2.06364E-14
159.55671,2.25811E-14
159.55671,2.49649E-14
160.2086,2.65332E-14
160.2086,2.86661E-14
159.88266,3.0799E-14
159.71969,3.14263E-14
160.04563,3.28691E-14
160.2086,3.38101E-14
161.18644,3.48138E-14
160.53455,3.56293E-14
161.02347,3.70722E-14
161.83833,3.10499E-14
162.0013,2.91679E-14
162.81617,2.7286E-14
162.81617,2.55295E-14
162.65319,2.43375E-14
162.65319,2.30829E-14
162.16428,2.22047E-14
162.49022,2.13891E-14
162.49022,1.96954E-14
164.60887,2.01345E-14
165.26076,2.1891E-14
165.26076,2.3773E-14
165.5867,2.6094E-14
165.42373,2.77878E-14
164.60887,2.8917E-14
164.28292,3.09244E-14
164.77184,3.43747E-14
166.23859,3.51902E-14
165.5867,3.61312E-14
166.56454,3.76368E-14
167.86832,1.90681E-14
167.86832,2.01345E-14
167.86832,2.17655E-14
167.86832,2.26438E-14
167.86832,2.42121E-14
167.86832,2.58431E-14
167.86832,2.81015E-14
167.70535,3.01089E-14
167.05346,3.23673E-14
170.80183,3.02971E-14
170.80183,2.81015E-14
170.80183,2.59686E-14
170.80183,2.3522E-14
170.80183,2.08873E-14
173.40939,1.88799E-14
173.24641,2.08246E-14
173.24641,2.30202E-14
173.24641,2.50903E-14
173.24641,2.7286E-14
173.08344,2.91679E-14
173.24641,3.15517E-14
173.24641,3.37474E-14
172.59452,3.57548E-14
171.61669,3.82641E-14
175.03911,3.49393E-14
175.691,3.19281E-14
176.01695,2.97952E-14
175.691,2.72232E-14
175.691,2.50276E-14
175.691,2.29574E-14
176.01695,2.05736E-14
