#By Sanchit Chhabra, Marko Gacesa, Malathe S. Khalil, Amal Al Ghaferi, and Nayla El-Kork on September 15 2022 
# Eng(1/cm),  el. cross section (1E-16 cm^2)
661.37461    148.6778
669.44015    147.0076
677.5057     145.4043
685.57124    143.8627
693.63678    142.4193
701.70233    141.0698
709.76787    139.8134
758.16114    134.9684
766.22668    134.6115
774.29222    134.3837
782.35777    134.2655
790.42331    134.2654
798.48886    134.3865
806.5544     134.6085
1290.48704   140.4892
1371.14248   134.2474
1451.79792   129.3955
1532.45336   126.4453
1613.1088    125.3691
1693.76424   125.783 
1774.41968   127.2535
2339.00776   135.9303
2419.6632    135.1557
3226.2176    120.1081
4032.772     116.9151
4839.3264    123.5244
5645.8808    130.7983
6452.4352    133.4422
7258.9896    132.8122
8065.54401   130.3011
8872.09841   127.6363
9678.65281   124.3587
11291.76161  120.1871
12098.31601  119.0816
14114.70201  118.2313
16131.08801  118.212 
20163.86001  120.7302
22180.24601  122.6296
24196.63201  124.0195
28240        124.3655
30245.79002  124.2998
32262.17602  123.8147
34278.56202  122.8216
36240        121.7436
40240        119.5504
42240        118.1693
                     
