#By Sanchit Chhabra, Marko Gacesa, Malathe S. Khalil, Amal Al Ghaferi, and Nayla El-Kork on September 15 2022 
# Eng(1/cm),  el. cross section (1E-16 cm^2)
556.522540         9.158646E+02
564.588080         9.184348E+02
572.653620         9.229838E+02
580.719170         9.276379E+02
588.784710         9.256305E+02
596.850260         9.254462E+02
604.915800         9.228690E+02
612.981340         9.175015E+02
621.046890         9.120590E+02
629.112430         9.057573E+02
637.177980         8.996863E+02
645.243520         8.951445E+02
653.309060         8.900293E+02
661.374610         8.860336E+02
669.440150         8.845722E+02
677.505700         8.833959E+02
685.571240         8.842290E+02
693.636780         8.860874E+02
701.702330         8.875280E+02
709.767870         8.903057E+02
717.833420         8.938636E+02
806.554400         8.821137E+02
806.554400         8.821137E+02
887.209840         8.635808E+02
967.865280         8.718583E+02
1048.520720         8.533967E+02
1129.176160         8.385525E+02
1209.831600         8.428662E+02
1290.487040         8.403191E+02
1371.142480         8.249156E+02
1451.797920         8.131255E+02
1532.453360         8.123630E+02
1613.108800         8.149500E+02
1693.764240         8.117580E+02
1774.419680         8.024548E+02
1855.075120         7.907334E+02
1935.730560         7.844110E+02
2016.386000         7.828580E+02
2097.041440         7.841948E+02
2177.696880         7.842846E+02
2258.352320         7.818874E+02
2339.007760         7.760926E+02
2419.663200         7.682487E+02
3226.217600         7.421936E+02
4839.326400         6.936745E+02
5645.880800         6.663704E+02
6452.435200         6.643870E+02
7258.989600         6.502637E+02
8065.544010         6.279434E+02
8872.098410         6.144803E+02
9678.652810         6.125677E+02
10485.207210        6.113743E+02
11291.761610        6.073078E+02
12098.316010        5.960578E+02
14114.702010        5.646375E+02
16131.088010        5.487431E+02
18147.474010        5.493030E+02
20163.860010        5.478093E+02
22180.246010        5.407791E+02
24196.632010        5.253772E+02
26213.018020        5.091371E+02
28229.404020        4.919530E+02
30245.790020        4.786492E+02
32262.176020        4.691771E+02
34278.562020        4.632733E+02
36294.948020        4.603202E+02
38311.334020        4.594462E+02
			        
