           #By Sanchit Chhabra, Marko Gacesa, Malathe S. Khalil, Amal Al Ghaferi, and Nayla El-Kork on September 15 2022 
           # Eng(1/cm),  el. cross section (1E-16 cm^2)
          725.898960         1.428488E+02
          733.964500         1.414678E+02
          742.030050         1.401948E+02
          750.095590         1.389506E+02
          758.161140         1.378793E+02
          766.226680         1.369133E+02
          774.292220         1.360205E+02
          782.357770         1.352843E+02
          790.423310         1.346247E+02
          798.488860         1.341497E+02
          806.554400         1.337880E+02
          806.554400         1.337880E+02
          887.209840         1.354839E+02
         1371.142480         1.384708E+02
         1451.797920         1.327441E+02
         1693.764240         1.247829E+02
         1935.730560         1.283140E+02
         2177.696880         1.335689E+02
		 2240.000000         1.350761E+02
         2419.663200         1.350365E+02
         3226.217600         1.204652E+02
         4032.772000         1.153032E+02
		 4240.000000         1.168748E+02
		 6240.000000         1.317146E+02  
		 8240.000000         1.312835E+02 
		 10240.000000        1.239523E+02
		 12240.000000        1.191180E+02 
		 14240.000000        1.179975E+02 
		 16240.000000        1.177329E+02 
		 18240.000000        1.186234E+02 
		 20240.000000        1.198569E+02  
         22240.000000        1.217306E+02  
         24240.000000        1.234748E+02  
         26240.000000        1.242693E+02  
		 28240.000000        1.243265E+02  
         30240.000000        1.242858E+02  
         32240.000000        1.239938E+02  
         34240.000000        1.231566E+02  
         36240.000000        1.220313E+02    
         40240.000000        1.198681E+02  
         42240.000000        1.186417E+02  
		 
