           #By Sanchit Chhabra, Marko Gacesa, Malathe S. Khalil, Amal Al Ghaferi, and Nayla El-Kork on September 15 2022 
           # Eng(1/cm),  el. cross section (1E-16 cm^2)
          717.833420         9.282763E+02  
          725.898960         9.243375E+02  
          733.964500         9.204102E+02  
          742.030050         9.181014E+02  
          750.095590         9.173531E+02  
          758.161140         9.166150E+02  
          766.226680         9.178098E+02  
          774.292220         9.197727E+02  
          782.357770         9.223083E+02  
          790.423310         9.243199E+02  
          798.488860         9.272901E+02  
          806.554400         9.294371E+02  
          887.209840         9.168959E+02  
         1371.142480         8.739439E+02    
         2177.696880         8.034552E+02  
         2419.663200         8.052771E+02  
         3226.217600         7.654658E+02  
         4032.772000         7.258833E+02  
         4839.326400         7.188327E+02  
         5645.880800         6.858040E+02  
         6452.435200         6.739763E+02  
         7258.989600         6.713649E+02  
         8065.544010         6.528593E+02  
		10485.000000         6.282605E+02  
        11291.000000         6.284296E+02  
        12098.000000         6.241000E+02  
        14114.000000         5.943971E+02  
        16131.000000         5.588494E+02  
        18147.000000         5.620929E+02  
        20163.000000         5.635075E+02  
        22180.000000         5.523472E+02  
        24196.000000         5.415102E+02  
        26213.000000         5.273193E+02  
        28229.000000         5.089923E+02  
        30245.000000         4.932741E+02  
        32262.000000         4.799073E+02  
