         #By Sanchit Chhabra, Marko Gacesa, Malathe S. Khalil, Amal Al Ghaferi, and Nayla El-Kork on September 15 2022 
         #  Eng(1/cm),  el. cross section (1E-16 cm^2)
          717.833420           1.393942E+02
          725.898960           1.389416E+02
          733.964500           1.385948E+02
          742.030050           1.381517E+02
          750.095590           1.377886E+02
          758.161140           1.373613E+02
          766.226680           1.370093E+02
          774.292220           1.365900E+02
          782.357770           1.362556E+02
          790.423310           1.358570E+02
          798.488860           1.355371E+02
          806.554400           1.351729E+02
          887.209840           1.319454E+02
		  967.865280           1.290457E+02
		 1048.520720           1.266210E+02 
		 1129.176160           1.244151E+02
		 1209.831600           1.223636E+02
		 1290.487040           1.203423E+02
         1371.142480           1.185306E+02
         1451.797920           1.167513E+02
         1532.453360           1.150447E+02
         1693.764240           1.120276E+02
         1774.419680           1.106005E+02
         1935.730560           1.079711E+02
         2177.696880           1.045976E+02
         2419.663200           1.017443E+02
         3226.217600           9.462051E+01
         4032.772000           8.978524E+01
         4839.326400           8.486140E+01
         5645.880800           8.048541E+01
         6452.435200           7.861385E+01
         7258.989600           7.575384E+01
         8065.544010           7.311600E+01
         8872.098410           7.050888E+01
		 10000.000000          6.987888E+01
		10485.000000           6.581303E+01  
        11291.000000           6.416997E+01  
        12098.000000           6.291633E+01  
        14114.000000           6.010394E+01  
        16131.000000           5.798786E+01  
        18147.000000           5.613915E+01  
        20163.000000           5.433853E+01  
        22180.000000           5.310126E+01  
        24196.000000           5.180438E+01  
        26213.000000           5.034307E+01  
        28229.000000           4.913575E+01  
        30245.000000           4.845017E+01  
        32262.000000           4.762062E+01   
		40240.000000           4.976650E+01

		  
