#By Sanchit Chhabra, Marko Gacesa, Malathe S. Khalil, Amal Al Ghaferi, and Nayla El-Kork on September 15 2022 
# Eng(1/cm),  el. cross section (1E-16 cm^2)
661.37461     142.6027
669.44015     142.153 
677.5057      141.7092
685.57124     141.2663
693.63678     140.8289
701.70233     140.4052
709.76787     139.9832
717.83342     139.5683
725.89896     139.163 
742.03005     138.4029
750.09559     138.018 
758.16114     137.6359
766.22668     137.2594
774.29222     136.8915
782.35777     136.5248
790.42331     136.169 
798.48886     135.822 
887.20984     132.3875
967.86528     129.6063
1048.52072    127.1855
1129.17616    125.0575
1209.8316     123.0657
1290.48704    121.1578
1371.14248    119.3518
1451.79792    117.6477
1693.76424    113.0031
1774.41968    111.6075
1855.07512    110.3015
1935.73056    109.0702
2016.386      107.8876
2097.04144    106.7894
2177.69688    105.7414
2258.35232    104.7442
3226.2176     95.23569
4032.772      89.48086
4839.3264     85.08697
5645.8808     81.41493
6452.4352     78.37411
7258.9896     75.80546
8065.54401    74.02992
8872.09841    72.1238 
9678.65281    70.46439
10485.20721   69.03234
11291.76161   67.67416
12098.31601   66.40549
14114.70201   63.72587
16131.08801   61.45926
18147.47401   59.59641
20163.86001   58.23133
22180.24601   56.85153
24196.63201   55.72811
26213.01802   54.62762
28229.40402   53.7007 
30245.79002   52.89252
32262.17602   52.01895
34278.56202   51.30873
36240         50.71447
36294.94802   50.70038
38311.33402   50.15415
40240         49.71494
42240         49.21491
44240         48.75305
46240         48.3239 
                      
