# converted from elastic_16_O_2-3Adp.dat: wavenumber(1/cm) to energy(eV)
# E[eV],sigma[cm^2]
9.999945524629767e-05,6.538659999999999e-14
0.00011000002069191962,6.425187e-14
0.00012000058613754154,6.323323e-14
0.00012999991174117914,6.230562999999999e-14
0.00014000047718680107,6.145407e-14
0.00014999980279043867,6.066952999999999e-14
0.0001600003682360606,5.994455000000001e-14
0.0001699996938396982,5.927102e-14
0.00018000025928532014,6.007217e-14
0.00018999958488895776,5.805497e-14
0.00020000015033457967,5.750185e-14
0.00020999947593821727,5.698123e-14
0.00022000004138383923,5.648757e-14
0.00023000060682946114,5.601984e-14
0.00023999993243309874,5.557286e-14
0.0002500004978787207,5.51465e-14
0.0002599998234823583,5.473868e-14
0.0002700003889279802,5.434885e-14
0.0002799997145316178,5.3976099999999996e-14
0.00029000027997723974,5.3619619999999995e-14
0.00029999960558087734,5.3277369999999995e-14
0.0003100001710264993,5.294886e-14
0.00031999949663013693,5.2632939999999993e-14
0.0003300000620757588,5.232873e-14
0.0003399993876793964,5.203555e-14
0.00034999995312501834,5.175239e-14
0.0003600005185706403,5.326404e-14
0.0003699998441742779,5.121285e-14
0.0003800004096198998,5.095555e-14
0.0003899997352235374,5.0704610000000004e-14
0.00040000030066915935,5.046098e-14
0.00040999962627279694,5.022379e-14
0.0004200001917184189,4.9993400000000003e-14
0.0004299995173220565,4.9769310000000003e-14
0.00044000008276767847,4.9550599999999994e-14
0.000449999408371316,4.933781e-14
0.00045999997381693795,4.913064e-14
0.0004700005392625599,4.892864e-14
0.0004799998648661975,4.874415e-14
0.0004900004303118194,4.855365e-14
0.0004999997559154571,4.8364139999999995e-14
0.000510000321361079,4.8179309999999994e-14
0.0005199996469647165,4.800006e-14
0.0005300002124103385,4.782581e-14
0.000539999538013976,4.765528e-14
0.000550000103459598,4.748897e-14
0.0005599994290632356,4.7326479999999995e-14
0.0005699999945088576,4.716727e-14
0.0005800005599544795,4.701154e-14
0.0005899998855581171,4.685889e-14
0.0006000004510037391,4.67095e-14
0.0006099997766073766,4.656318e-14
0.0006200003420529986,4.641865e-14
0.0006299996676566362,4.627677e-14
0.0006400002331022581,4.613762e-14
0.0006499995587058957,4.6000470000000003e-14
0.0006600001241515176,4.586562e-14
0.0006699994497551552,4.573326e-14
0.0006800000152007771,4.56026e-14
0.0006900005806463991,4.547465e-14
0.0006999999062500367,4.534841e-14
0.0007100004716956586,4.522415e-14
0.0007199997972992963,4.5101799999999996e-14
0.0007300003627449182,4.498143e-14
0.0007399996883485558,4.486306e-14
0.0007500002537941776,4.474655e-14
0.0007599995793978153,4.4631810000000004e-14
0.0007700001448434372,4.451939e-14
0.0007799994704470748,4.440824e-14
0.0007900000358926968,4.429931e-14
0.0008000006013383187,4.4191340000000004e-14
