#By Sanchit Chhabra, Marko Gacesa, Malathe S. Khalil, Amal Al Ghaferi, and Nayla El-Kork on September 15 2022 
# Eng(1/cm),  el. cross section (1E-16 cm^2)
556.522540     1.457456E+02
564.588080     1.452121E+02
572.653620     1.446396E+02
580.719170     1.441267E+02
588.784710     1.435782E+02
596.850260     1.430844E+02
604.915800     1.425985E+02
612.981340     1.420703E+02
621.046890     1.416021E+02
629.112430     1.410895E+02
637.177980     1.406334E+02
645.243520     1.401335E+02
653.309060     1.396893E+02
661.374610     1.392042E+02
669.440150     1.387730E+02
677.505700     1.382958E+02
685.571240     1.378782E+02
693.636780     1.374140E+02
701.702330     1.370092E+02
709.767870     1.365587E+02
717.833420     1.361680E+02
725.898960     1.357836E+02
733.964500     1.353579E+02
742.030050     1.349893E+02
750.095590     1.345724E+02
758.161140     1.341614E+02
766.226680     1.338110E+02
774.292220     1.334122E+02
782.357770     1.330780E+02
790.423310     1.326947E+02
798.488860     1.323716E+02
806.554400     1.320015E+02
806.554400     1.320015E+02
887.209840     1.288301E+02
967.865280     1.260814E+02
1048.520720     1.237248E+02
1129.176160     1.215913E+02
1209.831600     1.196023E+02
1290.487040     1.177118E+02
1371.142480     1.160048E+02
1451.797920     1.142872E+02
1532.453360     1.126287E+02
1613.108800     1.110633E+02
1693.764240     1.095943E+02
1774.419680     1.082028E+02
1855.075120     1.068987E+02
1935.730560     1.056843E+02
2016.386000     2.724190E-01
2097.041440     1.034387E+02
2177.696880     1.023631E+02
2258.352320     1.013975E+02
2339.007760     1.004118E+02
2419.663200     9.946076E+01
3226.217600     9.175442E+01
4032.772000     8.616318E+01
4839.326400     8.202253E+01
5645.880800     7.855314E+01
6452.435200     7.557879E+01
7258.989600     7.318627E+01
8065.544010     7.088535E+01
8872.098410     6.894050E+01
9678.652810     6.717442E+01
10485.207210    6.571923E+01
11291.761610    6.428514E+01
12098.316010    6.291470E+01
14114.702010    6.029637E+01
16131.088010    5.820636E+01
18147.474010    5.646555E+01
20163.860010    5.493315E+01
22180.246010    5.358377E+01
24196.632010    5.245313E+01
26213.018020    5.123715E+01
28229.404020    5.015411E+01
30245.790020    4.943088E+01
32262.176020    4.897747E+01
34278.562020    4.837652E+01
36294.948020    4.754689E+01
38311.334020    4.701166E+01
