#By Sanchit Chhabra, Marko Gacesa, Malathe S. Khalil, Amal Al Ghaferi, and Nayla El-Kork on September 15 2022 
# Eng(1/cm),  el. cross section (1E-16 cm^2)
661.37461    944.9997
669.44015    938.4508
677.5057     932.6476
685.57124    926.7164
693.63678    923.225 
701.70233    920.2312
709.76787    919.1556
717.83342    918.0642
725.89896    918.785 
742.03005    923.4814
750.09559    926.2224
758.16114    929.7307
766.22668    932.0225
782.35777    935.3707
790.42331    936.5401
798.48886    936.1262
806.5544     934.6905
887.20984    899.6583
967.86528    901.8771
1048.52072   902.2121
1129.17616   877.3592
1209.8316    869.8755
1451.79792   852.022 
1532.45336   840.4908
1774.41968   841.5524
1855.07512   830.2951
2097.04144   806.6623
2177.69688   808.3363
2419.6632    803.1403
4839.3264    720.5694
5645.8808    687.2204
6452.4352    682.5582
7258.9896    674.7215
8872.09841   635.3484
9678.65281   630.1824
10485.20721  631.0681
11291.76161  629.3307
12098.31601  621.5739
14114.70201  587.9199
16131.08801  565.891 
18147.47401  561.4265
20163.86001  559.9164
22180.24601  563.1373
24196.63201  550.8231
26213.01802  533.7684
28229.40402  515.8323
30245.79002  499.8265
34278.56202  477.8537
38311.33402  467.56  
40240        465.0035
42240        463.0078
44240        461.0918
46240        458.816 
                     
