Reactants,CO2 and O,,LSA:,Altitude LSA,Ti,m/(2*kB*T),CO2 LSA: Fraction above 4991 m/s,integrate (4*pi*(x+5707)^2*(5.867e-8/pi)^(3/2)*exp(-5.867e-8*(x+5707)^2)) from 4991 to infinity,O LSA: Fraction above 4991 m/s,Swap out 5707 for 1958 m/s,integrate (4*pi*(x+1958)^2*(2.178e-8/pi)^(3/2)*exp(-2.178e-8*(x+1958)^2)) from 4991 to infinity,H LSA: Fraction above 4991 m/s,kT,"H LSA using E: Fraction above 0.13 eV (the same when 0.1298 eV is used, which is the same as 4991 m/s)",O LSA using E: Fraction above 0.13 eV,integrate (2*sqrt((x+3.04414E-21)/pi)*(1/3.054E-20)^(3/2)*exp(-(x+3.04414E-21)/3.054E-20)) from 2.08283e-20 to infinity,HSA:,Altitude HSA,Ti(K),m/(2*kB*T),CO2 HSA: Fraction above 4991 m/s,,O HSA: Fraction above 4991 m/s; 0 if less than 1e-6,,H HSA: Fraction above 4991 m/s,kT,O HSA using E: Fraction above 0.13 eV,integrate (2*sqrt(x/pi)*(1/(5.102E-20))^(3/2)*exp(-x/(5.102E-20))) from (2.08283e-20+3.04414E-21) to infinity
,,,,36119100,3453.4,1.751E-08,0.261,,0.639,,,0.832,4.768E-20,,0.801,,,36119100,3545.3,1.706E-08,0.272,,0.649,,0.837,4.895E-20,0.807,
,,,,36578600,3473.2,1.741E-08,0.263,,0.641,,,0.833,4.795E-20,,0.802,,,36578600,3581,1.689E-08,0.276,,0.652,,0.84,4.944E-20,0.810,
,,,,36580900,3473.3,1.741E-08,0.263,,0.641,,,0.833,4.795E-20,,0.802,,,36580900,3581.2,1.689E-08,0.276,,0.652,,0.84,4.944E-20,0.810,
,,,,36838000,3484,1.736E-08,0.264,,0.642,,,0.834,4.810E-20,,0.803,,,36838000,3602.4,1.679E-08,0.279,,0.655,,0.841,4.974E-20,0.811,
,,,,37120400,3495.6,1.730E-08,0.266,,0.643,,,0.835,4.826E-20,,0.804,,,37120400,3623.1,1.669E-08,0.282,,0.657,,0.842,5.002E-20,0.812,
,,,,37248400,3500.8,1.728E-08,0.266,,0.644,,,0.835,4.833E-20,,0.804,,,37248400,3630.2,1.666E-08,0.282,,0.657,,0.842,5.012E-20,0.813,
,,,,37658800,3517.5,1.719E-08,0.269,,0.646,,,0.836,4.856E-20,,0.805,,,37658800,3640.5,1.661E-08,0.284,,0.658,,0.843,5.026E-20,0.813,
,,,,37787600,3522.8,1.717E-08,0.269,,0.646,,,0.836,4.864E-20,,0.806,,,37787600,3641.2,1.661E-08,0.284,,0.658,,0.843,5.027E-20,0.813,
,,,,38121300,3536.9,1.710E-08,0.271,,0.648,,,0.837,4.883E-20,,0.807,,,38121300,3643.5,1.660E-08,0.284,,0.659,,0.843,5.030E-20,0.814,
,,,,38172300,3539.1,1.709E-08,0.271,,0.648,,,0.837,4.886E-20,,0.807,,,38172300,3644.5,1.659E-08,0.284,,0.659,,0.843,5.032E-20,0.814,
,,,,38195300,3540.1,1.708E-08,0.271,,0.648,,,0.837,4.888E-20,,0.807,,,38195300,3645.1,1.659E-08,0.284,,0.659,,0.843,5.033E-20,0.814,
,,,,38197600,3540.2,1.708E-08,0.271,,0.648,,,0.837,4.888E-20,,0.807,,,38197600,3645.2,1.659E-08,0.284,,0.659,,0.843,5.033E-20,0.814,
,,,,38762800,3565.9,1.696E-08,0.274,,0.651,,,0.839,4.923E-20,,0.809,,,38762800,3671.8,1.647E-08,0.287,,0.662,,0.845,5.069E-20,0.815,
,,,,39019600,3578.4,1.690E-08,0.276,,0.652,,,0.839,4.941E-20,,0.809,,,39019600,3686.6,1.641E-08,0.289,,0.663,,0.845,5.090E-20,0.816,
,,,,39044900,3579.7,1.689E-08,0.276,,0.652,,,0.84,4.942E-20,,0.809,,,39044900,3687.9,1.640E-08,0.289,,0.663,,0.845,5.092E-20,0.816,
,,,,39198700,3587.5,1.686E-08,0.277,,0.653,,,0.84,4.953E-20,,0.810,,,39198700,3695.4,1.637E-08,0.29,,0.664,,0.846,5.102E-20,0.817,
,,,,39812000,3620.2,1.671E-08,0.281,,0.656,,,0.842,4.998E-20,,0.812,,,39812000,3716.3,1.627E-08,0.293,,0.666,,0.847,5.131E-20,0.818,
,,,,39814200,3620.3,1.671E-08,0.281,,0.656,,,0.842,4.998E-20,,0.812,,,39814200,3716.4,1.627E-08,0.293,,0.666,,0.847,5.131E-20,0.818,
,,,,39815200,3620.3,1.671E-08,0.281,,0.656,,,0.842,4.998E-20,,0.812,,,39815200,3716.4,1.627E-08,0.293,,0.666,,0.847,5.131E-20,0.818,
,,,,39840500,3621.7,1.670E-08,0.281,,0.656,,,0.842,5.000E-20,,0.812,,,39840500,3717.1,1.627E-08,0.293,,0.666,,0.847,5.132E-20,0.818,
,,,,39866400,3623.2,1.669E-08,0.282,,0.657,,,0.842,5.002E-20,,0.812,,,39866400,3717.8,1.627E-08,0.293,,0.666,,0.847,5.133E-20,0.818,
,,,,39994400,3630.2,1.666E-08,0.282,,0.657,,,0.842,5.012E-20,,0.813,,,39994400,3721.5,1.625E-08,0.293,,0.666,,0.847,5.138E-20,0.818,
