# O-CO average energy loss per inelastic collision (eV)
# Rotational excitation only (internal energy transfer).
# <dE> = sum_{j'>0} sigma(0->j') * B*j'(j'+1) / sum_{j'>0} sigma(0->j')
# PES-averaged (1/3 weight), from Kumar et al. 2022 Table 2,
# interpolated to full energy grid.
# B(CO) = 1.93 cm^-1 = 2.392895e-04 eV
# Generated by compute_inelastic_tables_OCO.py
energy_eV,delta_E_eV
0.0092,0.0000000000e+00
0.0093,0.0000000000e+00
0.0094,0.0000000000e+00
0.0095,0.0000000000e+00
0.0096,0.0000000000e+00
0.0097,0.0000000000e+00
0.0098,0.0000000000e+00
0.0099,0.0000000000e+00
0.01,0.0000000000e+00
0.011,0.0000000000e+00
0.012,0.0000000000e+00
0.013,0.0000000000e+00
0.014,0.0000000000e+00
0.015,0.0000000000e+00
0.016,0.0000000000e+00
0.017,0.0000000000e+00
0.018,0.0000000000e+00
0.019,0.0000000000e+00
0.02,0.0000000000e+00
0.021,0.0000000000e+00
0.022,0.0000000000e+00
0.023,0.0000000000e+00
0.024,0.0000000000e+00
0.025,0.0000000000e+00
0.026,0.0000000000e+00
0.027,0.0000000000e+00
0.028,0.0000000000e+00
0.029,0.0000000000e+00
0.03,0.0000000000e+00
0.034,0.0000000000e+00
0.035,0.0000000000e+00
0.036,0.0000000000e+00
0.037,0.0000000000e+00
0.038,0.0000000000e+00
0.039,0.0000000000e+00
0.04,0.0000000000e+00
0.041,0.0000000000e+00
0.042,0.0000000000e+00
0.043,0.0000000000e+00
0.044,0.0000000000e+00
0.045,0.0000000000e+00
0.046,0.0000000000e+00
0.047,0.0000000000e+00
0.048,0.0000000000e+00
0.049,0.0000000000e+00
0.05,0.0000000000e+00
0.051,0.0000000000e+00
0.052,0.0000000000e+00
0.053,0.0000000000e+00
0.054,0.0000000000e+00
0.055,0.0000000000e+00
0.056,0.0000000000e+00
0.057,0.0000000000e+00
0.058,0.0000000000e+00
0.059,0.0000000000e+00
0.06,0.0000000000e+00
0.061,0.0000000000e+00
0.062,0.0000000000e+00
0.063,0.0000000000e+00
0.064,0.0000000000e+00
0.065,0.0000000000e+00
0.066,0.0000000000e+00
0.067,0.0000000000e+00
0.068,0.0000000000e+00
0.069,0.0000000000e+00
0.07,0.0000000000e+00
0.071,0.0000000000e+00
0.072,0.0000000000e+00
0.073,0.0000000000e+00
0.074,0.0000000000e+00
0.075,0.0000000000e+00
0.076,0.0000000000e+00
0.077,0.0000000000e+00
0.078,0.0000000000e+00
0.079,0.0000000000e+00
0.08,0.0000000000e+00
0.081,0.0000000000e+00
0.082,0.0000000000e+00
0.083,0.0000000000e+00
0.084,0.0000000000e+00
0.085,0.0000000000e+00
0.086,0.0000000000e+00
0.087,0.0000000000e+00
0.088,0.0000000000e+00
0.089,0.0000000000e+00
0.1,0.0000000000e+00
0.11,0.0000000000e+00
0.13,0.0000000000e+00
0.14,0.0000000000e+00
0.15,0.0000000000e+00
0.16,0.0000000000e+00
0.17,0.0000000000e+00
0.18,0.0000000000e+00
0.2,0.0000000000e+00
0.21,0.0000000000e+00
0.23,0.0000000000e+00
0.24,0.0000000000e+00
0.26,0.0000000000e+00
0.27,2.7776473536e-02
0.28,2.7776473536e-02
0.29,2.7776473536e-02
0.3,2.7776473536e-02
0.4,2.7776473536e-02
0.5,2.7776473536e-02
0.6,2.7776473536e-02
0.7,2.7776473536e-02
0.8,2.8220773522e-02
0.9,2.8665073507e-02
1,2.9109373493e-02
